Date,BAC
2000-01-03,12.356375694274902
2000-01-04,11.622967720031738
2000-01-05,11.75051212310791
2000-01-06,12.754964828491211
2000-01-07,12.420147895812988
2000-01-10,11.989669799804688
2000-01-11,11.73457145690918
2000-01-12,11.862116813659668
2000-01-13,12.13316535949707
2000-01-14,12.8825101852417
2000-01-18,12.244765281677246
2000-01-19,12.244765281677246
2000-01-20,12.009600639343262
2000-01-21,11.6548490524292
2000-01-24,11.367864608764648
2000-01-25,11.511356353759766
2000-01-26,12.021553993225098
2000-01-27,12.276653289794922
2000-01-28,11.67080020904541
2000-01-31,12.356375694274902
2000-02-01,12.499868392944336
2000-02-02,12.18099308013916
2000-02-03,11.846176147460938
2000-02-04,11.702683448791504
2000-02-07,11.559186935424805
2000-02-08,12.021553993225098
2000-02-09,11.75051212310791
2000-02-10,11.447578430175781
2000-02-11,11.527304649353027
2000-02-14,11.288148880004883
2000-02-15,11.638907432556152
2000-02-16,11.527304649353027
2000-02-17,11.383814811706543
2000-02-18,11.160595893859863
2000-02-22,11.415693283081055
2000-02-23,11.67080020904541
2000-02-24,11.43164348602295
2000-02-25,11.256255149841309
2000-02-28,11.718622207641602
2000-02-29,11.73457145690918
2000-03-01,11.750686645507812
2000-03-02,11.621735572814941
2000-03-03,11.605619430541992
2000-03-06,11.476669311523438
2000-03-07,11.347715377807617
2000-03-08,11.251005172729492
2000-03-09,11.10593318939209
2000-03-10,11.057577133178711
2000-03-13,11.138168334960938
2000-03-14,10.993103981018066
2000-03-15,11.831284523010254
2000-03-16,12.701704978942871
2000-03-17,12.89513111114502
2000-03-20,12.798416137695312
2000-03-21,13.15302848815918
2000-03-22,13.265864372253418
2000-03-23,13.975099563598633
2000-03-24,14.087937355041504
2000-03-27,13.958984375
2000-03-28,13.813905715942383
2000-03-29,13.410934448242188
2000-03-30,13.104671478271484
2000-03-31,13.523768424987793
2000-04-03,14.31359577178955
2000-04-04,13.975099563598633
2000-04-05,13.92674446105957
2000-04-06,13.78166675567627
2000-04-07,13.491533279418945
2000-04-10,13.620485305786133
2000-04-11,13.49958610534668
2000-04-12,14.071817398071289
2000-04-13,13.620485305786133
2000-04-14,12.879014015197754
2000-04-17,12.975717544555664
2000-04-18,13.15302848815918
2000-04-19,12.750060081481934
2000-04-20,12.782306671142578
2000-04-24,13.281989097595215
2000-04-25,13.78166675567627
2000-04-26,13.346457481384277
2000-04-27,13.217506408691406
2000-04-28,12.637227058410645
2000-05-01,12.89513111114502
2000-05-02,12.798416137695312
2000-05-03,12.637227058410645
2000-05-04,12.379324913024902
2000-05-05,12.26648998260498
2000-05-08,12.427680969238281
2000-05-09,12.427680969238281
2000-05-10,11.992475509643555
2000-05-11,12.218132019042969
2000-05-12,12.532459259033203
2000-05-15,13.056323051452637
2000-05-16,12.814532279968262
2000-05-17,12.717825889587402
2000-05-18,12.975717544555664
2000-05-19,12.830653190612793
2000-05-22,12.95960807800293
2000-05-23,13.556015968322754
2000-05-24,14.426433563232422
2000-05-25,14.265237808227539
2000-05-26,14.087937355041504
2000-05-30,14.1685209274292
2000-05-31,14.428805351257324
2000-06-01,14.786669731140137
2000-06-02,15.876550674438477
2000-06-05,15.421080589294434
2000-06-06,14.770403861999512
2000-06-07,15.046945571899414
2000-06-08,14.770403861999512
2000-06-09,14.575194358825684
2000-06-12,14.697202682495117
2000-06-13,14.49386215209961
2000-06-14,14.396261215209961
2000-06-15,13.517848014831543
2000-06-16,12.493025779724121
2000-06-19,12.590633392333984
2000-06-20,12.623164176940918
2000-06-21,12.395425796508789
2000-06-22,12.232754707336426
2000-06-23,12.330351829528809
2000-06-26,12.476759910583496
2000-06-27,12.232754707336426
2000-06-28,11.822012901306152
2000-06-29,11.826085090637207
2000-06-30,11.191671371459961
2000-07-03,11.712214469909668
2000-07-05,11.793547630310059
2000-07-06,11.923686027526855
2000-07-07,12.346627235412598
2000-07-10,12.346627235412598
2000-07-11,12.216493606567383
2000-07-12,12.232754707336426
2000-07-13,12.021292686462402
2000-07-14,12.362889289855957
2000-07-17,12.200221061706543
2000-07-18,12.037552833557129
2000-07-19,12.021292686462402
2000-07-20,12.590633392333984
2000-07-21,12.688233375549316
2000-07-24,12.346627235412598
2000-07-25,12.558091163635254
2000-07-26,12.249022483825684
2000-07-27,12.16769027709961
2000-07-28,12.102622032165527
2000-07-31,12.330351829528809
2000-08-01,12.411691665649414
2000-08-02,12.2815580368042
2000-08-03,12.769569396972656
2000-08-04,13.664247512817383
2000-08-07,13.63171672821045
2000-08-08,13.517848014831543
2000-08-09,13.810653686523438
2000-08-10,13.908252716064453
2000-08-11,14.070919036865234
2000-08-14,14.31492805480957
2000-08-15,14.135988235473633
2000-08-16,13.92452335357666
2000-08-17,13.940787315368652
2000-08-18,13.989592552185059
2000-08-21,14.022124290466309
2000-08-22,14.168526649475098
2000-08-23,14.070919036865234
2000-08-24,13.664247512817383
2000-08-25,13.46904468536377
2000-08-28,13.452780723571777
2000-08-29,13.241307258605957
2000-08-30,13.3727388381958
2000-08-31,14.083269119262695
2000-09-01,13.799875259399414
2000-09-05,14.062738418579102
2000-09-06,14.095584869384766
2000-09-07,14.292723655700684
2000-09-08,14.703441619873047
2000-09-11,14.867730140686035
2000-09-12,14.982726097106934
2000-09-13,14.933435440063477
2000-09-14,14.806114196777344
2000-09-15,14.424153327941895
2000-09-18,14.112010955810547
2000-09-19,14.424153327941895
2000-09-20,14.144877433776855
2000-09-21,13.931302070617676
2000-09-22,14.457016944885254
2000-09-25,14.457016944885254
2000-09-26,14.144877433776855
2000-09-27,13.849156379699707
2000-09-28,14.194157600402832
2000-09-29,13.767013549804688
2000-10-02,13.947731971740723
2000-10-03,14.243440628051758
2000-10-04,13.865589141845703
2000-10-05,14.161299705505371
2000-10-06,13.569869995117188
2000-10-09,13.290589332580566
2000-10-10,12.79773998260498
2000-10-11,12.37060260772705
2000-10-12,11.713467597961426
2000-10-13,12.239173889160156
2000-10-16,11.877752304077148
2000-10-17,11.237035751342773
2000-10-18,11.089187622070312
2000-10-19,11.582039833068848
2000-10-20,11.499900817871094
2000-10-23,11.499900817871094
2000-10-24,11.697036743164062
