Date,MS
2000-01-03,32.50876235961914
2000-01-04,30.10070037841797
2000-01-05,29.002025604248047
2000-01-06,29.558897018432617
2000-01-07,30.47696876525879
2000-01-10,31.554962158203125
2000-01-11,31.554962158203125
2000-01-12,31.796531677246094
2000-01-13,31.99280548095703
2000-01-14,33.17047882080078
2000-01-18,32.309871673583984
2000-01-19,32.77790832519531
2000-01-20,32.56654357910156
2000-01-21,32.00791931152344
2000-01-24,30.920835494995117
2000-01-25,31.268112182617188
2000-01-26,32.0985107421875
2000-01-27,32.64202880859375
2000-01-28,30.588695526123047
2000-01-31,32.00791931152344
2000-02-01,30.920835494995117
2000-02-02,31.464365005493164
2000-02-03,31.887130737304688
2000-02-04,31.736129760742188
2000-02-07,31.464365005493164
2000-02-08,32.7628059387207
2000-02-09,32.46084976196289
2000-02-10,32.27968215942383
2000-02-11,32.249481201171875
2000-02-14,31.887130737304688
2000-02-15,31.675748825073242
2000-02-16,31.675748825073242
2000-02-17,30.55849266052246
2000-02-18,29.592214584350586
2000-02-22,30.10555076599121
2000-02-23,31.766345977783203
2000-02-24,33.366729736328125
2000-02-25,33.75926971435547
2000-02-28,33.4271240234375
2000-02-29,34.03105163574219
2000-03-01,36.356143951416016
2000-03-02,36.99028015136719
2000-03-03,38.25849914550781
2000-03-06,39.07380294799805
2000-03-07,39.13420486450195
2000-03-08,38.16793441772461
2000-03-09,40.28165054321289
2000-03-10,41.851837158203125
2000-03-13,39.858909606933594
2000-03-14,38.62086868286133
2000-03-15,37.684783935546875
2000-03-16,39.01344299316406
2000-03-17,42.93891143798828
2000-03-20,42.36518478393555
2000-03-21,42.848331451416016
2000-03-22,43.55038833618164
2000-03-23,45.77732467651367
2000-03-24,46.29068374633789
2000-03-27,43.48244094848633
2000-03-28,42.51618194580078
2000-03-29,41.91223907470703
2000-03-30,40.65156173706055
2000-03-31,40.04008865356445
2000-04-03,41.247920989990234
2000-04-04,37.986751556396484
2000-04-05,38.53028106689453
2000-04-06,41.21773147583008
2000-04-07,40.85538101196289
2000-04-10,42.8785285949707
2000-04-11,41.58009338378906
2000-04-12,38.62002944946289
2000-04-13,36.56190490722656
2000-04-14,32.385135650634766
2000-04-17,33.383934020996094
2000-04-18,36.682952880859375
2000-04-19,36.31976318359375
2000-04-20,36.31976318359375
2000-04-24,37.59096908569336
2000-04-25,38.68055725097656
2000-04-26,39.04375076293945
2000-04-27,38.983211517333984
2000-04-28,37.16721725463867
2000-05-01,38.62002944946289
2000-05-02,36.682952880859375
2000-05-03,35.35124206542969
2000-05-04,34.68537902832031
2000-05-05,34.44325256347656
2000-05-08,34.77617263793945
2000-05-09,34.44325256347656
2000-05-10,32.021934509277344
2000-05-11,32.445655822753906
2000-05-12,33.61091232299805
2000-05-15,35.865779876708984
2000-05-16,36.44083023071289
2000-05-17,36.80403137207031
2000-05-18,36.16843795776367
2000-05-19,33.62606430053711
2000-05-22,32.68779373168945
2000-05-23,33.050987243652344
2000-05-24,33.050987243652344
2000-05-25,30.992862701416016
2000-05-26,30.841527938842773
2000-05-30,32.445655822753906
2000-05-31,34.62485122680664
2000-06-01,36.44083023071289
2000-06-02,40.224143981933594
2000-06-05,39.7701416015625
2000-06-06,38.62002944946289
2000-06-07,38.7108268737793
2000-06-08,38.135765075683594
2000-06-09,38.37789535522461
2000-06-12,39.134552001953125
2000-06-13,40.375484466552734
2000-06-14,41.40453338623047
2000-06-15,40.64788055419922
2000-06-16,39.28586959838867
2000-06-19,40.8900146484375
2000-06-20,41.91905975341797
2000-06-21,41.465065002441406
2000-06-22,40.28467559814453
2000-06-23,39.28586959838867
2000-06-26,39.80043029785156
2000-06-27,40.193878173828125
2000-06-28,40.436004638671875
2000-06-29,40.85974884033203
2000-06-30,40.31496047973633
2000-07-03,41.16239547729492
2000-07-05,42.16962432861328
2000-07-06,43.443817138671875
2000-07-07,43.98991775512695
2000-07-10,45.32475280761719
2000-07-11,46.05286407470703
2000-07-12,46.35625457763672
2000-07-13,46.780967712402344
2000-07-14,46.598960876464844
2000-07-17,44.71803665161133
2000-07-18,44.29328155517578
2000-07-19,42.83705139160156
2000-07-20,44.29328155517578
2000-07-21,45.96186828613281
2000-07-24,45.68880081176758
2000-07-25,45.855682373046875
2000-07-26,45.14271926879883
2000-07-27,44.90003204345703
2000-07-28,42.83705139160156
2000-07-31,44.29328155517578
2000-08-01,44.1416015625
2000-08-02,44.74834060668945
2000-08-03,45.56746292114258
2000-08-04,47.448402404785156
2000-08-07,47.90347671508789
2000-08-08,46.96300506591797
2000-08-09,47.75177764892578
2000-08-10,46.902339935302734
2000-08-11,49.32933807373047
2000-08-14,50.51255798339844
2000-08-15,49.26865768432617
2000-08-16,47.81249237060547
2000-08-17,49.60240173339844
2000-08-18,48.752960205078125
2000-08-21,49.450687408447266
2000-08-22,49.93611526489258
2000-08-23,49.314178466796875
2000-08-24,50.057464599609375
2000-08-25,49.1473274230957
2000-08-28,49.93611526489258
2000-08-29,50.72490310668945
2000-08-30,51.39231491088867
2000-08-31,52.21904754638672
2000-09-01,52.27215576171875
2000-09-05,51.90806579589844
2000-09-06,51.54402542114258
2000-09-07,50.96757888793945
2000-09-08,51.21031188964844
2000-09-11,53.09125900268555
2000-09-12,52.393470764160156
2000-09-13,50.72490310668945
2000-09-14,50.937278747558594
2000-09-15,47.81249237060547
2000-09-18,45.38542938232422
2000-09-19,47.32704544067383
2000-09-20,46.56863021850586
2000-09-21,43.352806091308594
2000-09-22,43.95956802368164
2000-09-25,44.86970138549805
2000-09-26,43.04941940307617
2000-09-27,42.1392822265625
2000-09-28,43.71685028076172
2000-09-29,44.384281158447266
2000-10-02,43.98991775512695
2000-10-03,44.596656799316406
2000-10-04,43.9642333984375
2000-10-05,44.7547492980957
2000-10-06,40.984649658203125
2000-10-09,40.49817657470703
2000-10-10,36.24161911010742
2000-10-11,37.822635650634766
2000-10-12,34.417381286621094
2000-10-13,38.03546905517578
2000-10-16,37.7922248840332
2000-10-17,35.96799087524414
2000-10-18,35.51192092895508
2000-10-19,37.244956970214844
2000-10-20,39.373252868652344
2000-10-23,37.94424819946289
2000-10-24,39.525245666503906
2000-10-25,38.00505828857422
2000-10-26,37.57938003540039
2000-10-27,38.64354705810547
2000-10-30,39.34282684326172
2000-10-31,39.06919860839844
2000-11-01,38.46112060546875
2000-11-02,39.130001068115234
2000-11-03,40.650203704833984
2000-11-06,39.03879928588867
2000-11-07,37.27537536621094
2000-11-08,35.54230499267578
2000-11-09,34.447784423828125
2000-11-10,33.62689208984375
2000-11-13,33.079593658447266
2000-11-14,33.01877975463867
2000-11-15,34.05253982543945
2000-11-16,34.53900909423828
2000-11-17,33.41403579711914
2000-11-20,31.376964569091797
2000-11-21,31.89383888244629
