Date,XLI
2000-01-03,18.074867248535156
2000-01-04,17.575519561767578
2000-01-05,17.497173309326172
2000-01-06,17.732179641723633
2000-01-07,18.407779693603516
2000-01-10,18.407779693603516
2000-01-11,18.17279815673828
2000-01-12,17.957378387451172
2000-01-13,18.300077438354492
2000-01-14,18.17279815673828
2000-01-18,18.153209686279297
2000-01-19,18.09446144104004
2000-01-20,17.976959228515625
2000-01-21,17.75177001953125
2000-01-24,17.24260902404785
2000-01-25,17.144695281982422
2000-01-26,17.281768798828125
2000-01-27,17.37969398498535
2000-01-28,16.919504165649414
2000-01-31,17.0369815826416
2000-02-01,16.919504165649414
2000-02-02,16.929283142089844
2000-02-03,16.919504165649414
2000-02-04,16.9880313873291
2000-02-07,16.69428253173828
2000-02-08,16.762836456298828
2000-02-09,16.586589813232422
2000-02-10,16.30263900756836
2000-02-11,15.95993709564209
2000-02-14,16.214509963989258
2000-02-15,16.49846076965332
2000-02-16,16.459300994873047
2000-02-17,16.5278377532959
2000-02-18,16.165563583374023
2000-02-22,16.42992401123047
2000-02-23,16.30263900756836
2000-02-24,16.155773162841797
2000-02-25,15.87181568145752
2000-02-28,15.920772552490234
2000-02-29,16.097021102905273
2000-03-01,16.008893966674805
2000-03-02,16.06764793395996
2000-03-03,16.508255004882812
2000-03-06,16.439714431762695
2000-03-07,15.783692359924316
2000-03-08,15.950140953063965
2000-03-09,16.116594314575195
2000-03-10,16.155773162841797
2000-03-13,15.91098403930664
2000-03-14,15.822860717773438
2000-03-15,16.459300994873047
2000-03-16,17.350318908691406
2000-03-17,17.327239990234375
2000-03-20,17.425352096557617
2000-03-21,17.798189163208008
2000-03-22,17.71969223022461
2000-03-23,18.131786346435547
2000-03-24,18.239717483520508
2000-03-27,18.0140380859375
2000-03-28,17.96497917175293
2000-03-29,18.190656661987305
2000-03-30,18.308391571044922
2000-03-31,18.337833404541016
2000-04-03,18.416311264038086
2000-04-04,18.21027946472168
2000-04-05,18.141599655151367
2000-04-06,18.2985897064209
2000-04-07,18.57331085205078
2000-04-10,18.60273551940918
2000-04-11,18.82840919494629
2000-04-12,18.494808197021484
2000-04-13,18.543865203857422
2000-04-14,17.327239990234375
2000-04-17,17.749134063720703
2000-04-18,17.817819595336914
2000-04-19,17.88649559020996
2000-04-20,18.03367042541504
2000-04-24,18.053295135498047
2000-04-25,18.995197296142578
2000-04-26,18.710668563842773
2000-04-27,18.73029136657715
2000-04-28,18.60273551940918
2000-05-01,19.034460067749023
2000-05-02,18.838224411010742
2000-05-03,18.21027946472168
2000-05-04,18.239717483520508
2000-05-05,18.563499450683594
2000-05-08,18.553682327270508
2000-05-09,18.406509399414062
2000-05-10,18.2200870513916
2000-05-11,18.671424865722656
2000-05-12,18.897085189819336
2000-05-15,19.211061477661133
2000-05-16,19.387662887573242
2000-05-17,19.260120391845703
2000-05-18,19.17181968688965
2000-05-19,18.641983032226562
2000-05-22,18.318206787109375
2000-05-23,18.239717483520508
2000-05-24,18.50462532043457
2000-05-25,18.171030044555664
2000-05-26,18.072921752929688
2000-05-30,18.39670753479004
2000-05-31,18.52425765991211
2000-06-01,18.671424865722656
2000-06-02,18.808778762817383
2000-06-05,18.779359817504883
2000-06-06,18.641983032226562
2000-06-07,18.553682327270508
2000-06-08,18.25933265686035
2000-06-09,18.328018188476562
2000-06-12,18.347654342651367
2000-06-13,18.42613410949707
2000-06-14,18.386890411376953
2000-06-15,18.563499450683594
2000-06-16,18.23810386657715
2000-06-19,18.051286697387695
2000-06-20,17.490880966186523
2000-06-21,17.559709548950195
2000-06-22,17.176258087158203
2000-06-23,17.363065719604492
2000-06-26,17.776012420654297
2000-06-27,17.854660034179688
2000-06-28,18.080785751342773
2000-06-29,17.766162872314453
2000-06-30,17.795663833618164
2000-07-03,18.031639099121094
2000-07-05,17.87432861328125
2000-07-06,17.825157165527344
2000-07-07,17.913652420043945
2000-07-10,17.933317184448242
2000-07-11,18.277427673339844
2000-07-12,18.346250534057617
2000-07-13,18.493736267089844
2000-07-14,18.680526733398438
2000-07-17,18.788681030273438
2000-07-18,18.83784294128418
2000-07-19,18.680526733398438
2000-07-20,18.90667152404785
2000-07-21,18.877178192138672
2000-07-24,18.739530563354492
2000-07-25,18.778850555419922
2000-07-26,18.54288673400879
2000-07-27,18.415071487426758
2000-07-28,17.795663833618164
2000-07-31,18.070959091186523
2000-08-01,18.208600997924805
2000-08-02,18.129955291748047
2000-08-03,18.159442901611328
2000-08-04,18.385578155517578
2000-08-07,18.926334381103516
2000-08-08,19.093467712402344
2000-08-09,19.260608673095703
2000-08-10,19.211458206176758
2000-08-11,19.427759170532227
2000-08-14,19.624393463134766
2000-08-15,19.37859344482422
2000-08-16,19.29011344909668
2000-08-17,19.388425827026367
2000-08-18,19.329444885253906
2000-08-21,19.6047306060791
2000-08-22,19.56540870666504
2000-08-23,19.467082977294922
2000-08-24,19.67355728149414
2000-08-25,19.762035369873047
2000-08-28,20.027507781982422
2000-08-29,19.899682998657227
2000-08-30,19.71288299560547
2000-08-31,19.8603572845459
2000-09-01,20.037334442138672
2000-09-05,20.037334442138672
2000-09-06,20.135650634765625
2000-09-07,20.017663955688477
2000-09-08,19.781705856323242
2000-09-11,19.68338394165039
2000-09-12,19.624393463134766
2000-09-13,19.68338394165039
2000-09-14,19.66372299194336
2000-09-15,19.165266036987305
2000-09-18,18.948375701904297
2000-09-19,18.731475830078125
2000-09-20,18.83007049560547
2000-09-21,18.889223098754883
2000-09-22,18.751205444335938
2000-09-25,19.30328941345215
2000-09-26,19.323007583618164
2000-09-27,19.165266036987305
2000-09-28,19.42159652709961
2000-09-29,19.2835750579834
2000-10-02,19.08639907836914
2000-10-03,19.461029052734375
2000-10-04,19.599044799804688
2000-10-05,19.618772506713867
2000-10-06,19.08639907836914
2000-10-09,19.204708099365234
2000-10-10,18.948375701904297
2000-10-11,18.613182067871094
2000-10-12,18.18925666809082
2000-10-13,18.751205444335938
2000-10-16,19.007530212402344
2000-10-17,18.494884490966797
2000-10-18,18.159679412841797
2000-10-19,18.47515869140625
2000-10-20,18.573741912841797
2000-10-23,18.790637969970703
2000-10-24,19.08639907836914
2000-10-25,18.731475830078125
2000-10-26,18.83007049560547
2000-10-27,18.820213317871094
2000-10-30,19.027246475219727
2000-10-31,19.71735191345215
2000-11-01,19.737070083618164
2000-11-02,19.6976318359375
2000-11-03,19.539901733398438
2000-11-06,19.71735191345215
2000-11-07,19.79622459411621
2000-11-08,19.66806411743164
2000-11-09,19.79622459411621
2000-11-10,19.34272575378418
2000-11-13,18.987802505493164
2000-11-14,19.362445831298828
2000-11-15,19.40187644958496
2000-11-16,19.500459671020508
2000-11-17,19.42159652709961
2000-11-20,19.145538330078125
2000-11-21,19.382165908813477
2000-11-22,19.066675186157227
2000-11-24,19.382165908813477
