Date,IWD
2000-05-26,31.269309997558594
2000-05-30,31.6302490234375
2000-05-31,31.859146118164062
2000-06-01,32.14964294433594
2000-06-02,32.730682373046875
2000-06-05,32.554588317871094
2000-06-06,32.46657180786133
2000-06-07,32.51939392089844
2000-06-08,32.308109283447266
2000-06-09,32.29931640625
2000-06-12,32.3785400390625
2000-06-13,32.42255401611328
2000-06-14,32.48418426513672
2000-06-15,32.167274475097656
2000-06-16,31.69189453125
2000-06-19,31.89435386657715
2000-06-20,31.55103874206543
2000-06-21,31.572330474853516
2000-06-22,31.360788345336914
2000-06-23,31.30788803100586
2000-06-26,31.369583129882812
2000-06-27,31.360788345336914
2000-06-28,31.255008697509766
2000-06-29,31.140417098999023
2000-06-30,30.92007064819336
2000-07-03,30.708526611328125
2000-07-05,30.981760025024414
2000-07-06,30.92007064819336
2000-07-07,31.27264404296875
2000-07-10,31.30788803100586
2000-07-11,31.440128326416016
2000-07-12,31.45773696899414
2000-07-13,31.519439697265625
2000-07-14,31.56350326538086
2000-07-17,31.246212005615234
2000-07-18,31.166860580444336
2000-07-19,31.202131271362305
2000-07-20,31.440128326416016
2000-07-21,31.202131271362305
2000-07-24,31.02583885192871
2000-07-25,31.08754539489746
2000-07-26,30.972957611083984
2000-07-27,31.131622314453125
2000-07-28,30.602779388427734
2000-07-31,30.875995635986328
2000-08-01,31.131622314453125
2000-08-02,31.448909759521484
2000-08-03,31.528257369995117
2000-08-04,31.898433685302734
2000-08-07,32.19815444946289
2000-08-08,32.10117721557617
2000-08-09,31.907270431518555
2000-08-10,31.977767944335938
2000-08-11,32.295066833496094
2000-08-14,32.577144622802734
2000-08-15,32.47135925292969
2000-08-16,32.1893196105957
2000-08-17,32.40085220336914
2000-08-18,32.35678482055664
2000-08-21,32.453739166259766
2000-08-22,32.559505462646484
2000-08-23,32.47135925292969
2000-08-24,32.40085220336914
2000-08-25,32.3656120300293
2000-08-28,32.52424240112305
2000-08-29,32.3656120300293
2000-08-30,32.39204788208008
2000-08-31,32.718162536621094
2000-09-01,32.64764404296875
2000-09-05,32.682918548583984
2000-09-06,32.771053314208984
2000-09-07,32.700531005859375
2000-09-08,32.91207504272461
2000-09-11,33.141239166259766
2000-09-12,33.194122314453125
2000-09-13,33.070735931396484
2000-09-14,32.94732666015625
2000-09-15,32.700531005859375
2000-09-18,32.22458267211914
2000-09-19,32.154048919677734
2000-09-20,31.80061912536621
2000-09-21,31.712169647216797
2000-09-22,32.136653900146484
2000-09-25,32.21623229980469
2000-09-26,32.15433883666992
2000-09-27,32.17203140258789
2000-09-28,32.91485595703125
2000-09-29,32.84410095214844
2000-10-02,32.93254852294922
2000-10-03,32.96793746948242
2000-10-04,32.98562240600586
2000-10-05,33.038665771484375
2000-10-06,32.437320709228516
2000-10-09,32.401939392089844
2000-10-10,32.18973159790039
2000-10-11,31.871356964111328
2000-10-12,31.057764053344727
2000-10-13,31.56183433532715
2000-10-16,31.57953453063965
2000-10-17,31.261165618896484
2000-10-18,31.146209716796875
2000-10-19,31.667957305908203
2000-10-20,31.880197525024414
2000-10-23,31.906728744506836
2000-10-24,32.092437744140625
2000-10-25,31.977460861206055
2000-10-26,31.906728744506836
2000-10-27,32.49923324584961
