Date,XLB
2000-01-03,7.228259086608887
2000-01-04,7.158670902252197
2000-01-05,7.454411506652832
2000-01-06,7.6457743644714355
2000-01-07,7.641421794891357
2000-01-10,7.615328311920166
2000-01-11,7.524003028869629
2000-01-12,7.415270805358887
2000-01-13,7.445713043212891
2000-01-14,7.3935227394104
2000-01-18,7.215212345123291
2000-01-19,7.07603645324707
2000-01-20,6.889024257659912
2000-01-21,6.919466972351074
2000-01-24,6.736805438995361
2000-01-25,6.610680103302002
2000-01-26,6.610680103302002
2000-01-27,6.645471096038818
2000-01-28,6.532400608062744
2000-01-31,6.4932541847229
2000-02-01,6.610680103302002
2000-02-02,6.64112663269043
2000-02-03,6.528047561645508
2000-02-04,6.519350051879883
2000-02-07,6.393224239349365
2000-02-08,6.375825881958008
2000-02-09,6.249701976776123
2000-02-10,6.197511672973633
2000-02-11,6.045292854309082
2000-02-14,6.145321846008301
2000-02-15,6.4106221199035645
2000-02-16,6.2627482414245605
2000-02-17,6.249701976776123
2000-02-18,6.058343410491943
2000-02-22,6.249701976776123
2000-02-23,6.180116176605225
2000-02-24,5.958306789398193
2000-02-25,5.862631797790527
2000-02-28,5.880024433135986
2000-02-29,5.840883255004883
2000-03-01,5.7799973487854
2000-03-02,5.653868198394775
2000-03-03,5.836534023284912
2000-03-06,5.697361946105957
2000-03-07,5.514699459075928
2000-03-08,5.632124900817871
2000-03-09,5.623431205749512
2000-03-10,5.671267509460449
2000-03-13,5.758249759674072
2000-03-14,5.6582207679748535
2000-03-15,5.997454643249512
2000-03-16,6.349734306335449
2000-03-17,6.1381096839904785
2000-03-20,6.212216854095459
2000-03-21,6.286328315734863
2000-03-22,6.125029563903809
2000-03-23,6.3124871253967285
2000-03-24,6.28196907043457
2000-03-27,6.2558135986328125
2000-03-28,6.1381096839904785
2000-03-29,6.264533042907715
2000-03-30,6.434554100036621
2000-03-31,6.4301958084106445
2000-04-03,6.63944673538208
2000-04-04,6.57841157913208
2000-04-05,6.526098728179932
2000-04-06,6.486863136291504
2000-04-07,6.382235050201416
2000-04-10,6.539178371429443
2000-04-11,6.696118354797363
2000-04-12,6.870494365692139
2000-04-13,6.6786789894104
2000-04-14,6.3124871253967285
2000-04-17,6.321205139160156
2000-04-18,6.203497409820557
2000-04-19,6.125029563903809
2000-04-20,6.277609348297119
2000-04-24,6.290688991546631
2000-04-25,6.299407482147217
2000-04-26,6.190423011779785
2000-04-27,6.168623447418213
2000-04-28,6.216576099395752
2000-05-01,6.207858562469482
2000-05-02,6.399675369262695
2000-05-03,6.295048713684082
2000-05-04,6.360440254211426
2000-05-05,6.356080532073975
2000-05-08,6.321205139160156
2000-05-09,6.434554100036621
2000-05-10,6.356080532073975
2000-05-11,6.43890905380249
2000-05-12,6.460707187652588
2000-05-15,6.574054718017578
2000-05-16,6.504302024841309
2000-05-17,6.521742343902588
2000-05-18,6.469423770904541
2000-05-19,6.486863136291504
2000-05-22,6.451988697052002
2000-05-23,6.360440254211426
2000-05-24,6.334281921386719
2000-05-25,6.1032328605651855
2000-05-26,6.007321834564209
2000-05-30,6.072714328765869
2000-05-31,6.020401954650879
2000-06-01,6.037840843200684
2000-06-02,6.1381096839904785
