Date,QQQ
2000-01-03,79.92739868164062
2000-01-04,74.44426727294922
2000-01-05,72.54621124267578
2000-01-06,67.56394958496094
2000-01-07,75.92052459716797
2000-01-10,78.02938842773438
2000-01-11,74.23336791992188
2000-01-12,72.59896087646484
2000-01-13,76.97496032714844
2000-01-14,78.76753234863281
2000-01-18,79.18928527832031
2000-01-19,80.98184967041016
2000-01-20,80.1910400390625
2000-01-21,81.19275665283203
2000-01-24,77.29122924804688
2000-01-25,78.45121002197266
2000-01-26,75.28782653808594
2000-01-27,76.39505767822266
2000-01-28,72.54621124267578
2000-01-31,75.6568832397461
2000-02-01,77.68672180175781
2000-02-02,78.34571075439453
2000-02-03,81.40367889404297
2000-02-04,81.95720672607422
2000-02-07,83.09076690673828
2000-02-08,86.57042694091797
2000-02-09,83.51252746582031
2000-02-10,86.25411987304688
2000-02-11,84.25069427490234
2000-02-14,84.14519500732422
2000-02-15,84.75151062011719
2000-02-16,84.35613250732422
2000-02-17,86.14867401123047
2000-02-18,83.03802490234375
2000-02-22,83.30165100097656
2000-02-23,87.94126892089844
2000-02-24,89.83927154541016
2000-02-25,87.78311157226562
2000-02-28,87.73036193847656
2000-02-29,90.05013275146484
2000-03-01,90.7882308959961
2000-03-02,88.68592834472656
2000-03-03,93.68798828125
2000-03-06,94.42610931396484
2000-03-07,93.00260925292969
2000-03-08,93.8461685180664
2000-03-09,97.0095443725586
2000-03-10,96.5877456665039
2000-03-13,94.05707550048828
2000-03-14,90.577392578125
2000-03-15,86.78135681152344
2000-03-16,91.73725891113281
2000-03-17,93.47714233398438
2000-03-20,90.84098052978516
2000-03-21,94.2679672241211
2000-03-22,96.16596221923828
2000-03-23,97.85308837890625
2000-03-24,99.1711654663086
2000-03-27,99.32931518554688
2000-03-28,96.79862213134766
2000-03-29,92.79170227050781
2000-03-30,90.47195434570312
2000-03-31,92.36996459960938
2000-04-03,86.83406066894531
2000-04-04,85.99050903320312
2000-04-05,84.4615478515625
2000-04-06,86.46500396728516
2000-04-07,89.9447021484375
2000-04-10,84.4615478515625
2000-04-11,82.45809936523438
2000-04-12,77.60762023925781
2000-04-13,74.23336791992188
2000-04-14,67.80123138427734
2000-04-17,75.60411834716797
2000-04-18,77.60762023925781
2000-04-19,75.23511505126953
2000-04-20,73.60071563720703
2000-04-24,71.49181365966797
2000-04-25,76.31592559814453
2000-04-26,73.7061538696289
2000-04-27,76.97496032714844
2000-04-28,79.92739868164062
2000-05-01,80.66552734375
2000-05-02,76.02594757080078
2000-05-03,75.18238067626953
2000-05-04,75.34054565429688
2000-05-05,77.13314056396484
2000-05-08,74.12789154052734
2000-05-09,72.54621124267578
2000-05-10,67.27398681640625
2000-05-11,71.38638305664062
2000-05-12,71.38638305664062
2000-05-15,74.4969711303711
2000-05-16,76.60587310791016
2000-05-17,75.02418518066406
2000-05-18,72.33535766601562
2000-05-19,68.90840911865234
2000-05-22,68.85568237304688
2000-05-23,63.10892105102539
2000-05-24,67.06311798095703
2000-05-25,65.58686828613281
2000-05-26,65.58686828613281
2000-05-30,72.17716979980469
2000-05-31,70.12100982666016
2000-06-01,73.7061538696289
2000-06-02,78.97840881347656
2000-06-05,79.17610931396484
2000-06-06,76.97496032714844
2000-06-07,79.03114318847656
2000-06-08,78.6620864868164
2000-06-09,79.08384704589844
2000-06-12,76.55315399169922
2000-06-13,79.50566101074219
2000-06-14,77.71307373046875
2000-06-15,79.08384704589844
2000-06-16,79.50566101074219
2000-06-19,82.66901397705078
2000-06-20,82.35263061523438
2000-06-21,83.4071044921875
2000-06-22,80.34917449951172
2000-06-23,77.18585205078125
2000-06-26,79.29471588134766
2000-06-27,78.34571075439453
2000-06-28,79.29471588134766
2000-06-29,77.30445861816406
2000-06-30,78.82020568847656
2000-07-03,80.34917449951172
2000-07-05,77.23853302001953
2000-07-06,79.29471588134766
2000-07-07,80.92914581298828
2000-07-10,79.70333099365234
2000-07-11,80.1383056640625
2000-07-12,82.03631591796875
2000-07-13,83.09076690673828
2000-07-14,84.88336181640625
2000-07-17,85.83231353759766
