Date,AMT
2000-01-03,21.22063636779785
2000-01-04,20.99439811706543
2000-01-05,21.627851486206055
2000-01-06,21.4016170501709
2000-01-07,22.57802963256836
2000-01-10,24.568876266479492
2000-01-11,26.423974990844727
2000-01-12,27.50989532470703
2000-01-13,26.785959243774414
2000-01-14,27.60039520263672
2000-01-18,27.826618194580078
2000-01-19,28.233850479125977
2000-01-20,29.319761276245117
2000-01-21,31.220104217529297
2000-01-24,30.405685424804688
2000-01-25,29.907976150512695
2000-01-26,28.776819229125977
2000-01-27,27.7813777923584
2000-01-28,27.374162673950195
2000-01-31,25.97151756286621
2000-02-01,28.052854537963867
2000-02-02,28.414836883544922
2000-02-03,28.95779800415039
2000-02-04,29.274520874023438
2000-02-07,27.962366104125977
2000-02-08,30.405685424804688
2000-02-09,30.31517791748047
2000-02-10,31.808311462402344
2000-02-11,32.03455352783203
2000-02-14,32.48701095581055
2000-02-15,33.029972076416016
2000-02-16,33.301456451416016
2000-02-17,32.57750701904297
2000-02-18,30.948640823364258
2000-02-22,29.681737899780273
2000-02-23,31.35585594177246
2000-02-24,31.12963104248047
2000-02-25,30.76764678955078
2000-02-28,32.713260650634766
2000-02-29,35.6542854309082
2000-03-01,35.38280487060547
2000-03-02,35.111324310302734
2000-03-03,36.830692291259766
2000-03-06,36.92118835449219
2000-03-07,35.92576217651367
2000-03-08,39.04777908325195
2000-03-09,38.8215446472168
2000-03-10,39.681217193603516
2000-03-13,38.91204071044922
2000-03-14,35.83527374267578
2000-03-15,32.306034088134766
2000-03-16,32.57750701904297
2000-03-17,36.740196228027344
2000-03-20,34.749359130859375
2000-03-21,34.658843994140625
2000-03-22,38.36906051635742
2000-03-23,37.78086471557617
2000-03-24,37.64512634277344
2000-03-27,36.423465728759766
2000-03-28,36.87592697143555
2000-03-29,36.10675048828125
2000-03-30,36.19725036621094
2000-03-31,35.7447624206543
2000-04-03,32.667999267578125
2000-04-04,31.808311462402344
2000-04-05,33.79917526245117
2000-04-06,36.19725036621094
2000-04-07,36.06148147583008
2000-04-10,33.84441375732422
2000-04-11,33.029972076416016
2000-04-12,31.31059455871582
2000-04-13,30.22469139099121
2000-04-14,29.093524932861328
2000-04-17,30.043716430664062
2000-04-18,31.672571182250977
2000-04-19,32.622772216796875
2000-04-20,32.75849914550781
2000-04-24,31.084381103515625
2000-04-25,31.12963104248047
2000-04-26,32.39651870727539
2000-04-27,32.079803466796875
2000-04-28,33.70869064331055
2000-05-01,33.57292938232422
2000-05-02,33.07522201538086
2000-05-03,30.903392791748047
2000-05-04,31.35585594177246
2000-05-05,32.75849914550781
2000-05-08,32.667999267578125
2000-05-09,31.672571182250977
2000-05-10,29.636489868164062
2000-05-11,29.274520874023438
2000-05-12,30.269943237304688
2000-05-15,29.681737899780273
2000-05-16,31.71784210205078
2000-05-17,32.441768646240234
2000-05-18,32.03455352783203
2000-05-19,31.12963104248047
2000-05-22,29.72698211669922
2000-05-23,28.414836883544922
2000-05-24,27.917112350463867
2000-05-25,28.822065353393555
2000-05-26,28.369586944580078
2000-05-30,27.283668518066406
2000-05-31,26.876441955566406
2000-06-01,27.962366104125977
2000-06-02,29.95322036743164
2000-06-05,31.53685188293457
2000-06-06,31.491596221923828
2000-06-07,30.722410202026367
2000-06-08,30.269943237304688
2000-06-09,30.22469139099121
2000-06-12,29.681737899780273
2000-06-13,29.455503463745117
2000-06-14,29.817480087280273
2000-06-15,30.405685424804688
2000-06-16,30.360429763793945
2000-06-19,29.907976150512695
2000-06-20,30.134197235107422
2000-06-21,30.76764678955078
2000-06-22,29.862722396850586
2000-06-23,29.681737899780273
2000-06-26,29.72698211669922
2000-06-27,29.591232299804688
2000-06-28,29.591232299804688
2000-06-29,29.817480087280273
2000-06-30,30.1794376373291
2000-07-03,30.405685424804688
2000-07-05,30.45093536376953
2000-07-06,30.858156204223633
2000-07-07,31.672571182250977
2000-07-10,33.66344451904297
2000-07-11,33.301456451416016
2000-07-12,34.342132568359375
2000-07-13,33.66344451904297
2000-07-14,33.12046432495117
2000-07-17,31.94406509399414
2000-07-18,32.215553283691406
2000-07-19,32.215553283691406
2000-07-20,32.667999267578125
2000-07-21,32.306034088134766
2000-07-24,33.57292938232422
2000-07-25,32.848995208740234
2000-07-26,32.306034088134766
2000-07-27,31.58208656311035
2000-07-28,30.269943237304688
2000-07-31,31.03912925720215
2000-08-01,31.084381103515625
2000-08-02,31.220104217529297
2000-08-03,31.44634437561035
2000-08-04,32.441768646240234
2000-08-07,32.12505340576172
2000-08-08,31.627334594726562
2000-08-09,31.53685188293457
2000-08-10,30.31517791748047
2000-08-11,30.31517791748047
2000-08-14,30.948640823364258
2000-08-15,31.12963104248047
2000-08-16,31.31059455871582
2000-08-17,30.812889099121094
2000-08-18,32.939491271972656
2000-08-21,32.48701095581055
2000-08-22,30.76764678955078
2000-08-23,31.53685188293457
2000-08-24,31.265377044677734
2000-08-25,31.35585594177246
2000-08-28,29.500757217407227
2000-08-29,29.681737899780273
2000-08-30,27.736143112182617
2000-08-31,26.3334903717041
2000-09-01,27.419408798217773
2000-09-05,26.51447868347168
2000-09-06,27.374162673950195
2000-09-07,27.283668518066406
2000-09-08,27.057424545288086
