Date,XLP
2000-01-03,12.13882064819336
2000-01-04,11.797001838684082
2000-01-05,12.005431175231934
2000-01-06,12.230530738830566
2000-01-07,13.00588321685791
2000-01-10,12.714081764221191
2000-01-11,12.714081764221191
2000-01-12,12.780781745910645
2000-01-13,12.84747314453125
2000-01-14,12.889158248901367
2000-01-18,12.672396659851074
2000-01-19,12.764103889465332
2000-01-20,12.589028358459473
2000-01-21,12.447293281555176
2000-01-24,12.088805198669434
2000-01-25,11.93873119354248
2000-01-26,12.047109603881836
2000-01-27,12.27221965789795
2000-01-28,12.172170639038086
2000-01-31,12.397266387939453
2000-02-01,12.27221965789795
2000-02-02,12.297225952148438
2000-02-03,12.130483627319336
2000-02-04,12.122146606445312
2000-02-07,12.105472564697266
2000-02-08,12.25554370880127
2000-02-09,12.1471586227417
2000-02-10,11.738645553588867
2000-02-11,11.513540267944336
2000-02-14,11.5718994140625
2000-02-15,11.830351829528809
2000-02-16,11.663607597351074
2000-02-17,11.488530158996582
2000-02-18,11.355132102966309
2000-02-22,11.538548469543457
2000-02-23,11.288436889648438
2000-02-24,11.054993629455566
2000-02-25,10.779876708984375
2000-02-28,10.98830509185791
2000-02-29,10.946613311767578
2000-03-01,10.84657096862793
2000-03-02,10.871585845947266
2000-03-03,10.813223838806152
2000-03-06,10.554770469665527
2000-03-07,9.987858772277832
2000-03-08,10.296321868896484
2000-03-09,10.571447372436523
2000-03-10,10.446393966674805
2000-03-13,10.27964973449707
2000-03-14,10.221287727355957
2000-03-15,10.871585845947266
2000-03-16,11.338459968566895
2000-03-17,11.291221618652344
2000-03-20,11.190855979919434
2000-03-21,11.399958610534668
2000-03-22,11.307950019836426
2000-03-23,11.215947151184082
2000-03-24,11.015214920043945
2000-03-27,10.873027801513672
2000-03-28,10.998490333557129
2000-03-29,11.266131401062012
2000-03-30,11.416683197021484
2000-03-31,11.358135223388672
2000-04-03,11.876691818237305
2000-04-04,12.211248397827148
2000-04-05,12.043970108032227
2000-04-06,11.826505661010742
2000-04-07,11.675958633422852
2000-04-10,11.968695640563965
2000-04-11,12.177789688110352
2000-04-12,12.319981575012207
2000-04-13,12.236335754394531
2000-04-14,11.634139060974121
2000-04-17,11.968695640563965
2000-04-18,12.043970108032227
2000-04-19,12.186151504516602
2000-04-20,12.177789688110352
2000-04-24,12.512345314025879
2000-04-25,12.453800201416016
2000-04-26,12.311614990234375
2000-04-27,12.311614990234375
2000-04-28,11.96033000946045
2000-05-01,12.11087703704834
2000-05-02,12.14433765411377
2000-05-03,12.14433765411377
2000-05-04,12.14433765411377
2000-05-05,12.428709030151367
2000-05-08,12.687992095947266
2000-05-09,12.746541976928711
2000-05-10,12.662900924682617
2000-05-11,12.64616584777832
2000-05-12,12.47889518737793
2000-05-15,12.788357734680176
