Date,HON
2000-01-03,28.122514724731445
2000-01-04,27.626407623291016
2000-01-05,27.254344940185547
2000-01-06,27.78143310546875
2000-01-07,29.26973533630371
2000-01-10,29.424766540527344
2000-01-11,29.20770835876465
2000-01-12,29.486774444580078
2000-01-13,29.703798294067383
2000-01-14,29.703798294067383
2000-01-18,29.26973533630371
2000-01-19,26.91326141357422
2000-01-20,26.23112678527832
2000-01-21,25.45598602294922
2000-01-24,23.688634872436523
2000-01-25,23.595623016357422
2000-01-26,23.626628875732422
2000-01-27,22.944501876831055
2000-01-28,22.41737937927246
2000-01-31,23.812660217285156
2000-02-01,23.564613342285156
2000-02-02,23.93668556213379
2000-02-03,23.564613342285156
2000-02-04,23.502592086791992
2000-02-07,22.324365615844727
2000-02-08,22.448392868041992
2000-02-09,21.704248428344727
2000-02-10,21.45619773864746
2000-02-11,20.960105895996094
2000-02-14,21.146133422851562
2000-02-15,22.975505828857422
2000-02-16,22.353099822998047
2000-02-17,23.131399154663086
2000-02-18,22.072906494140625
2000-02-22,23.536134719848633
2000-02-23,22.508750915527344
2000-02-24,22.788942337036133
2000-02-25,23.19367218017578
2000-02-28,23.909717559814453
2000-02-29,23.97197723388672
2000-03-01,23.97197723388672
2000-03-02,22.85121726989746
2000-03-03,22.6644229888916
2000-03-06,22.072906494140625
2000-03-07,20.827606201171875
2000-03-08,21.263446807861328
2000-03-09,21.917240142822266
2000-03-10,22.60216522216797
2000-03-13,22.22856330871582
2000-03-14,22.415361404418945
2000-03-15,22.882339477539062
2000-03-16,24.781423568725586
2000-03-17,23.34933090209961
2000-03-20,23.660655975341797
2000-03-21,24.905956268310547
2000-03-22,23.03801918029785
2000-03-23,23.03801918029785
2000-03-24,24.719161987304688
2000-03-27,23.909717559814453
2000-03-28,23.318199157714844
2000-03-29,24.4078369140625
2000-03-30,25.65312957763672
2000-03-31,26.24464225769043
2000-04-03,27.085227966308594
2000-04-04,26.77389907836914
2000-04-05,26.27578353881836
2000-04-06,25.964458465576172
2000-04-07,25.715404510498047
2000-04-10,26.64936637878418
2000-04-11,27.925813674926758
2000-04-12,26.338041305541992
2000-04-13,27.614477157592773
2000-04-14,26.9606876373291
2000-04-17,27.39655113220215
2000-04-18,26.77389907836914
2000-04-19,27.054100036621094
2000-04-20,28.392778396606445
2000-04-24,28.019193649291992
2000-04-25,28.797513961791992
2000-04-26,27.739009857177734
2000-04-27,27.552223205566406
2000-04-28,27.894668579101562
2000-05-01,27.645599365234375
2000-05-02,26.8984317779541
