Date,XOM
2000-01-03,17.025705337524414
2000-01-04,16.699596405029297
2000-01-05,17.60999870300293
2000-01-06,18.520381927490234
2000-01-07,18.466035842895508
2000-01-10,18.207868576049805
2000-01-11,18.2622127532959
2000-01-12,18.15350914001465
2000-01-13,18.574745178222656
2000-01-14,18.207868576049805
2000-01-18,18.425268173217773
2000-01-19,18.60190200805664
2000-01-20,18.194278717041016
2000-01-21,18.47962188720703
2000-01-24,18.316558837890625
2000-01-25,18.27580451965332
2000-01-26,18.15350914001465
2000-01-27,17.60999870300293
2000-01-28,17.14800453186035
2000-01-31,18.017637252807617
2000-02-01,18.085567474365234
2000-02-02,18.22145652770996
2000-02-03,17.908916473388672
2000-02-04,17.58281707763672
2000-02-07,17.555641174316406
2000-02-08,17.161588668823242
2000-02-09,16.67022705078125
2000-02-10,16.588241577148438
2000-02-11,16.150981903076172
2000-02-14,16.711217880249023
2000-02-15,17.33976936340332
2000-02-16,17.490081787109375
2000-02-17,17.025495529174805
2000-02-18,16.396944046020508
2000-02-22,16.492595672607422
2000-02-23,16.314964294433594
2000-02-24,15.918697357177734
2000-02-25,15.536105155944824
2000-02-28,16.069002151489258
2000-02-29,16.465272903442383
2000-03-01,16.62923812866211
2000-03-02,16.834203720092773
2000-03-03,16.5472469329834
2000-03-06,15.946029663085938
2000-03-07,17.490081787109375
2000-03-08,17.4080810546875
2000-03-09,17.585725784301758
2000-03-10,16.84103012084961
2000-03-13,16.588241577148438
2000-03-14,16.88886070251465
2000-03-15,16.998167037963867
2000-03-16,17.43541717529297
2000-03-17,16.861530303955078
2000-03-20,16.369619369506836
2000-03-21,16.834203720092773
2000-03-22,16.383275985717773
2000-03-23,16.50625991821289
2000-03-24,16.88886070251465
2000-03-27,16.728296279907227
2000-03-28,17.271455764770508
2000-03-29,17.599390029907227
2000-03-30,17.189464569091797
2000-03-31,17.05282211303711
2000-04-03,17.599390029907227
2000-04-04,18.036636352539062
2000-04-05,17.43541717529297
2000-04-06,17.872661590576172
2000-04-07,17.394424438476562
2000-04-10,17.107481002807617
2000-04-11,17.35343360900879
2000-04-12,17.476404190063477
2000-04-13,17.490081787109375
2000-04-14,17.216793060302734
2000-04-17,16.50625991821289
2000-04-18,16.65655517578125
2000-04-19,16.92984962463379
2000-04-20,17.271455764770508
2000-04-24,17.46274185180664
2000-04-25,17.708702087402344
2000-04-26,17.51740074157715
2000-04-27,17.6403751373291
2000-04-28,16.98450469970703
2000-05-01,17.05282211303711
2000-05-02,17.107481002807617
2000-05-03,16.943510055541992
2000-05-04,17.380752563476562
2000-05-05,17.490081787109375
2000-05-08,17.585725784301758
2000-05-09,17.367103576660156
2000-05-10,17.81800651550293
2000-05-11,18.23070526123047
2000-05-12,18.03150177001953
2000-05-15,18.3818302154541
2000-05-16,18.29941177368164
2000-05-17,17.887256622314453
2000-05-18,17.9044246673584
2000-05-19,17.96967887878418
2000-05-22,18.313142776489258
2000-05-23,18.244455337524414
2000-05-24,18.23070526123047
2000-05-25,17.900999069213867
