Date,SO
2000-01-03,4.196808338165283
2000-01-04,4.242927551269531
2000-01-05,4.461991310119629
2000-01-06,4.473521709442139
2000-01-07,4.554229736328125
2000-01-10,4.519639492034912
2000-01-11,4.485050201416016
2000-01-12,4.565758228302002
2000-01-13,4.508110523223877
2000-01-14,4.450460910797119
2000-01-18,4.312106609344482
2000-01-19,4.4158735275268555
2000-01-20,4.392812252044678
2000-01-21,4.519639492034912
2000-01-24,4.63493537902832
2000-01-25,4.681056976318359
2000-01-26,4.704115867614746
2000-01-27,4.7156453132629395
2000-01-28,4.669525146484375
2000-01-31,4.738701343536377
2000-02-01,4.681056976318359
2000-02-02,4.646466255187988
2000-02-03,4.650672912597656
2000-02-04,4.54550838470459
2000-02-07,4.54550838470459
2000-02-08,4.568878173828125
2000-02-09,4.5338239669799805
2000-02-10,4.580562591552734
2000-02-11,4.557191848754883
2000-02-14,4.557191848754883
2000-02-15,4.54550838470459
2000-02-16,4.463710308074951
2000-02-17,4.393603324890137
2000-02-18,4.311804294586182
2000-02-22,4.311804294586182
2000-02-23,4.253377914428711
2000-02-24,4.124845027923584
2000-02-25,4.066416263580322
2000-02-28,4.241695880889893
2000-02-29,4.1482133865356445
2000-03-01,4.101471900939941
2000-03-02,4.124845027923584
2000-03-03,4.124845027923584
2000-03-06,3.9612526893615723
2000-03-07,3.984623908996582
2000-03-08,3.9495673179626465
2000-03-09,3.937883138656616
2000-03-10,3.9495673179626465
2000-03-13,3.984623908996582
2000-03-14,3.8443992137908936
2000-03-15,4.0781025886535645
2000-03-16,4.253377914428711
2000-03-17,4.101471900939941
2000-03-20,4.066416263580322
2000-03-21,3.984623908996582
2000-03-22,3.9145116806030273
2000-03-23,4.007991790771484
2000-03-24,4.089786529541016
2000-03-27,4.124845027923584
2000-03-28,4.0781025886535645
2000-03-29,4.066416263580322
2000-03-30,4.054730415344238
2000-03-31,4.066416263580322
2000-04-03,4.230009078979492
2000-04-04,4.323490142822266
2000-04-05,4.323490142822266
2000-04-06,4.194955348968506
2000-04-07,4.159898281097412
2000-04-10,4.35854434967041
2000-04-11,4.393603324890137
2000-04-12,4.510450839996338
2000-04-13,4.638989448547363
2000-04-14,4.580562591552734
2000-04-17,4.580562591552734
2000-04-18,4.7616801261901855
2000-04-19,4.650672912597656
2000-04-20,4.779209613800049
2000-04-24,4.84932279586792
2000-04-25,4.989541530609131
2000-04-26,5.141448497772217
2000-04-27,4.920952796936035
2000-04-28,4.719855785369873
2000-05-01,4.589735984802246
2000-05-02,4.625220775604248
2000-05-03,4.648880481719971
2000-05-04,4.708024501800537
2000-05-05,4.637050628662109
2000-05-08,4.719855785369873
2000-05-09,4.73168420791626
2000-05-10,4.790829658508301
2000-05-11,4.8972930908203125
2000-05-12,4.743513107299805
2000-05-15,4.838147163391113
2000-05-16,4.779000759124756
2000-05-17,4.637050628662109
2000-05-18,4.767169952392578
2000-05-19,4.838147163391113
2000-05-22,4.909125804901123
2000-05-23,4.861805438995361
2000-05-24,5.003755569458008
2000-05-25,4.95643949508667
2000-05-26,4.991926193237305
2000-05-30,4.8736348152160645
2000-05-31,4.909125804901123
2000-06-01,4.885465145111084
2000-06-02,4.743513107299805
2000-06-05,4.589735984802246
2000-06-06,4.708024501800537
2000-06-07,4.73168420791626
2000-06-08,4.719855785369873
2000-06-09,4.73168420791626
2000-06-12,4.761256694793701
2000-06-13,4.861805438995361
2000-06-14,4.838147163391113
2000-06-15,4.838147163391113
2000-06-16,4.743513107299805
2000-06-19,4.684367656707764
2000-06-20,4.73168420791626
2000-06-21,4.708024501800537
2000-06-22,4.708024501800537
2000-06-23,4.708024501800537
2000-06-26,4.73168420791626
2000-06-27,4.577903747558594
2000-06-28,4.651836395263672
2000-06-29,4.542418003082275
2000-06-30,4.412294864654541
2000-07-03,4.506930351257324
2000-07-05,4.506930351257324
2000-07-06,4.530589580535889
2000-07-07,4.589735984802246
2000-07-10,4.672540187835693
2000-07-11,4.696197509765625
2000-07-12,4.613390922546387
2000-07-13,4.625220775604248
2000-07-14,4.566072940826416
2000-07-17,4.566072940826416
2000-07-18,4.601562023162842
2000-07-19,4.755342483520508
2000-07-20,4.755342483520508
2000-07-21,4.767169952392578
2000-07-24,4.73168420791626
2000-07-25,4.719855785369873
2000-07-26,4.613390922546387
2000-07-27,4.672540187835693
2000-07-28,4.696197509765625
2000-07-31,4.625220775604248
2000-08-01,4.743513107299805
2000-08-02,4.944611072540283
2000-08-03,5.071749210357666
2000-08-04,5.080734729766846
2000-08-07,5.26347541809082
2000-08-08,5.344356536865234
2000-08-09,5.221533298492432
2000-08-10,5.203559875488281
2000-08-11,5.212544918060303
2000-08-14,5.272461414337158
2000-08-15,5.2844438552856445
2000-08-16,5.239508152008057
2000-08-17,5.236510753631592
2000-08-18,5.248494625091553
2000-08-21,5.260477066040039
2000-08-22,5.236510753631592
2000-08-23,5.356342315673828
2000-08-24,5.368324279785156
2000-08-25,5.440221309661865
2000-08-28,5.536085605621338
2000-08-29,5.464188575744629
2000-08-30,5.631945610046387
2000-08-31,5.742790699005127
2000-09-01,5.742790699005127
2000-09-05,5.871605396270752
2000-09-06,5.97945499420166
2000-09-07,6.087296962738037
2000-09-08,6.308976650238037
2000-09-11,6.341928958892822
2000-09-12,6.398848533630371
2000-09-13,6.530663967132568
2000-09-14,6.302989959716797
2000-09-15,6.305984020233154
2000-09-18,6.34792423248291
2000-09-19,6.0513482093811035
2000-09-20,5.871605396270752
2000-09-21,5.73978853225708
2000-09-22,5.763758182525635
2000-09-25,5.967468738555908
2000-09-26,6.183156490325928
2000-09-27,6.138227462768555
2000-09-28,6.147210121154785
2000-09-29,6.222104549407959
2000-10-02,6.147210121154785
2000-10-03,5.919534206390381
2000-10-04,5.643930435180664
2000-10-05,5.560051441192627
2000-10-06,5.5959978103637695
2000-10-09,5.751774311065674
2000-10-10,5.73978853225708
2000-10-11,5.787725448608398
2000-10-12,5.727809429168701
2000-10-13,5.775741100311279
2000-10-16,5.727809429168701
2000-10-17,5.73978853225708
2000-10-18,5.727809429168701
2000-10-19,5.655910968780518
2000-10-20,5.667895793914795
2000-10-23,5.73978853225708
2000-10-24,5.655910968780518
2000-10-25,5.476170539855957
2000-10-26,5.428239822387695
2000-10-27,5.536085605621338
2000-10-30,5.703846454620361
2000-10-31,5.631945610046387
2000-11-01,5.763758182525635
2000-11-02,5.634824752807617
2000-11-03,5.659061431884766
2000-11-06,5.598471641540527
2000-11-07,5.562119007110596
2000-11-08,5.549999713897705
2000-11-09,5.562119007110596
2000-11-10,5.598471641540527
2000-11-13,5.659061431884766
2000-11-14,5.46517276763916
2000-11-15,5.598471641540527
2000-11-16,5.7317681312561035
2000-11-17,6.0104804039001465
2000-11-20,5.865065574645996
2000-11-21,5.804471969604492
2000-11-22,5.82871150970459
2000-11-24,5.82871150970459
2000-11-27,5.792355060577393
2000-11-28,5.8529462814331055
2000-11-29,5.949893474578857
2000-11-30,6.119541168212891
2000-12-01,6.0104804039001465
2000-12-04,6.046839714050293
2000-12-05,5.889298915863037
2000-12-06,5.671176910400391
2000-12-07,5.453055381774902
2000-12-08,5.549999713897705
2000-12-11,5.586353302001953
2000-12-12,5.634824752807617
2000-12-13,5.913538455963135
2000-12-14,5.816592693328857
2000-12-15,5.889298915863037
2000-12-18,6.046839714050293
2000-12-19,6.034717082977295
2000-12-20,6.3618974685668945
2000-12-21,6.313427925109863
2000-12-22,6.386136054992676
2000-12-26,6.531545639038086
2000-12-27,6.519432544708252
2000-12-28,6.470957279205322
2000-12-29,6.446724891662598
2001-01-02,6.25283670425415
2001-01-03,6.058954238891602
2001-01-04,5.622707843780518
2001-01-05,5.525763988494873
2001-01-08,5.671176910400391
2001-01-09,5.683296203613281
2001-01-10,5.598471641540527
2001-01-11,5.295522212982178
2001-01-12,5.440939426422119
2001-01-16,5.392463684082031
2001-01-17,5.331876754760742
2001-01-18,5.356112957000732
2001-01-19,5.46517276763916
2001-01-22,5.562119007110596
2001-01-23,5.586353302001953
2001-01-24,5.671176910400391
2001-01-25,5.7317681312561035
2001-01-26,5.634824752807617
2001-01-29,5.702201843261719
2001-01-30,5.711894512176514
2001-01-31,5.65760612487793
2001-02-01,5.584054470062256
2001-02-02,5.635051250457764
2001-02-05,5.697816371917725
2001-02-06,5.73704195022583
2001-02-07,5.776272773742676
2001-02-08,5.895912170410156
2001-02-09,5.921411037445068
2001-02-12,5.993983268737793
2001-02-13,5.97240686416626
2001-02-14,5.927297115325928
2001-02-15,5.805692195892334
2001-02-16,5.948875904083252
2001-02-20,6.0528244972229
2001-02-21,5.9920244216918945
2001-02-22,5.99790620803833
2001-02-23,5.917490482330322
2001-02-26,5.97240686416626
2001-02-27,6.046940326690674
2001-02-28,6.070478916168213
2001-03-01,6.076361656188965
2001-03-02,6.139123916625977
2001-03-05,6.16070032119751
2001-03-06,6.129322052001953
2001-03-07,6.072439193725586
2001-03-08,6.11166524887085
2001-03-09,6.070478916168213
2001-03-12,6.041054725646973
2001-03-13,5.93710470199585
2001-03-14,5.821381568908691
2001-03-15,6.225426197052002
2001-03-16,6.2313127517700195
2001-03-19,6.329379558563232
2001-03-20,6.376453399658203
2001-03-21,6.403911590576172
2001-03-22,6.276421070098877
2001-03-23,6.225426197052002
2001-03-26,6.519634246826172
2001-03-27,6.611819267272949
2001-03-28,6.721659183502197
2001-03-29,6.776574611663818
2001-03-30,6.882491588592529
2001-04-02,6.9217143058776855
2001-04-03,7.095519065856934
2001-04-04,7.031303882598877
2001-04-05,7.082677841186523
2001-04-06,6.893247604370117
2001-04-09,7.060205459594727
2001-04-10,7.153313159942627
2001-04-11,7.188631534576416
2001-04-12,7.1179962158203125
2001-04-16,7.256052494049072
2001-04-17,7.381267547607422
2001-04-18,7.320265293121338
2001-04-19,7.162943363189697
2001-04-20,7.178997039794922
2001-04-23,7.281735897064209
2001-04-24,7.439062118530273
2001-04-25,7.480804443359375
2001-04-26,7.490427017211914
2001-04-27,7.4037394523620605
2001-04-30,7.509688854217529
2001-05-01,7.496849536895752
2001-05-02,7.4101643562316895
2001-05-03,7.28799295425415
2001-05-04,7.317311763763428
2001-05-07,7.359667778015137
2001-05-08,7.314058303833008
2001-05-09,7.330348491668701
2001-05-10,7.41505241394043
2001-05-11,7.3629231452941895
2001-05-14,7.388986110687256
2001-05-15,7.310796737670898
2001-05-16,7.330348491668701
2001-05-17,7.359667778015137
2001-05-18,7.330348491668701
2001-05-21,7.340121269226074
2001-05-22,7.398761749267578
2001-05-23,7.47695255279541
2001-05-24,7.519303321838379
2001-05-25,7.463918685913086
2001-05-29,7.4280829429626465
2001-05-30,7.519303321838379
2001-05-31,7.669175148010254
2001-06-01,7.564917087554932
2001-06-04,7.714783191680908
2001-06-05,7.740842342376709
2001-06-06,7.587719440460205
2001-06-07,7.489982604980469
2001-06-08,7.489982604980469
2001-06-11,7.558399677276611
2001-06-12,7.574692249298096
2001-06-13,7.47695255279541
2001-06-14,7.3205718994140625
2001-06-15,7.398761749267578
2001-06-18,7.418310642242432
2001-06-19,7.493241310119629
2001-06-20,7.62355899810791
2001-06-21,7.499763011932373
2001-06-22,7.542109489440918
2001-06-25,7.512786865234375
2001-06-26,7.607268333435059
2001-06-27,7.695239067077637
2001-06-28,7.652884006500244
2001-06-29,7.574692249298096
2001-07-02,7.594240188598633
2001-07-03,7.600750923156738
2001-07-05,7.590983867645264
2001-07-06,7.548628330230713
2001-07-09,7.617041110992432
2001-07-10,7.6789469718933105
2001-07-11,7.62355899810791
2001-07-12,7.574692249298096
2001-07-13,7.604010105133057
2001-07-16,7.695239067077637
2001-07-17,7.682203769683838
2001-07-18,7.6789469718933105
2001-07-19,7.62355899810791
2001-07-20,7.509532928466797
2001-07-23,7.437857151031494
2001-07-24,7.359667778015137
2001-07-25,7.314058303833008
2001-07-26,7.483469009399414
2001-07-27,7.486727714538574
2001-07-30,7.652884006500244
2001-07-31,7.656139373779297
2001-08-01,7.69197416305542
2001-08-02,7.799384593963623
2001-08-03,7.997671127319336
