Date,EQIX
2000-08-11,308.89788818359375
2000-08-14,282.42095947265625
2000-08-15,285.3626708984375
2000-08-16,291.24658203125
2000-08-17,282.42095947265625
2000-08-18,336.84576416015625
2000-08-21,357.43890380859375
2000-08-22,317.7234191894531
2000-08-23,305.95587158203125
2000-08-24,283.891845703125
2000-08-25,303.01409912109375
2000-08-28,308.89788818359375
2000-08-29,314.78167724609375
2000-08-30,333.9037780761719
2000-08-31,380.9739685058594
2000-09-01,370.6773376464844
2000-09-05,366.26446533203125
2000-09-06,364.793701171875
2000-09-07,338.3167419433594
2000-09-08,329.4909973144531
2000-09-11,326.5491638183594
2000-09-12,305.95587158203125
2000-09-13,294.1883544921875
2000-09-14,298.601318359375
2000-09-15,295.65936279296875
2000-09-18,283.891845703125
2000-09-19,264.7695617675781
2000-09-20,244.17637634277344
2000-09-21,250.0601043701172
2000-09-22,248.58920288085938
2000-09-25,222.1122283935547
2000-09-26,217.69940185546875
2000-09-27,219.90577697753906
2000-09-28,235.35076904296875
2000-09-29,208.87374877929688
2000-10-02,200.048095703125
2000-10-03,186.8096160888672
2000-10-04,167.68736267089844
2000-10-05,154.44894409179688
2000-10-06,143.41685485839844
2000-10-09,145.623291015625
2000-10-10,133.855712890625
2000-10-11,97.08219146728516
2000-10-12,122.08818817138672
2000-10-13,177.9839630126953
2000-10-16,191.22247314453125
2000-10-17,183.8677520751953
2000-10-18,189.75152587890625
2000-10-19,162.5390625
2000-10-20,172.10023498535156
2000-10-23,194.1643829345703
2000-10-24,198.5771484375
2000-10-25,200.048095703125
2000-10-26,213.28656005859375
2000-10-27,211.81564331054688
2000-10-30,210.34471130371094
2000-10-31,229.4669647216797
2000-11-01,229.4669647216797
2000-11-02,217.69940185546875
2000-11-03,214.7574920654297
2000-11-06,208.87374877929688
2000-11-07,208.87374877929688
2000-11-08,189.75152587890625
2000-11-09,186.07415771484375
2000-11-10,175.04209899902344
2000-11-13,166.21644592285156
2000-11-14,155.91983032226562
2000-11-15,148.56515502929688
2000-11-16,149.3006591796875
2000-11-17,155.91983032226562
2000-11-20,148.56515502929688
2000-11-21,145.623291015625
2000-11-22,141.21047973632812
2000-11-24,141.9459228515625
2000-11-27,141.21047973632812
2000-11-28,127.97198486328125
2000-11-29,114.73348236083984
2000-11-30,102.96595001220703
2000-12-01,113.26252746582031
2000-12-04,116.20443725585938
2000-12-05,119.1462631225586
2000-12-06,113.26252746582031
2000-12-07,105.90782165527344
2000-12-08,129.44287109375
2000-12-11,129.44287109375
2000-12-12,155.91983032226562
2000-12-13,166.21644592285156
2000-12-14,164.74549865722656
2000-12-15,157.39083862304688
2000-12-18,137.5330810546875
2000-12-19,130.913818359375
2000-12-20,114.73348236083984
2000-12-21,95.61123657226562
2000-12-22,94.14028930664062
2000-12-26,92.6693344116211
2000-12-27,89.72745513916016
2000-12-28,82.37274932861328
2000-12-29,102.96595001220703
2001-01-02,83.84368133544922
2001-01-03,85.31462860107422
2001-01-04,85.31462860107422
2001-01-05,94.14028930664062
2001-01-08,92.6693344116211
2001-01-09,87.52104949951172
2001-01-10,89.72745513916016
2001-01-11,91.19842529296875
2001-01-12,108.84970092773438
2001-01-16,117.67538452148438
2001-01-17,132.38478088378906
2001-01-18,136.79759216308594
2001-01-19,138.26858520507812
2001-01-22,141.21047973632812
2001-01-23,150.03610229492188
2001-01-24,164.74549865722656
2001-01-25,152.97793579101562
2001-01-26,141.21047973632812
2001-01-29,142.68133544921875
2001-01-30,139.73951721191406
2001-01-31,139.73951721191406
2001-02-01,141.21047973632812
2001-02-02,141.21047973632812
2001-02-05,126.50099182128906
2001-02-06,124.29460144042969
2001-02-07,144.15237426757812
2001-02-08,152.97793579101562
2001-02-09,145.623291015625
2001-02-12,141.21047973632812
2001-02-13,138.26858520507812
2001-02-14,127.97198486328125
2001-02-15,120.61725616455078
2001-02-16,105.17235565185547
2001-02-20,102.96595001220703
2001-02-21,94.14028930664062
2001-02-22,92.6693344116211
2001-02-23,92.6693344116211
2001-02-26,89.72745513916016
2001-02-27,88.99198150634766
2001-02-28,88.25653839111328
2001-03-01,74.28257751464844
2001-03-02,66.9278564453125
2001-03-05,68.39879608154297
2001-03-06,70.60523986816406
2001-03-07,70.60523986816406
2001-03-08,69.13429260253906
2001-03-09,65.4569091796875
2001-03-12,55.89580535888672
2001-03-13,52.95391082763672
2001-03-14,47.80561828613281
2001-03-15,45.599212646484375
2001-03-16,41.18637466430664
2001-03-19,45.599212646484375
2001-03-20,47.80561828613281
2001-03-21,47.07014465332031
2001-03-22,47.80561828613281
2001-03-23,47.80561828613281
2001-03-26,47.07014465332031
2001-03-27,38.244483947753906
2001-03-28,36.77354431152344
2001-03-29,33.096195220947266
