Date,LIN
2000-01-03,15.54002857208252
2000-01-04,15.267060279846191
2000-01-05,15.54002857208252
2000-01-06,16.69041633605957
2000-01-07,16.709922790527344
2000-01-10,16.729421615600586
2000-01-11,17.002397537231445
2000-01-12,16.709922790527344
2000-01-13,16.475950241088867
2000-01-14,16.670930862426758
2000-01-18,15.94949722290039
2000-01-19,15.345051765441895
2000-01-20,14.779603958129883
2000-01-21,14.623614311218262
2000-01-24,15.208563804626465
2000-01-25,13.707209587097168
2000-01-26,13.395234107971191
2000-01-27,13.648712158203125
2000-01-28,12.732295989990234
2000-01-31,12.712797164916992
2000-02-01,12.790789604187012
2000-02-02,12.166850090026855
2000-02-03,12.634808540344238
2000-02-04,12.9077787399292
2000-02-07,13.102764129638672
2000-02-08,12.693303108215332
2000-02-09,12.283839225769043
2000-02-10,11.991363525390625
2000-02-11,11.737887382507324
2000-02-14,12.108356475830078
2000-02-15,12.556812286376953
2000-02-16,12.810296058654785
2000-02-17,12.75179386138916
2000-02-18,12.361827850341797
2000-02-22,12.322834968566895
2000-02-23,11.971864700317383
2000-02-24,11.211441993713379
2000-02-25,11.074953079223633
2000-02-28,11.016457557678223
2000-02-29,10.52900218963623
2000-03-01,10.3925199508667
2000-03-02,10.19753646850586
2000-03-03,10.696722030639648
2000-03-06,10.618349075317383
2000-03-07,10.050215721130371
2000-03-08,10.069806098937988
2000-03-09,9.971847534179688
2000-03-10,10.500805854797363
2000-03-13,10.461626052856445
2000-03-14,10.539987564086914
2000-03-15,11.676270484924316
2000-03-16,12.557865142822266
2000-03-17,11.597906112670898
2000-03-20,11.911359786987305
2000-03-21,12.20522689819336
2000-03-22,11.793817520141602
2000-03-23,11.832999229431152
2000-03-24,12.166048049926758
2000-03-27,11.970135688781738
2000-03-28,12.146450996398926
2000-03-29,12.479500770568848
2000-03-30,12.988868713378906
2000-03-31,13.047640800476074
2000-04-03,13.067239761352539
2000-04-04,13.126006126403809
2000-04-05,12.851729393005371
2000-04-06,13.145598411560059
2000-04-07,12.969276428222656
2000-04-10,13.008460998535156
2000-04-11,13.968424797058105
2000-04-12,13.89006519317627
2000-04-13,13.439464569091797
2000-04-14,12.499099731445312
2000-04-17,12.518681526184082
2000-04-18,11.930953979492188
2000-04-19,12.068092346191406
2000-04-20,13.18477725982666
2000-04-24,13.22396469116211
2000-04-25,13.400287628173828
2000-04-26,13.635380744934082
2000-04-27,13.674558639526367
2000-04-28,13.929244995117188
2000-05-01,14.105557441711426
2000-05-02,14.6541109085083
2000-05-03,14.379833221435547
2000-05-04,14.262285232543945
2000-05-05,14.458208084106445
2000-05-08,14.321064949035645
2000-05-09,14.183928489685059
2000-05-10,13.850883483886719
2000-05-11,14.223106384277344
2000-05-12,14.085973739624023
2000-05-15,14.41901969909668
2000-05-16,14.262285232543945
2000-05-17,14.105557441711426
2000-05-18,14.262285232543945
2000-05-19,14.379833221435547
2000-05-22,14.575753211975098
2000-05-23,15.026333808898926
2000-05-24,14.791250228881836
2000-05-25,13.948831558227539
2000-05-26,13.18477725982666
2000-05-30,13.126006126403809
2000-05-31,13.165193557739258
2000-06-01,12.988868713378906
2000-06-02,12.812546730041504
2000-06-05,12.802330017089844
2000-06-06,12.743330001831055
2000-06-07,12.507342338562012
2000-06-08,12.409015655517578
2000-06-09,12.487678527832031
2000-06-12,12.428677558898926
2000-06-13,12.03536605834961
2000-06-14,12.369681358337402
2000-06-15,12.133692741394043
2000-06-16,12.133692741394043
2000-06-19,11.819046020507812
2000-06-20,12.03536605834961
2000-06-21,11.70105266571045
2000-06-22,11.740381240844727
2000-06-23,11.661724090576172
2000-06-26,11.50439453125
2000-06-27,12.232024192810059
2000-06-28,12.143522262573242
2000-06-29,11.70105266571045
2000-06-30,11.77971363067627
2000-07-03,12.094358444213867
2000-07-05,12.074691772460938
2000-07-06,11.68138599395752
2000-07-07,11.48472785949707
2000-07-10,11.642053604125977
2000-07-11,11.87804126739502
2000-07-12,12.094358444213867
2000-07-13,12.369681358337402
2000-07-14,12.310686111450195
2000-07-17,12.133692741394043
2000-07-18,12.114030838012695
2000-07-19,12.153365135192871
2000-07-20,12.389344215393066
2000-07-21,12.507342338562012
2000-07-24,11.976370811462402
2000-07-25,12.074691772460938
2000-07-26,12.251687049865723
2000-07-27,12.330350875854492
2000-07-28,12.173016548156738
2000-07-31,12.448343276977539
2000-08-01,12.389344215393066
2000-08-02,12.369681358337402
2000-08-03,12.428677558898926
2000-08-04,12.487678527832031
2000-08-07,13.254631996154785
2000-08-08,13.549616813659668
2000-08-09,13.313627243041992
2000-08-10,13.175971984863281
2000-08-11,13.529961585998535
2000-08-14,13.785611152648926
2000-08-15,13.82494068145752
2000-08-16,14.041255950927734
2000-08-17,13.844606399536133
2000-08-18,13.687276840209961
2000-08-21,13.72661018371582
2000-08-22,14.041255950927734
2000-08-23,13.746268272399902
2000-08-24,13.746268272399902
2000-08-25,13.844606399536133
2000-08-28,13.844606399536133
2000-08-29,13.903603553771973
2000-08-30,13.62828540802002
2000-08-31,13.928182601928711
2000-09-01,13.923269271850586
2000-09-05,13.883939743041992
2000-09-06,14.20916748046875
2000-09-07,13.814471244812012
2000-09-08,13.28161907196045
2000-09-11,13.301356315612793
2000-09-12,13.28161907196045
2000-09-13,12.82772159576416
2000-09-14,12.729045867919922
2000-09-15,12.097525596618652
2000-09-18,11.979114532470703
2000-09-19,11.623887062072754
2000-09-20,11.36733341217041
2000-09-21,11.604157447814941
2000-09-22,11.564682006835938
2000-09-25,11.525211334228516
2000-09-26,11.248926162719727
2000-09-27,11.229187965393066
2000-09-28,11.505480766296387
2000-09-29,11.801504135131836
2000-10-02,12.038320541381836
2000-10-03,12.63037109375
2000-10-04,12.215928077697754
2000-10-05,11.880439758300781
2000-10-06,11.821240425109863
2000-10-09,12.077792167663574
2000-10-10,12.05805778503418
2000-10-11,11.801504135131836
2000-10-12,11.387073516845703
2000-10-13,11.051573753356934
2000-10-16,11.762031555175781
2000-10-17,11.169987678527832
2000-10-18,11.505480766296387
2000-10-19,10.321380615234375
2000-10-20,10.163503646850586
2000-10-23,10.005622863769531
2000-10-24,10.617405891418457
2000-10-25,10.518733978271484
2000-10-26,10.814756393432617
2000-10-27,11.169987678527832
2000-10-30,11.426539421081543
2000-10-31,11.762031555175781
2000-11-01,11.3475980758667
2000-11-02,11.505480766296387
2000-11-03,11.722564697265625
2000-11-06,11.564682006835938
2000-11-07,11.564682006835938
2000-11-08,11.702835083007812
2000-11-09,11.4068021774292
2000-11-10,11.229187965393066
2000-11-13,11.071310997009277
2000-11-14,11.308126449584961
2000-11-15,11.169987678527832
2000-11-16,10.873954772949219
2000-11-17,10.972634315490723
2000-11-20,10.716085433959961
2000-11-21,10.735817909240723
2000-11-22,10.834489822387695
2000-11-24,11.051573753356934
2000-11-27,11.071310997009277
2000-11-28,11.091045379638672
2000-11-29,11.525211334228516
2000-11-30,11.3475980758667
2000-12-01,11.604157447814941
2000-12-04,12.097525596618652
2000-12-05,12.107039451599121
2000-12-06,11.96833324432373
2000-12-07,11.829625129699707
2000-12-08,11.988143920898438
