Date,GOOGL
2004-08-19,2.490427255630493
2004-08-20,2.688241720199585
2004-08-23,2.7152957916259766
2004-08-24,2.602861166000366
2004-08-25,2.630908727645874
2004-08-26,2.6783134937286377
2004-08-27,2.6346306800842285
2004-08-30,2.531877040863037
2004-08-31,2.5408122539520264
2004-09-01,2.488194227218628
2004-09-02,2.5194664001464844
2004-09-03,2.4822373390197754
2004-09-07,2.5212044715881348
2004-09-08,2.539074420928955
2004-09-09,2.5393223762512207
2004-09-10,2.61427903175354
2004-09-13,2.668137550354004
2004-09-14,2.76716947555542
2004-09-15,2.779827833175659
2004-09-16,2.8287229537963867
2004-09-17,2.916088581085205
2004-09-20,2.9625020027160645
2004-09-21,2.9247756004333496
2004-09-22,2.938178062438965
2004-09-23,2.998739242553711
2004-09-24,2.974167585372925
2004-09-27,2.935199737548828
2004-09-28,3.148651361465454
2004-09-29,3.2533907890319824
2004-09-30,3.2166576385498047
2004-10-01,3.290621042251587
2004-10-04,3.3521740436553955
2004-10-05,3.434328556060791
2004-10-06,3.4023096561431885
2004-10-07,3.446242094039917
2004-10-08,3.4184436798095703
2004-10-11,3.3571383953094482
2004-10-12,3.410252094268799
2004-10-13,3.497122287750244
2004-10-14,3.5244245529174805
2004-10-15,3.5767934322357178
2004-10-18,3.7021350860595703
2004-10-19,3.671854257583618
2004-10-20,3.4869461059570312
2004-10-21,3.707594871520996
2004-10-22,4.279693603515625
2004-10-25,4.651247978210449
2004-10-26,4.512256145477295
2004-10-27,4.615755081176758
2004-10-28,4.797683238983154
2004-10-29,4.731663703918457
2004-11-01,4.865443229675293
2004-11-02,4.836652755737305
2004-11-03,4.757228374481201
2004-11-04,4.584233283996582
2004-11-05,4.203248500823975
2004-11-08,4.282671928405762
2004-11-09,4.1871161460876465
2004-11-10,4.166266918182373
2004-11-11,4.54253625869751
2004-11-12,4.517220497131348
2004-11-15,4.5884528160095215
2004-11-16,4.282423496246338
2004-11-17,4.281430244445801
2004-11-18,4.158324718475342
2004-11-19,4.204489231109619
2004-11-22,4.09776496887207
2004-11-23,4.157827854156494
2004-11-24,4.337523937225342
2004-11-26,4.4524407386779785
2004-11-29,4.493640422821045
2004-11-30,4.516723155975342
2004-12-01,4.466587066650391
2004-12-02,4.452687740325928
2004-12-03,4.477508068084717
2004-12-06,4.3754987716674805
2004-12-07,4.254873275756836
2004-12-08,4.2188849449157715
2004-12-09,4.304512977600098
2004-12-10,4.260334491729736
2004-12-13,4.2305498123168945
2004-12-14,4.435067176818848
2004-12-15,4.4621195793151855
2004-12-16,4.379965782165527
2004-12-17,4.469565391540527
2004-12-20,4.5921759605407715
2004-12-21,4.560654640197754
2004-12-22,4.623945236206055
2004-12-23,4.663656711578369
2004-12-27,4.763185024261475
2004-12-28,4.7842817306518555
2004-12-29,4.787755489349365
2004-12-30,4.904409408569336
2004-12-31,4.785027027130127
2005-01-03,5.031239986419678
2005-01-04,4.827467441558838
2005-01-05,4.8028974533081055
2005-01-06,4.6797895431518555
2005-01-07,4.811334609985352
2005-01-10,4.841367721557617
2005-01-11,4.803640842437744
2005-01-12,4.84930944442749
2005-01-13,4.848068714141846
2005-01-14,4.963233470916748
2005-01-18,5.060775279998779
2005-01-19,4.896963119506836
2005-01-20,4.813072681427002
2005-01-21,4.673088550567627
2005-01-24,4.485450267791748
2005-01-25,4.396099090576172
2005-01-26,4.696916580200195
2005-01-27,4.668124675750732
2005-01-28,4.724217414855957
2005-01-31,4.855266094207764
2005-02-01,4.762936592102051
2005-02-02,5.111904144287109
2005-02-03,5.233521938323975
2005-02-04,5.0721917152404785
2005-02-07,4.865443229675293
2005-02-08,4.930222988128662
2005-02-09,4.754993438720703
2005-02-10,4.665642261505127
2005-02-11,4.651247978210449
2005-02-14,4.78999137878418
2005-02-15,4.845587253570557
2005-02-16,4.924514293670654
2005-02-17,4.911855697631836
2005-02-18,4.913096904754639
2005-02-22,4.749782562255859
2005-02-23,4.813817501068115
2005-02-24,4.688228607177734
2005-02-25,4.613272190093994
2005-02-28,4.665890693664551
2005-03-01,4.617988109588623
2005-03-02,4.596147060394287
2005-03-03,4.641567707061768
2005-03-04,4.614017486572266
2005-03-07,4.686243534088135
2005-03-08,4.596643447875977
2005-03-09,4.501087188720703
2005-03-10,4.46708345413208
2005-03-11,4.412975788116455
2005-03-14,4.343232154846191
2005-03-15,4.433079719543457
2005-03-16,4.358372211456299
2005-03-17,4.449958324432373
2005-03-18,4.468574047088623
2005-03-21,4.489421844482422
2005-03-22,4.432831764221191
2005-03-23,4.442263603210449
2005-03-24,4.448965549468994
2005-03-28,4.502824783325195
2005-03-29,4.456907749176025
2005-03-30,4.4787492752075195
2005-03-31,4.48023796081543
2005-04-01,4.468574047088623
2005-04-04,4.598877906799316
2005-04-05,4.680285930633545
2005-04-06,4.6964192390441895
2005-04-07,4.8091020584106445
2005-04-08,4.766658782958984
2005-04-11,4.795947551727295
2005-04-12,4.814066410064697
2005-04-13,4.7885003089904785
2005-04-14,4.751767635345459
2005-04-15,4.59168004989624
2005-04-18,4.640574932098389
2005-04-19,4.750527381896973
2005-04-20,4.916819095611572
2005-04-21,5.068717956542969
2005-04-22,5.356380462646484
2005-04-25,5.547990798950195
2005-04-26,5.429349899291992
2005-04-27,5.454915523529053
2005-04-28,5.4467244148254395
2005-04-29,5.460376262664795
2005-05-02,5.517212867736816
2005-05-03,5.614010334014893
2005-05-04,5.6713433265686035
2005-05-05,5.633617877960205
2005-05-06,5.659430980682373
2005-05-09,5.609790802001953
2005-05-10,5.653970718383789
2005-05-11,5.740591526031494
2005-05-12,5.676804542541504
2005-05-13,5.68971061706543
2005-05-16,5.734635353088379
2005-05-17,5.786260604858398
2005-05-18,5.935925006866455
2005-05-19,5.9364213943481445
2005-05-20,5.99673318862915
2005-05-23,6.340240955352783
2005-05-24,6.353891372680664
2005-05-25,6.473275184631348
2005-05-26,6.433315277099609
2005-05-27,6.602090358734131
2005-05-31,6.881811618804932
2005-06-01,7.148127555847168
2005-06-02,7.145646572113037
2005-06-03,6.9560227394104
2005-06-06,7.221098899841309
2005-06-07,7.275205135345459
2005-06-08,6.938647747039795
2005-06-09,7.106183052062988
2005-06-10,7.011618614196777
2005-06-13,7.017823219299316
2005-06-14,6.908616542816162
2005-06-15,6.820505142211914
2005-06-16,6.886030197143555
2005-06-17,6.957015514373779
2005-06-20,7.1158623695373535
2005-06-21,7.1441569328308105
2005-06-22,7.180393695831299
2005-06-23,7.190569877624512
2005-06-24,7.377712249755859
2005-06-27,7.547727584838867
2005-06-28,7.495606899261475
2005-06-29,7.26527738571167
2005-06-30,7.300770282745361
2005-07-01,7.228792667388916
2005-07-05,7.339489459991455
2005-07-06,7.235493183135986
2005-07-07,7.335270404815674
2005-07-08,7.352396011352539
2005-07-11,7.280914306640625
2005-07-12,7.241947174072266
2005-07-13,7.417672157287598
2005-07-14,7.4680562019348145
2005-07-15,7.475502014160156
2005-07-18,7.434549331665039
2005-07-19,7.691683769226074
2005-07-20,7.743804931640625
2005-07-21,7.791955471038818
2005-07-22,7.505535125732422
2005-07-25,7.3429646492004395
2005-07-26,7.348921298980713
2005-07-27,7.36976957321167
2005-07-28,7.284636974334717
2005-07-29,7.142171382904053
2005-08-01,7.237728118896484
2005-08-02,7.425862789154053
2005-08-03,7.378952980041504
2005-08-04,7.389626502990723
2005-08-05,7.256094455718994
2005-08-08,7.228792667388916
2005-08-09,7.2367353439331055
2005-08-10,7.090545177459717
2005-08-11,7.050088882446289
2005-08-12,7.1908183097839355
2005-08-15,7.0488481521606445
2005-08-16,7.0898003578186035
2005-08-17,7.076150894165039
2005-08-18,6.949320316314697
2005-08-19,6.949569225311279
2005-08-22,6.800897121429443
2005-08-23,6.939144134521484
2005-08-24,7.013355731964111
2005-08-25,7.013853549957275
2005-08-26,7.038424968719482
2005-08-29,7.15929651260376
2005-08-30,7.130009651184082
2005-08-31,7.098487854003906
2005-09-01,7.104692459106445
2005-09-02,7.15929651260376
2005-09-06,7.126039028167725
2005-09-07,7.31864070892334
2005-09-08,7.331547260284424
2005-09-09,7.4233808517456055
2005-09-12,7.6877121925354
2005-09-13,7.735862731933594
2005-09-14,7.5204267501831055
2005-09-15,7.5109944343566895
2005-09-16,7.450931072235107
2005-09-19,7.540034294128418
2005-09-20,7.642292022705078
2005-09-21,7.7413225173950195
2005-09-22,7.728168487548828
2005-09-23,7.827200412750244
2005-09-26,7.8003950119018555
2005-09-27,7.791955471038818
2005-09-28,7.594886302947998
2005-09-29,7.684733867645264
2005-09-30,7.854501247406006
2005-10-03,7.909603118896484
2005-10-04,7.718985557556152
2005-10-05,7.711788654327393
2005-10-06,7.762420177459717
2005-10-07,7.768377780914307
2005-10-10,7.710298538208008
2005-10-11,7.597367286682129
2005-10-12,7.4700422286987305
2005-10-13,7.3824262619018555
2005-10-14,7.350161552429199
2005-10-17,7.570065975189209
2005-10-18,7.527376174926758
2005-10-19,7.661899566650391
2005-10-20,7.525390148162842
2005-10-21,8.436279296875
2005-10-24,8.653453826904297
2005-10-25,8.61026668548584
2005-10-26,8.821981430053711
2005-10-27,8.762909889221191
2005-10-28,8.889739036560059
2005-10-31,9.236473083496094
2005-11-01,9.416170120239258
2005-11-02,9.423616409301758
2005-11-03,9.57923698425293
2005-11-04,9.6904296875
