Date,PLD
2000-01-03,7.364500999450684
2000-01-04,7.248342990875244
2000-01-05,7.1554155349731445
2000-01-06,7.294809818267822
2000-01-07,7.434199333190918
2000-01-10,7.480665683746338
2000-01-11,7.503896713256836
2000-01-12,7.434199333190918
2000-01-13,7.410966873168945
2000-01-14,7.34127140045166
2000-01-18,7.457430839538574
2000-01-19,7.503896713256836
2000-01-20,7.550360679626465
2000-01-21,7.596817970275879
2000-01-24,7.57358980178833
2000-01-25,7.596817970275879
2000-01-26,7.620054721832275
2000-01-27,7.643283843994141
2000-01-28,7.620054721832275
2000-01-31,7.596817970275879
2000-02-01,7.643283843994141
2000-02-02,7.620054721832275
2000-02-03,7.643283843994141
2000-02-04,7.620054721832275
2000-02-07,7.643283843994141
2000-02-08,7.596817970275879
2000-02-09,7.596817970275879
2000-02-10,7.596817970275879
2000-02-11,7.457430839538574
2000-02-14,7.550360679626465
2000-02-15,7.6665215492248535
2000-02-16,7.6665215492248535
2000-02-17,7.643283843994141
2000-02-18,7.620054721832275
2000-02-22,7.643283843994141
2000-02-23,7.620054721832275
2000-02-24,7.596817970275879
2000-02-25,7.527123928070068
2000-02-28,7.480665683746338
2000-02-29,7.503896713256836
2000-03-01,7.503896713256836
2000-03-02,7.480665683746338
2000-03-03,7.457430839538574
2000-03-06,7.503896713256836
2000-03-07,7.503896713256836
2000-03-08,7.527123928070068
2000-03-09,7.503896713256836
2000-03-10,7.503896713256836
2000-03-13,7.503896713256836
2000-03-14,7.57358980178833
2000-03-15,7.712975978851318
2000-03-16,7.78267765045166
2000-03-17,7.78267765045166
2000-03-20,7.805905342102051
2000-03-21,7.805905342102051
2000-03-22,7.9452972412109375
2000-03-23,7.991758346557617
2000-03-24,7.9452972412109375
2000-03-27,7.922064781188965
2000-03-28,7.852365970611572
2000-03-29,7.875601291656494
2000-03-30,7.875601291656494
2000-03-31,7.991758346557617
2000-04-03,8.037151336669922
2000-04-04,8.108064651489258
2000-04-05,8.08442497253418
2000-04-06,8.060786247253418
2000-04-07,8.060786247253418
2000-04-10,8.08442497253418
2000-04-11,8.13170051574707
2000-04-12,8.178982734680176
2000-04-13,8.226259231567383
2000-04-14,8.178982734680176
2000-04-17,8.155342102050781
2000-04-18,8.226259231567383
2000-04-19,8.32081127166748
2000-04-20,8.273531913757324
2000-04-24,8.32081127166748
2000-04-25,8.32081127166748
2000-04-26,8.344450950622559
2000-04-27,8.32081127166748
2000-04-28,8.344450950622559
2000-05-01,8.533563613891602
2000-05-02,8.651756286621094
2000-05-03,8.651756286621094
2000-05-04,8.628116607666016
2000-05-05,8.651756286621094
2000-05-08,8.604477882385254
2000-05-09,8.699031829833984
2000-05-10,8.628116607666016
2000-05-11,8.604477882385254
2000-05-12,8.651756286621094
2000-05-15,8.67539119720459
2000-05-16,8.67539119720459
2000-05-17,8.58083724975586
2000-05-18,8.509917259216309
2000-05-19,8.415367126464844
2000-05-22,8.415367126464844
2000-05-23,8.509917259216309
2000-05-24,8.486281394958496
2000-05-25,8.486281394958496
2000-05-26,8.533563613891602
2000-05-30,8.509917259216309
2000-05-31,8.509917259216309
2000-06-01,8.486281394958496
2000-06-02,8.486281394958496
2000-06-05,8.486281394958496
2000-06-06,8.533563613891602
2000-06-07,8.58083724975586
2000-06-08,8.651756286621094
2000-06-09,8.628116607666016
2000-06-12,8.651756286621094
2000-06-13,8.699031829833984
2000-06-14,8.769951820373535
2000-06-15,8.769951820373535
2000-06-16,8.722671508789062
2000-06-19,8.746312141418457
2000-06-20,8.840862274169922
2000-06-21,8.840862274169922
2000-06-22,8.888144493103027
2000-06-23,8.840862274169922
2000-06-26,8.817225456237793
2000-06-27,8.817225456237793
2000-06-28,8.840862274169922
2000-06-29,8.935415267944336
2000-06-30,8.771398544311523
2000-07-03,8.837435722351074
2000-07-05,8.957511901855469
2000-07-06,9.149630546569824
2000-07-07,9.197663307189941
2000-07-10,9.221675872802734
2000-07-11,9.197663307189941
2000-07-12,9.149630546569824
2000-07-13,9.173643112182617
2000-07-14,9.101605415344238
2000-07-17,9.125611305236816
2000-07-18,9.125611305236816
2000-07-19,9.029557228088379
2000-07-20,9.029557228088379
2000-07-21,9.05357551574707
2000-07-24,9.125611305236816
2000-07-25,9.101605415344238
2000-07-26,9.125611305236816
2000-07-27,9.221675872802734
2000-07-28,9.173643112182617
2000-07-31,9.173643112182617
2000-08-01,9.221675872802734
2000-08-02,9.221675872802734
2000-08-03,9.221675872802734
2000-08-04,9.173643112182617
2000-08-07,9.149630546569824
2000-08-08,9.173643112182617
2000-08-09,9.149630546569824
2000-08-10,9.221675872802734
2000-08-11,9.269705772399902
2000-08-14,9.317730903625488
2000-08-15,9.317730903625488
2000-08-16,9.36575984954834
2000-08-17,9.34174633026123
2000-08-18,9.317730903625488
2000-08-21,9.34174633026123
2000-08-22,9.317730903625488
2000-08-23,9.36575984954834
2000-08-24,9.293719291687012
2000-08-25,9.38978385925293
2000-08-28,9.317730903625488
2000-08-29,9.34174633026123
2000-08-30,9.36575984954834
2000-08-31,9.293719291687012
2000-09-01,9.317730903625488
2000-09-05,9.317730903625488
2000-09-06,9.34174633026123
2000-09-07,9.36575984954834
2000-09-08,9.36575984954834
2000-09-11,9.509852409362793
2000-09-12,9.557879447937012
2000-09-13,9.581894874572754
2000-09-14,9.581894874572754
2000-09-15,9.5698881149292
2000-09-18,9.509852409362793
2000-09-19,9.413792610168457
2000-09-20,9.36575984954834
2000-09-21,9.413792610168457
2000-09-22,9.36575984954834
2000-09-25,9.413792610168457
2000-09-26,9.34174633026123
2000-09-27,9.38978385925293
2000-09-28,9.509852409362793
2000-09-29,9.437807083129883
2000-10-02,9.362713813781738
2000-10-03,9.387093544006348
2000-10-04,9.313944816589355
2000-10-05,9.216416358947754
2000-10-06,9.240805625915527
2000-10-09,9.240805625915527
2000-10-10,9.33833122253418
2000-10-11,9.33833122253418
2000-10-12,9.118891716003418
2000-10-13,9.167654037475586
2000-10-16,9.19204044342041
2000-10-17,9.289566040039062
2000-10-18,9.167654037475586
2000-10-19,9.118891716003418
2000-10-20,9.167654037475586
2000-10-23,9.118891716003418
2000-10-24,9.09450626373291
2000-10-25,9.0701265335083
2000-10-26,9.09450626373291
2000-10-27,9.118891716003418
2000-10-30,9.118891716003418
2000-10-31,9.167654037475586
2000-11-01,9.167654037475586
2000-11-02,9.118891716003418
2000-11-03,9.0701265335083
2000-11-06,9.167654037475586
2000-11-07,9.265178680419922
2000-11-08,9.240805625915527
2000-11-09,9.19204044342041
2000-11-10,9.143274307250977
2000-11-13,9.143274307250977
2000-11-14,9.265178680419922
2000-11-15,9.216416358947754
2000-11-16,9.216416358947754
2000-11-17,9.09450626373291
2000-11-20,9.118891716003418
2000-11-21,9.19204044342041
2000-11-22,9.19204044342041
2000-11-24,9.0701265335083
2000-11-27,9.09450626373291
2000-11-28,9.118891716003418
2000-11-29,9.240805625915527
2000-11-30,9.289566040039062
2000-12-01,9.143274307250977
2000-12-04,9.33833122253418
2000-12-05,9.752816200256348
2000-12-06,9.801589012145996
2000-12-07,9.606532096862793
2000-12-08,9.703569412231445
2000-12-11,9.827340126037598
2000-12-12,9.827340126037598
2000-12-13,9.926349639892578
2000-12-14,9.901597023010254
2000-12-15,9.951107025146484
2000-12-18,10.074881553649902
2000-12-19,10.09963321685791
2000-12-20,10.074881553649902
2000-12-21,10.05012035369873
2000-12-22,10.074881553649902
2000-12-26,10.05012035369873
2000-12-27,10.173896789550781
2000-12-28,10.32241439819336
2000-12-29,10.22339916229248
2001-01-02,10.124387741088867
2001-01-03,10.09963321685791
2001-01-04,9.951107025146484
2001-01-05,9.827340126037598
2001-01-08,9.77783203125
2001-01-09,9.802583694458008
2001-01-10,9.802583694458008
2001-01-11,9.802583694458008
2001-01-12,9.77783203125
2001-01-16,9.802583694458008
