Date,XLF
2000-01-03,11.090898513793945
2000-01-04,10.606053352355957
2000-01-05,10.522727012634277
2000-01-06,10.984841346740723
2000-01-07,11.166654586791992
2000-01-10,10.969687461853027
2000-01-11,10.787878036499023
2000-01-12,10.999996185302734
2000-01-13,11.333327293395996
2000-01-14,11.598481178283691
2000-01-18,11.212113380432129
2000-01-19,11.17424201965332
2000-01-20,10.969687461853027
2000-01-21,10.833331108093262
2000-01-24,10.636356353759766
2000-01-25,10.749994277954102
2000-01-26,11.151508331298828
2000-01-27,11.272717475891113
2000-01-28,10.878782272338867
2000-01-31,11.181808471679688
2000-02-01,11.24242115020752
2000-02-02,11.128783226013184
2000-02-03,11.060598373413086
2000-02-04,10.946964263916016
2000-02-07,10.833331108093262
2000-02-08,10.95453929901123
2000-02-09,10.696966171264648
2000-02-10,10.401514053344727
2000-02-11,10.424235343933105
2000-02-14,10.51514720916748
2000-02-15,10.53029727935791
2000-02-16,10.31059741973877
2000-02-17,10.18181037902832
2000-02-18,9.8181734085083
2000-02-22,9.909082412719727
2000-02-23,9.871208190917969
2000-02-24,9.666661262512207
2000-02-25,9.606056213378906
2000-02-28,9.916662216186523
2000-02-29,9.984842300415039
2000-03-01,10.121206283569336
2000-03-02,10.060598373413086
2000-03-03,10.151508331298828
2000-03-06,10.053028106689453
2000-03-07,9.75
2000-03-08,9.636359214782715
2000-03-09,9.689388275146484
2000-03-10,9.719691276550293
2000-03-13,9.8181734085083
2000-03-14,9.780296325683594
2000-03-15,10.378783226013184
2000-03-16,11.272717475891113
2000-03-17,11.276068687438965
2000-03-20,11.063165664672852
2000-03-21,11.466156959533691
2000-03-22,11.565004348754883
2000-03-23,11.967995643615723
2000-03-24,12.10484790802002
2000-03-27,11.709465980529785
2000-03-28,11.800707817077637
2000-03-29,11.709465980529785
2000-03-30,11.732277870178223
2000-03-31,11.80831527709961
2000-04-03,12.378586769104004
2000-04-04,11.884350776672363
2000-04-05,11.793108940124512
2000-04-06,11.922372817993164
2000-04-07,11.679049491882324
2000-04-10,12.013607025146484
2000-04-11,12.165680885314941
2000-04-12,12.218904495239258
2000-04-13,11.899558067321777
2000-04-14,10.933903694152832
2000-04-17,11.025150299072266
2000-04-18,11.466156959533691
2000-04-19,11.3140869140625
2000-04-20,11.526982307434082
2000-04-24,11.800707817077637
2000-04-25,12.165680885314941
2000-04-26,11.922372817993164
2000-04-27,11.679049491882324
2000-04-28,11.922372817993164
2000-05-01,11.656245231628418
2000-05-02,11.542193412780762
2000-05-03,11.336894035339355
2000-05-04,11.16201400756836
2000-05-05,11.23805046081543
2000-05-08,11.4585542678833
2000-05-09,11.428138732910156
2000-05-10,11.123994827270508
2000-05-11,11.4585542678833
2000-05-12,11.587808609008789
2000-05-15,12.10484790802002
2000-05-16,12.036425590515137
2000-05-17,11.831124305725098
2000-05-18,11.983196258544922
2000-05-19,11.770302772521973
2000-05-22,11.922372817993164
2000-05-23,11.998406410217285
2000-05-24,12.150477409362793
2000-05-25,11.846335411071777
2000-05-26,11.800707817077637
2000-05-30,12.044025421142578
2000-05-31,12.188492774963379
2000-06-01,12.59148120880127
2000-06-02,13.108528137207031
2000-06-05,12.81197738647461
2000-06-06,12.530653953552246
2000-06-07,12.713138580322266
2000-06-08,12.500234603881836
2000-06-09,12.287338256835938
2000-06-12,12.393790245056152
2000-06-13,12.378586769104004
2000-06-14,12.59148120880127
2000-06-15,12.29494571685791
2000-06-16,11.719406127929688
2000-06-19,12.02459716796875
2000-06-20,11.872008323669434
2000-06-21,11.78044605255127
2000-06-22,11.772821426391602
2000-06-23,11.688896179199219
2000-06-26,11.872008323669434
2000-06-27,11.986446380615234
2000-06-28,11.894904136657715
2000-06-29,11.8872652053833
2000-06-30,11.597334861755371
2000-07-03,11.810970306396484
2000-07-05,11.940673828125
2000-07-06,12.032232284545898
2000-07-07,12.238236427307129
2000-07-10,12.268754959106445
2000-07-11,12.329794883728027
2000-07-12,12.505280494689941
2000-07-13,12.383208274841309
2000-07-14,12.589211463928223
2000-07-17,12.352688789367676
2000-07-18,12.375571250915527
2000-07-19,12.329794883728027
2000-07-20,12.642617225646973
2000-07-21,12.604473114013672
2000-07-24,12.680771827697754
2000-07-25,12.70366096496582
2000-07-26,12.642617225646973
2000-07-27,12.680771827697754
2000-07-28,12.406099319458008
2000-07-31,12.619729042053223
2000-08-01,12.70366096496582
2000-08-02,12.688395500183105
2000-08-03,13.024106979370117
2000-08-04,13.527673721313477
2000-08-07,13.565826416015625
2000-08-08,13.565826416015625
2000-08-09,13.47426700592041
2000-08-10,13.39797592163086
2000-08-11,13.603982925415039
2000-08-14,13.779457092285156
2000-08-15,13.527673721313477
2000-08-16,13.367449760437012
2000-08-17,13.542939186096191
2000-08-18,13.443748474121094
2000-08-21,13.55057144165039
