Date,ABBV
2013-01-02,20.561065673828125
2013-01-03,20.391286849975586
2013-01-04,20.133691787719727
2013-01-07,20.17467498779297
2013-01-08,19.73558235168457
2013-01-09,19.84682273864746
2013-01-10,19.905364990234375
2013-01-11,20.053464889526367
2013-01-14,20.19565200805664
2013-01-15,20.497785568237305
2013-01-16,21.054662704467773
2013-01-17,21.575992584228516
2013-01-18,22.109176635742188
2013-01-22,21.575992584228516
2013-01-23,22.39353370666504
2013-01-24,22.19210433959961
2013-01-25,22.275047302246094
2013-01-28,21.85442352294922
2013-01-29,22.103252410888672
2013-01-30,21.87812614440918
2013-01-31,21.735946655273438
2013-02-01,22.026222229003906
2013-02-04,22.085474014282227
2013-02-05,22.038084030151367
2013-02-06,22.002534866333008
2013-02-07,21.575992584228516
2013-02-08,21.47527503967285
2013-02-11,21.23830223083496
2013-02-12,20.983572006225586
2013-02-13,20.894710540771484
2013-02-14,21.664852142333984
2013-02-15,22.26320457458496
2013-02-19,22.62458038330078
2013-02-20,22.873401641845703
2013-02-21,22.97410774230957
2013-02-22,22.78452491760254
2013-02-25,22.138790130615234
2013-02-26,21.972917556762695
2013-02-27,21.759639739990234
2013-02-28,21.8721981048584
2013-03-01,22.399450302124023
2013-03-04,22.654191970825195
2013-03-05,22.221729278564453
2013-03-06,22.357990264892578
2013-03-07,22.209882736206055
2013-03-08,22.121017456054688
2013-03-11,22.3165225982666
2013-03-12,22.020307540893555
2013-03-13,22.020307540893555
2013-03-14,22.251346588134766
2013-03-15,22.808223724365234
2013-03-18,22.60680389404297
2013-03-19,22.72528839111328
2013-03-20,23.13998031616211
2013-03-21,22.802309036254883
2013-03-22,23.086666107177734
2013-03-25,23.29401206970215
2013-03-26,23.821277618408203
2013-03-27,23.78573226928711
2013-03-28,24.158952713012695
2013-04-01,24.360374450683594
2013-04-02,24.117475509643555
2013-04-03,24.034536361694336
2013-04-04,24.644731521606445
2013-04-05,24.47293472290039
2013-04-08,24.74544906616211
2013-04-09,25.207530975341797
2013-04-10,25.84142303466797
2013-04-11,25.8294620513916
2013-04-12,25.763708114624023
2013-04-15,24.777151107788086
2013-04-16,25.381040573120117
2013-04-17,25.255481719970703
2013-04-18,25.303314208984375
2013-04-19,25.34516716003418
2013-04-22,26.427377700805664
2013-04-23,26.989397048950195
2013-04-24,26.499113082885742
2013-04-25,26.45128631591797
2013-04-26,27.40793800354004
2013-04-29,27.043212890625
2013-04-30,27.533493041992188
2013-05-01,27.234546661376953
2013-05-02,26.30181312561035
2013-05-03,26.71436882019043
2013-05-06,26.660560607910156
2013-05-07,26.851886749267578
2013-05-08,26.00286102294922
2013-05-09,26.45128631591797
2013-05-10,26.911672592163086
2013-05-13,26.630661010742188
2013-05-14,27.114965438842773
2013-05-15,27.521530151367188
2013-05-16,27.6291561126709
2013-05-17,28.203149795532227
2013-05-20,27.659055709838867
2013-05-21,27.82647132873535
2013-05-22,27.958003997802734
2013-05-23,27.85635757446289
2013-05-24,27.16877555847168
2013-05-28,27.13887596130371
2013-05-29,26.236042022705078
2013-05-30,26.63664436340332
2013-05-31,25.5245418548584
2013-06-03,25.925140380859375
2013-06-04,26.086570739746094
2013-06-05,25.733802795410156
2013-06-06,26.008840560913086
2013-06-07,26.30779266357422
2013-06-10,26.259960174560547
2013-06-11,26.062654495239258
2013-06-12,25.572378158569336
2013-06-13,25.79957389831543
2013-06-14,25.835453033447266
2013-06-17,25.715866088867188
2013-06-18,26.032758712768555
2013-06-19,25.733802795410156
2013-06-20,24.549945831298828
2013-06-21,25.482681274414062
2013-06-24,25.04621124267578
2013-06-25,25.488664627075195
2013-06-26,25.937095642089844
2013-06-27,25.787612915039062
2013-06-28,24.717369079589844
2013-07-01,24.878801345825195
2013-07-02,25.23755645751953
2013-07-03,25.249500274658203
2013-07-05,25.542484283447266
2013-07-08,26.116464614868164
2013-07-09,25.901212692260742
2013-07-10,26.253976821899414
2013-07-11,26.416898727416992
2013-07-12,27.183216094970703
2013-07-15,26.92375373840332
2013-07-16,26.43500518798828
2013-07-17,26.5255126953125
2013-07-18,26.74272918701172
2013-07-19,26.86341667175293
2013-07-22,27.13494873046875
2013-07-23,26.736703872680664
2013-07-24,26.33241844177246
2013-07-25,26.694459915161133
2013-07-26,27.02633285522461
2013-07-29,27.189254760742188
2013-07-30,26.972030639648438
2013-07-31,27.44268798828125
2013-08-01,27.30390739440918
2013-08-02,27.34613609313965
2013-08-05,26.97805404663086
2013-08-06,27.080638885498047
2013-08-07,26.89358901977539
2013-08-08,27.189254760742188
2013-08-09,26.97805404663086
2013-08-12,27.17717742919922
2013-08-13,27.11081314086914
2013-08-14,26.89961814880371
2013-08-15,26.072967529296875
2013-08-16,25.946250915527344
2013-08-19,26.169496536254883
2013-08-20,25.928150177001953
2013-08-21,25.5299015045166
2013-08-22,25.897974014282227
2013-08-23,26.205713272094727
2013-08-26,26.2177677154541
2013-08-27,25.722990036010742
2013-08-28,25.680749893188477
2013-08-29,25.71695327758789
2013-08-30,25.710922241210938
2013-09-03,25.698850631713867
2013-09-04,26.024682998657227
2013-09-05,26.253984451293945
2013-09-06,26.483274459838867
2013-09-09,26.809104919433594
2013-09-10,27.02029800415039
2013-09-11,27.12287139892578
2013-09-12,26.972030639648438
2013-09-13,27.086681365966797
2013-09-16,27.64783477783203
2013-09-17,28.721893310546875
2013-09-18,28.914976119995117
2013-09-19,28.601215362548828
2013-09-20,28.86670684814453
2013-09-23,28.420196533203125
2013-09-24,27.744388580322266
2013-09-25,27.3521728515625
2013-09-26,27.15304183959961
2013-09-27,26.748769760131836
2013-09-30,26.990135192871094
2013-10-01,27.635774612426758
2013-10-02,27.72628402709961
2013-10-03,27.762487411499023
2013-10-04,28.23917579650879
2013-10-07,27.810758590698242
2013-10-08,26.86341667175293
2013-10-09,27.038400650024414
2013-10-10,27.811628341674805
2013-10-11,27.793363571166992
2013-10-14,28.207366943359375
2013-10-15,28.055160522460938
2013-10-16,28.65181541442871
2013-10-17,29.3276309967041
2013-10-18,29.425037384033203
2013-10-21,29.437210083007812
2013-10-22,29.832962036132812
2013-10-23,29.425037384033203
2013-10-24,29.181501388549805
2013-10-25,30.015605926513672
2013-10-28,30.088668823242188
2013-10-29,30.313940048217773
2013-10-30,29.711196899414062
2013-10-31,29.49810791015625
2013-11-01,29.808605194091797
