Date,SHW
2000-01-03,4.51045036315918
2000-01-04,4.342358589172363
2000-01-05,4.356364727020264
2000-01-06,4.426403999328613
2000-01-07,4.3703718185424805
2000-01-10,4.272321701049805
2000-01-11,4.32835054397583
2000-01-12,4.32835054397583
2000-01-13,4.286328315734863
2000-01-14,4.230295658111572
2000-01-18,4.16025972366333
2000-01-19,4.118236064910889
2000-01-20,3.9501454830169678
2000-01-21,4.006173133850098
2000-01-24,4.0201826095581055
2000-01-25,4.034189701080322
2000-01-26,3.99216628074646
2000-01-27,4.0201826095581055
2000-01-28,3.90812349319458
2000-01-31,3.9501454830169678
2000-02-01,4.132243633270264
2000-02-02,3.922131299972534
2000-02-03,4.3983893394470215
2000-02-04,4.51045036315918
2000-02-07,4.52445650100708
2000-02-08,4.342358589172363
2000-02-09,4.300334453582764
2000-02-10,4.342358589172363
2000-02-11,4.18827486038208
2000-02-14,4.2443037033081055
2000-02-15,4.482433795928955
2000-02-16,4.384381294250488
2000-02-17,4.538465976715088
2000-02-18,4.440413475036621
2000-02-22,4.45442008972168
2000-02-23,4.482433795928955
2000-02-24,4.32956075668335
2000-02-25,4.301354885101318
2000-02-28,4.315456867218018
2000-02-29,4.315456867218018
2000-03-01,4.371868133544922
2000-03-02,4.301354885101318
2000-03-03,4.498793125152588
2000-03-06,4.301354885101318
2000-03-07,4.244940757751465
2000-03-08,4.230838775634766
2000-03-09,4.25904655456543
2000-03-10,4.27315092086792
2000-03-13,4.315456867218018
2000-03-14,4.244940757751465
2000-03-15,4.653923034667969
2000-03-16,5.161624908447266
2000-03-17,4.907774448394775
2000-03-20,4.935978889465332
2000-03-21,5.020598888397217
2000-03-22,4.823159217834473
2000-03-23,4.950083255767822
2000-03-24,5.034700393676758
2000-03-27,4.950083255767822
2000-03-28,5.034700393676758
2000-03-29,5.006494522094727
2000-03-30,4.950083255767822
2000-03-31,4.992392539978027
2000-04-03,5.020598888397217
2000-04-04,4.978290557861328
2000-04-05,5.316755771636963
2000-04-06,5.40137243270874
2000-04-07,5.2744460105896
2000-04-10,5.556501388549805
2000-04-11,5.683426856994629
2000-04-12,6.064204216003418
2000-04-13,5.9231767654418945
2000-04-14,5.711635589599609
2000-04-17,5.909072399139404
2000-04-18,5.697531700134277
2000-04-19,5.641120433807373
2000-04-20,5.838560581207275
2000-04-24,5.894972324371338
2000-04-25,6.092409133911133
2000-04-26,5.852662563323975
2000-04-27,5.697531700134277
2000-04-28,5.612915992736816
2000-05-01,5.739840984344482
2000-05-02,5.866766452789307
2000-05-03,5.641120433807373
2000-05-04,5.584709167480469
2000-05-05,5.683426856994629
2000-05-08,5.655222415924072
2000-05-09,5.514194011688232
2000-05-10,5.485990047454834
2000-05-11,5.641120433807373
2000-05-12,5.570605754852295
2000-05-15,5.866766452789307
2000-05-16,6.092409133911133
