Date,REGN
2000-01-03,12.211639404296875
2000-01-04,11.901700019836426
2000-01-05,11.405795097351074
2000-01-06,11.529770851135254
2000-01-07,12.89350700378418
2000-01-10,14.381220817565918
2000-01-11,13.97829818725586
2000-01-12,14.009291648864746
2000-01-13,14.071280479431152
2000-01-14,14.381220817565918
2000-01-18,16.860740661621094
2000-01-19,16.11688232421875
2000-01-20,15.125076293945312
2000-01-21,14.505194664001465
2000-01-24,14.474201202392578
2000-01-25,14.443207740783691
2000-01-26,13.947303771972656
2000-01-27,13.265436172485352
2000-01-28,12.459592819213867
2000-01-31,12.211639404296875
2000-02-01,12.52157974243164
2000-02-02,13.389411926269531
2000-02-03,12.76953125
2000-02-04,13.017483711242676
2000-02-07,12.95549488067627
2000-02-08,14.505194664001465
2000-02-09,13.513388633728027
2000-02-10,14.443207740783691
2000-02-11,15.620980262756348
2000-02-14,15.868931770324707
2000-02-15,14.877123832702637
2000-02-16,15.125076293945312
2000-02-17,17.976524353027344
2000-02-18,21.571826934814453
2000-02-22,20.703996658325195
2000-02-23,36.32497787475586
2000-02-24,36.448951721191406
2000-02-25,45.499202728271484
2000-02-28,44.755348205566406
2000-02-29,56.037166595458984
2000-03-01,52.999752044677734
2000-03-02,49.99333572387695
2000-03-03,49.884857177734375
2000-03-06,50.21029281616211
2000-03-07,46.55299758911133
2000-03-08,41.40799331665039
2000-03-09,40.72612762451172
2000-03-10,39.67232894897461
2000-03-13,36.541934967041016
2000-03-14,29.32033348083496
2000-03-15,29.10337257385254
2000-03-16,27.026777267456055
2000-03-17,30.374130249023438
2000-03-20,27.1507511138916
2000-03-21,24.237314224243164
2000-03-22,31.241960525512695
2000-03-23,36.696903228759766
2000-03-24,35.76708984375
2000-03-27,37.254798889160156
2000-03-28,33.47352600097656
2000-03-29,29.444307327270508
2000-03-30,28.45250129699707
2000-03-31,29.32033348083496
2000-04-03,28.266536712646484
2000-04-04,22.067733764648438
2000-04-05,21.385866165161133
2000-04-06,26.158945083618164
2000-04-07,27.460691452026367
2000-04-10,23.307497024536133
2000-04-11,22.00574493408203
2000-04-12,19.092308044433594
2000-04-13,19.154296875
2000-04-14,17.294654846191406
2000-04-17,17.5426082611084
2000-04-18,24.67123031616211
2000-04-19,24.79520606994629
2000-04-20,23.86538314819336
2000-04-24,22.997554779052734
2000-04-25,25.291109085083008
2000-04-26,25.91098976135254
2000-04-27,25.78701400756836
2000-04-28,28.328523635864258
2000-05-01,29.6922607421875
2000-05-02,27.336715698242188
2000-05-03,26.902799606323242
2000-05-04,28.948402404785156
2000-05-05,30.002201080322266
2000-05-08,27.646656036376953
2000-05-09,26.902799606323242
2000-05-10,25.78701400756836
2000-05-11,25.41508674621582
2000-05-12,26.28291893005371
2000-05-15,26.778823852539062
2000-05-16,26.158945083618164
2000-05-17,24.919185638427734
2000-05-18,24.17532730102539
2000-05-19,23.431468963623047
2000-05-22,21.943756103515625
2000-05-23,20.88996124267578
2000-05-24,21.943756103515625
2000-05-25,19.836164474487305
2000-05-26,19.464237213134766
2000-05-30,20.827972412109375
2000-05-31,20.208093643188477
2000-06-01,24.67123031616211
2000-06-02,24.655733108520508
2000-06-05,23.9273738861084
2000-06-06,24.79520606994629
2000-06-07,26.344907760620117
2000-06-08,22.873579025268555
2000-06-09,26.902799606323242
2000-06-12,23.679420471191406
