Date,XLRE
2015-10-08,21.044126510620117
2015-10-09,21.009300231933594
2015-10-12,21.141651153564453
2015-10-13,21.009300231933594
2015-10-14,21.009300231933594
2015-10-15,20.94659996032715
2015-10-16,21.345048904418945
2015-10-19,21.594436645507812
2015-10-20,21.615331649780273
2015-10-21,21.632753372192383
2015-10-22,21.90650749206543
2015-10-23,21.6431941986084
2015-10-26,21.671064376831055
2015-10-27,21.676633834838867
2015-10-28,21.597919464111328
2015-10-29,21.696136474609375
2015-10-30,21.559608459472656
2015-11-02,21.559608459472656
2015-11-03,21.83824348449707
2015-11-04,21.747692108154297
2015-11-05,21.66409683227539
2015-11-06,20.86301612854004
2015-11-09,20.695825576782227
2015-11-10,20.91874122619629
2015-11-11,20.99118423461914
2015-11-12,20.86301612854004
2015-11-13,20.591341018676758
2015-11-16,20.5704402923584
2015-11-17,20.890878677368164
2015-11-18,21.138164520263672
2015-11-19,21.25309944152832
2015-11-20,21.42724609375
2015-11-23,21.538707733154297
2015-11-24,21.2113094329834
2015-11-25,21.2113094329834
2015-11-27,21.371524810791016
2015-11-30,21.4202823638916
2015-12-01,21.77485466003418
2015-12-02,21.329727172851562
2015-12-03,20.904808044433594
2015-12-04,21.329727172851562
2015-12-07,21.329727172851562
2015-12-08,21.39938735961914
2015-12-09,21.28096580505371
2015-12-10,21.1068172454834
2015-12-11,20.993968963623047
2015-12-14,21.058752059936523
2015-12-15,21.301862716674805
2015-12-16,21.68499755859375
2015-12-17,21.65713119506836
2015-12-18,21.37541389465332
2015-12-21,21.410627365112305
2015-12-22,21.607833862304688
2015-12-23,21.819120407104492
2015-12-24,21.84025001525879
2015-12-28,21.78179168701172
2015-12-29,22.143091201782227
2015-12-30,22.143091201782227
2015-12-31,21.96279525756836
2016-01-04,21.452880859375
2016-01-05,22.10294532775879
2016-01-06,21.889545440673828
2016-01-07,21.488094329833984
2016-01-08,21.206382751464844
2016-01-11,21.333154678344727
2016-01-12,21.100736618041992
2016-01-13,20.882402420043945
2016-01-14,20.952835083007812
2016-01-15,20.600690841674805
2016-01-19,20.74153709411621
2016-01-20,20.185150146484375
2016-01-21,20.340099334716797
2016-01-22,20.76267433166504
2016-01-25,20.76267433166504
2016-01-26,20.94719696044922
2016-01-27,20.76267433166504
2016-01-28,20.53729820251465
2016-01-29,20.558427810668945
2016-02-01,20.99509048461914
2016-02-02,20.727460861206055
2016-02-03,20.748584747314453
2016-02-04,20.873245239257812
2016-02-05,20.493635177612305
2016-02-08,19.407608032226562
2016-02-09,19.25548553466797
2016-02-10,19.66396713256836
2016-02-11,19.170963287353516
2016-02-12,19.361122131347656
2016-02-16,19.361122131347656
2016-02-17,19.966819763183594
2016-02-18,20.213321685791016
2016-02-19,20.185150146484375
2016-02-22,20.49504280090332
2016-02-23,20.3893985748291
2016-02-24,20.406301498413086
2016-02-25,20.53729820251465
2016-02-26,20.685203552246094
2016-02-29,20.657026290893555
2016-03-01,21.150041580200195
2016-03-02,21.382457733154297
2016-03-03,21.41203498840332
2016-03-04,21.47400665283203
2016-03-07,21.45992088317871
2016-03-08,21.427532196044922
2016-03-09,21.362031936645508
2016-03-10,21.261314392089844
2016-03-11,21.755725860595703
2016-03-14,21.826160430908203
2016-03-15,21.97054100036621
2016-03-16,21.80503273010254
2016-03-17,22.534685134887695
2016-03-18,22.37612533569336
2016-03-21,22.26236343383789
2016-03-22,22.22325325012207
2016-03-23,22.1414852142334
2016-03-24,22.17703628540039
2016-03-28,22.31924057006836
2016-03-29,22.802743911743164
2016-03-30,22.752973556518555
2016-03-31,22.866729736328125
2016-04-01,22.91437530517578
2016-04-04,22.880956649780273
2016-04-05,22.676176071166992
2016-04-06,22.738750457763672
2016-04-07,22.553878784179688
2016-04-08,22.767189025878906
2016-04-11,22.752973556518555
2016-04-12,22.852514266967773
2016-04-13,22.76505470275879
2016-04-14,22.674760818481445
2016-04-15,22.8311824798584
2016-04-18,22.916505813598633
2016-04-19,22.838289260864258
2016-04-20,22.610761642456055
2016-04-21,22.087438583374023
2016-04-22,22.369009017944336
2016-04-25,22.526151657104492
2016-04-26,22.58943748474121
2016-04-27,22.50411033630371
2016-04-28,22.52686309814453
2016-04-29,22.3121280670166
2016-05-02,22.546772003173828
2016-05-03,22.660533905029297
2016-05-04,22.987607955932617
2016-05-05,23.00893783569336
2016-05-06,23.12981605529785
2016-05-09,23.363037109375
2016-05-10,23.449779510498047
2016-05-11,23.023155212402344
2016-05-12,23.101375579833984
2016-05-13,22.767894744873047
2016-05-16,23.078622817993164
2016-05-17,22.696086883544922
2016-05-18,22.136505126953125
2016-05-19,22.091707229614258
2016-05-20,22.24245262145996
2016-05-23,22.3121280670166
2016-05-24,22.46143913269043
2016-05-25,22.613609313964844
