Date,TSM
2000-01-03,8.890167236328125
2000-01-04,8.948808670043945
2000-01-05,9.007451057434082
2000-01-06,8.6321382522583
2000-01-07,8.960539817810059
2000-01-10,9.324118614196777
2000-01-11,9.195106506347656
2000-01-12,9.347574234008789
2000-01-13,9.535232543945312
2000-01-14,10.356221199035645
2000-01-18,10.098198890686035
2000-01-19,10.027827262878418
2000-01-20,9.875357627868652
2000-01-21,10.250666618347168
2000-01-24,11.20067310333252
2000-01-25,12.291413307189941
2000-01-26,11.869194030761719
2000-01-27,11.048200607299805
2000-01-28,10.192023277282715
2000-01-31,9.734615325927734
2000-02-01,10.907458305358887
2000-02-02,10.872275352478027
2000-02-03,12.877835273742676
2000-02-04,12.56117057800293
2000-02-07,12.490801811218262
2000-02-08,12.009936332702637
2000-02-09,11.446969985961914
2000-02-10,12.138948440551758
2000-02-11,11.540797233581543
2000-02-14,11.634622573852539
2000-02-15,11.61116886138916
2000-02-16,11.646353721618652
2000-02-17,11.751910209655762
2000-02-18,11.21239948272705
2000-02-22,10.602521896362305
2000-02-23,10.321037292480469
2000-02-24,10.50869083404541
2000-02-25,10.942646980285645
2000-02-28,10.766716003417969
2000-02-29,11.224127769470215
2000-03-01,11.540797233581543
2000-03-02,11.353139877319336
2000-03-03,12.197591781616211
2000-03-06,11.540797233581543
2000-03-07,10.872275352478027
2000-03-08,11.235857009887695
2000-03-09,11.059930801391602
2000-03-10,10.438323974609375
2000-03-13,10.321037292480469
2000-03-14,9.945730209350586
2000-03-15,9.523503303527832
2000-03-16,10.321037292480469
2000-03-17,11.165484428405762
2000-03-20,9.664243698120117
2000-03-21,10.49696159362793
2000-03-22,10.5556058883667
2000-03-23,10.895735740661621
2000-03-24,10.672894477844238
2000-03-27,11.282773971557617
2000-03-28,11.21239948272705
2000-03-29,10.754987716674805
2000-03-30,10.438323974609375
2000-03-31,10.6963472366333
2000-04-03,10.22720718383789
2000-04-04,9.758070945739746
2000-04-05,10.12165355682373
2000-04-06,10.53215217590332
2000-04-07,10.309309005737305
2000-04-10,10.051283836364746
2000-04-11,9.863627433776855
2000-04-12,8.91362476348877
2000-04-13,8.444485664367676
2000-04-14,7.471022605895996
2000-04-17,8.303743362426758
2000-04-18,9.195106506347656
2000-04-19,8.714240074157715
2000-04-20,8.737698554992676
2000-04-24,8.385845184326172
2000-04-25,9.38276481628418
2000-04-26,9.10128116607666
2000-04-27,9.48831844329834
2000-04-28,9.816716194152832
2000-05-01,9.582143783569336
2000-05-02,9.195106506347656
2000-05-03,8.725969314575195
2000-05-04,8.6321382522583
2000-05-05,9.007451057434082
2000-05-08,8.937080383300781
2000-05-09,8.772880554199219
2000-05-10,8.11608600616455
2000-05-11,8.28028678894043
2000-05-12,8.23337173461914
2000-05-15,8.647153854370117
2000-05-16,9.758070945739746
2000-05-17,9.277674674987793
2000-05-18,9.082514762878418
2000-05-19,8.96241569519043
2000-05-22,8.647153854370117
2000-05-23,8.331892013549805
2000-05-24,7.926558494567871
2000-05-25,7.941568374633789
2000-05-26,7.83648157119751
