Date,SCHD
2011-10-20,5.2620954513549805
2011-10-21,5.365313529968262
2011-10-24,5.394805908203125
2011-10-25,5.306331157684326
2011-10-26,5.361100673675537
2011-10-27,5.483277797698975
2011-10-28,5.479065418243408
2011-10-31,5.371634006500244
2011-11-01,5.249454498291016
2011-11-02,5.318970203399658
2011-11-03,5.403231620788574
2011-11-04,5.380059719085693
2011-11-07,5.411656856536865
2011-11-08,5.479065418243408
2011-11-09,5.314756870269775
2011-11-10,5.3674187660217285
2011-11-11,5.466425895690918
2011-11-14,5.428510665893555
2011-11-15,5.4495744705200195
2011-11-16,5.369525909423828
2011-11-17,5.304225921630859
2011-11-18,5.325289726257324
2011-11-21,5.226284980773926
2011-11-22,5.207324981689453
2011-11-23,5.116745948791504
2011-11-25,5.108317852020264
2011-11-28,5.228391170501709
2011-11-29,5.2642011642456055
2011-11-30,5.460108280181885
2011-12-01,5.451683044433594
2011-12-02,5.439040660858154
2011-12-05,5.479065418243408
2011-12-06,5.495917320251465
2011-12-07,5.514875888824463
2011-12-08,5.424295425415039
2011-12-09,5.4980244636535645
2011-12-12,5.426403045654297
2011-12-13,5.388487815856934
2011-12-14,5.3463568687438965
2011-12-15,5.369525909423828
2011-12-16,5.371634006500244
2011-12-19,5.333956241607666
2011-12-20,5.46730375289917
2011-12-21,5.488472938537598
2011-12-22,5.513872146606445
2011-12-23,5.56255578994751
2011-12-27,5.579486846923828
2011-12-28,5.520221710205078
2011-12-29,5.573137283325195
2011-12-30,5.541388511657715
2012-01-03,5.592188358306885
2012-01-04,5.592188358306885
2012-01-05,5.587954521179199
2012-01-06,5.56255578994751
2012-01-09,5.575255393981934
2012-01-10,5.613354206085205
2012-01-11,5.592188358306885
2012-01-12,5.596421718597412
2012-01-13,5.5667877197265625
2012-01-17,5.598537445068359
2012-01-18,5.647223472595215
2012-01-19,5.670504570007324
2012-01-20,5.681088447570801
2012-01-23,5.681088447570801
2012-01-24,5.674737930297852
2012-01-25,5.7086052894592285
2012-01-26,5.687436103820801
2012-01-27,5.662036895751953
2012-01-30,5.6429877281188965
2012-01-31,5.63240385055542
2012-02-01,5.668388366699219
2012-02-02,5.670504570007324
2012-02-03,5.729770183563232
2012-02-06,5.725539684295654
2012-02-07,5.736122131347656
2012-02-08,5.736122131347656
2012-02-09,5.734005451202393
2012-02-10,5.702252388000488
2012-02-13,5.72765588760376
2012-02-14,5.72765588760376
2012-02-15,5.698019504547119
2012-02-16,5.744587421417236
2012-02-17,5.780570983886719
2012-02-21,5.763638019561768
2012-02-22,5.755168914794922
2012-02-23,5.7784528732299805
2012-02-24,5.793270111083984
2012-02-27,5.795385837554932
2012-02-28,5.814435958862305
