Date,LMT
2000-01-03,10.412423133850098
2000-01-04,10.765932083129883
2000-01-05,10.830206871032715
2000-01-06,10.99089241027832
2000-01-07,11.023030281066895
2000-01-10,10.605243682861328
2000-01-11,10.251734733581543
2000-01-12,10.894477844238281
2000-01-13,10.669520378112793
2000-01-14,10.540970802307129
2000-01-18,10.283876419067383
2000-01-19,10.637383460998535
2000-01-20,10.573111534118652
2000-01-21,10.798066139221191
2000-01-24,10.058917045593262
2000-01-25,9.898231506347656
2000-01-26,10.316012382507324
2000-01-27,9.994638442993164
2000-01-28,9.705405235290527
2000-01-31,9.512585639953613
2000-02-01,9.608999252319336
2000-02-02,9.608999252319336
2000-02-03,9.576854705810547
2000-02-04,9.833954811096191
2000-02-07,9.641130447387695
2000-02-08,9.448308944702148
2000-02-09,9.448308944702148
2000-02-10,9.416173934936523
2000-02-11,8.998392105102539
2000-02-14,9.28762435913086
2000-02-15,9.319759368896484
2000-02-16,9.126937866210938
2000-02-17,9.255491256713867
2000-02-18,8.966255187988281
2000-02-22,9.255491256713867
2000-02-23,9.159073829650879
2000-02-24,9.03052806854248
2000-02-25,9.126937866210938
2000-02-28,8.998392105102539
2000-02-29,8.966255187988281
2000-03-01,9.09480094909668
2000-03-02,8.860675811767578
2000-03-03,8.795998573303223
2000-03-06,9.313411712646484
2000-03-07,8.957690238952637
2000-03-08,9.119377136230469
2000-03-09,8.860675811767578
2000-03-10,8.698983192443848
2000-03-13,8.76366138458252
2000-03-14,8.601964950561523
2000-03-15,8.860675811767578
2000-03-16,9.345752716064453
2000-03-17,9.313411712646484
2000-03-20,9.192138671875
2000-03-21,8.957690238952637
2000-03-22,8.860675811767578
2000-03-23,8.828330993652344
2000-03-24,9.054701805114746
2000-03-27,9.21639347076416
2000-03-28,9.70146369934082
2000-03-29,9.960176467895508
2000-03-30,10.800966262817383
2000-03-31,10.574597358703613
2000-04-03,10.574597358703613
2000-04-04,10.509925842285156
2000-04-05,10.833303451538086
2000-04-06,10.96265697479248
2000-04-07,10.897978782653809
2000-04-10,10.930316925048828
2000-04-11,10.800966262817383
2000-04-12,11.415393829345703
2000-04-13,11.189027786254883
2000-04-14,10.703951835632324
2000-04-17,11.027334213256836
2000-04-18,10.865644454956055
2000-04-19,10.800966262817383
2000-04-20,11.738774299621582
2000-04-24,13.388023376464844
2000-04-25,13.226333618164062
2000-04-26,12.48255443572998
2000-04-27,12.353202819824219
2000-04-28,12.870613098144531
2000-05-01,13.970111846923828
2000-05-02,13.48503303527832
2000-05-03,13.226333618164062
