Date,JPM
2000-01-03,22.79384422302246
2000-01-04,22.29370880126953
2000-01-05,22.15609359741211
2000-01-06,22.47063446044922
2000-01-07,22.883499145507812
2000-01-10,22.490310668945312
2000-01-11,21.959497451782227
2000-01-12,22.097118377685547
2000-01-13,22.43132972717285
2000-01-14,23.23735809326172
2000-01-18,22.333030700683594
2000-01-19,23.316001892089844
2000-01-20,23.296342849731445
2000-01-21,22.942468643188477
2000-01-24,22.962133407592773
2000-01-25,23.473283767700195
2000-01-26,24.672496795654297
2000-01-27,25.380233764648438
2000-01-28,24.122034072875977
2000-01-31,25.380233764648438
2000-02-01,26.34354019165039
2000-02-02,25.911029815673828
2000-02-03,26.16659927368164
2000-02-04,25.714445114135742
2000-02-07,25.85206413269043
2000-02-08,26.756389617919922
2000-02-09,26.06830596923828
2000-02-10,26.146949768066406
2000-02-11,25.98967170715332
2000-02-14,24.869091033935547
2000-02-15,25.498188018798828
2000-02-16,25.00670623779297
2000-02-17,24.65283203125
2000-02-18,23.51258659362793
2000-02-22,24.298965454101562
2000-02-23,24.33829689025879
2000-02-24,23.905792236328125
2000-02-25,23.866464614868164
2000-02-28,24.515226364135742
2000-02-29,25.046022415161133
2000-03-01,25.793079376220703
2000-03-02,25.340911865234375
2000-03-03,25.51784896850586
2000-03-06,26.24524688720703
2000-03-07,25.734107971191406
2000-03-08,24.849428176879883
2000-03-09,25.51784896850586
2000-03-10,24.751129150390625
2000-03-13,25.183639526367188
2000-03-14,24.849428176879883
2000-03-15,26.146949768066406
2000-03-16,28.348800659179688
2000-03-17,28.624021530151367
2000-03-20,27.22821617126465
2000-03-21,28.938581466674805
2000-03-22,28.800960540771484
2000-03-23,30.983137130737305
2000-03-24,30.25575828552246
2000-03-27,29.783935546875
2000-03-28,29.646303176879883
2000-03-29,28.42742156982422
2000-03-30,27.365821838378906
2000-03-31,27.424814224243164
2000-04-03,29.095855712890625
2000-04-04,27.429521560668945
2000-04-05,27.310955047607422
2000-04-06,27.64690399169922
2000-04-07,27.310955047607422
2000-04-10,27.864288330078125
2000-04-11,27.1923828125
2000-04-12,27.449283599853516
2000-04-13,26.718109130859375
2000-04-14,24.93952751159668
2000-04-17,24.860488891601562
2000-04-18,25.453340530395508
2000-04-19,24.66284942626953
2000-04-20,24.44548225402832
2000-04-24,23.635231018066406
2000-04-25,24.682626724243164
2000-04-26,24.16880989074707
2000-04-27,23.358566284179688
2000-04-28,22.80523681640625
2000-05-01,23.319047927856445
2000-05-02,24.070003509521484
2000-05-03,23.477148056030273
2000-05-04,23.160953521728516
2000-05-05,22.82500457763672
2000-05-08,22.765714645385742
2000-05-09,22.409997940063477
2000-05-10,21.73809814453125
2000-05-11,22.133344650268555
2000-05-12,22.64714813232422
2000-05-15,23.59572410583496
