Date,SPG
2000-01-03,6.197987079620361
2000-01-04,6.129499435424805
2000-01-05,6.180862903594971
2000-01-06,6.334960460662842
2000-01-07,6.608901500701904
2000-01-10,6.677387237548828
2000-01-11,6.6602702140808105
2000-01-12,6.6602702140808105
2000-01-13,6.6602702140808105
2000-01-14,6.762996196746826
2000-01-18,6.797239780426025
2000-01-19,6.831483840942383
2000-01-20,6.865726947784424
2000-01-21,6.951333045959473
2000-01-24,6.882848262786865
2000-01-25,6.814359188079834
2000-01-26,6.831483840942383
2000-01-27,6.865726947784424
2000-01-28,6.831483840942383
2000-01-31,6.762996196746826
2000-02-01,6.797239780426025
2000-02-02,6.781158924102783
2000-02-03,6.886027812957764
2000-02-04,6.92097806930542
2000-02-07,6.886027812957764
2000-02-08,6.816113471984863
2000-02-09,6.798640251159668
2000-02-10,6.763685703277588
2000-02-11,6.6937737464904785
2000-02-14,6.588910102844238
2000-02-15,6.519003391265869
2000-02-16,6.449093341827393
2000-02-17,6.501526355743408
2000-02-18,6.449093341827393
2000-02-22,6.431614875793457
2000-02-23,6.484048366546631
2000-02-24,6.484048366546631
2000-02-25,6.553959369659424
2000-02-28,6.5714311599731445
2000-02-29,6.5364813804626465
2000-03-01,6.5364813804626465
2000-03-02,6.519003391265869
2000-03-03,6.5714311599731445
2000-03-06,6.553959369659424
2000-03-07,6.466572284698486
2000-03-08,6.484048366546631
2000-03-09,6.4141411781311035
2000-03-10,6.431614875793457
2000-03-13,6.36170768737793
2000-03-14,6.344230651855469
2000-03-15,6.4141411781311035
2000-03-16,6.466572284698486
2000-03-17,6.431614875793457
2000-03-20,6.431614875793457
2000-03-21,6.5364813804626465
2000-03-22,6.501526355743408
2000-03-23,6.5714311599731445
2000-03-24,6.588910102844238
2000-03-27,6.501526355743408
2000-03-28,6.501526355743408
2000-03-29,6.484048366546631
2000-03-30,6.5714311599731445
2000-03-31,6.519003391265869
2000-04-03,6.5714311599731445
2000-04-04,6.5714311599731445
2000-04-05,6.519003391265869
2000-04-06,6.5714311599731445
2000-04-07,6.6937737464904785
2000-04-10,6.746205806732178
2000-04-11,6.781158924102783
2000-04-12,6.868544101715088
2000-04-13,7.0957512855529785
2000-04-14,6.990889549255371
2000-04-17,6.886027812957764
2000-04-18,6.92097806930542
2000-04-19,6.938456058502197
2000-04-20,6.903501987457275
2000-04-24,6.938456058502197
2000-04-25,6.990889549255371
2000-04-26,7.113225936889648
2000-04-27,7.130705833435059
2000-04-28,7.113225936889648
2000-05-01,7.392862796783447
