Date,TDG
2006-03-15,8.753925323486328
2006-03-16,8.815675735473633
2006-03-17,9.084466934204102
2006-03-20,9.044511795043945
2006-03-21,8.79024887084961
2006-03-22,8.775720596313477
2006-03-23,8.753925323486328
2006-03-24,8.899218559265137
2006-03-27,8.99002742767334
2006-03-28,8.9718656539917
2006-03-29,9.044511795043945
2006-03-30,9.244291305541992
2006-03-31,9.35326099395752
2006-04-03,9.044511795043945
2006-04-04,9.008188247680664
2006-04-05,8.964600563049316
2006-04-06,8.80841064453125
2006-04-07,8.757558822631836
2006-04-10,8.830204010009766
2006-04-11,8.753925323486328
2006-04-12,8.753925323486328
2006-04-13,8.855629920959473
2006-04-17,8.935543060302734
2006-04-18,8.80841064453125
2006-04-19,8.99002742767334
2006-04-20,9.298775672912598
2006-04-21,9.244291305541992
2006-04-24,9.266083717346191
2006-04-25,9.371420860290527
2006-04-26,9.35326099395752
2006-04-27,9.222495079040527
2006-04-28,8.98276138305664
2006-05-01,9.13168716430664
2006-05-02,8.99002742767334
2006-05-03,8.9428071975708
2006-05-04,8.928277015686035
2006-05-05,8.917381286621094
2006-05-08,9.029983520507812
2006-05-09,9.051776885986328
2006-05-10,9.077202796936035
2006-05-11,9.371420860290527
2006-05-12,9.251556396484375
2006-05-15,9.182541847229004
2006-05-16,9.276982307434082
2006-05-17,9.226125717163086
2006-05-18,9.229761123657227
2006-05-19,9.226125717163086
2006-05-22,9.266083717346191
2006-05-23,9.171643257141113
2006-05-24,9.18980598449707
2006-05-25,9.109893798828125
2006-05-26,9.08083438873291
2006-05-30,9.073570251464844
2006-05-31,9.149850845336914
2006-06-01,9.444067001342773
2006-06-02,9.625685691833496
2006-06-05,9.618419647216797
2006-06-06,9.462230682373047
2006-06-07,9.39684772491455
2006-06-08,9.378686904907227
2006-06-09,9.008188247680664
2006-06-12,8.721234321594238
2006-06-13,8.368897438049316
2006-06-14,8.074679374694824
2006-06-15,8.15459156036377
2006-06-16,8.517824172973633
2006-06-19,8.318045616149902
2006-06-20,8.597735404968262
2006-06-21,8.877424240112305
2006-06-22,8.946438789367676
2006-06-23,9.218864440917969
2006-06-26,9.465861320495605
2006-06-27,9.484025001525879
2006-06-28,9.251556396484375
2006-06-29,9.400481224060059
2006-06-30,8.699440956115723
2006-07-03,8.546882629394531
2006-07-05,8.52872085571289
2006-07-06,8.368897438049316
2006-07-07,8.354369163513184
2006-07-10,8.41248607635498
2006-07-11,8.5250883102417
2006-07-12,8.554145812988281
2006-07-13,8.52872085571289
2006-07-14,8.39432430267334
2006-07-17,8.423382759094238
2006-07-18,8.590471267700195
2006-07-19,9.073570251464844
2006-07-20,9.084466934204102
2006-07-21,9.08810043334961
2006-07-24,9.291511535644531
2006-07-25,9.49492073059082
2006-07-26,9.1207914352417
2006-07-27,9.08083438873291
2006-07-28,9.262453079223633
2006-07-31,9.298775672912598
2006-08-01,9.117157936096191
2006-08-02,9.149850845336914
2006-08-03,9.273348808288574
2006-08-04,9.077202796936035
2006-08-07,8.997291564941406
2006-08-08,8.833837509155273
2006-08-09,8.419751167297363
2006-08-10,8.608633041381836
2006-08-11,8.557778358459473
2006-08-14,8.699440956115723
2006-08-15,8.717602729797363
2006-08-16,8.666749000549316
2006-08-17,8.652219772338867
2006-08-18,8.652219772338867
2006-08-21,8.521455764770508
2006-08-22,8.452441215515137
2006-08-23,8.209075927734375
2006-08-24,8.12189769744873
2006-08-25,8.21270751953125
2006-08-28,8.281722068786621
2006-08-29,8.165488243103027
2006-08-30,8.256296157836914
2006-08-31,8.219970703125
2006-09-01,8.052884101867676
2006-09-05,8.376161575317383
2006-09-06,8.387060165405273
2006-09-07,8.739395141601562
2006-09-08,8.699440956115723
2006-09-11,8.739395141601562
2006-09-12,8.666749000549316
2006-09-13,8.64858627319336
2006-09-14,8.535984992980957
2006-09-15,8.557778358459473
2006-09-18,8.499662399291992
2006-09-19,8.4960298538208
2006-09-20,8.881057739257812
2006-09-21,8.833837509155273
2006-09-22,8.775720596313477
2006-09-25,8.655852317810059
2006-09-26,8.641322135925293
2006-09-27,8.801143646240234
2006-09-28,9.008188247680664
2006-09-29,8.870160102844238
2006-10-02,8.605000495910645
2006-10-03,8.579574584960938
2006-10-04,8.717602729797363
2006-10-05,9.051776885986328
2006-10-06,8.928277015686035
2006-10-09,9.037245750427246
2006-10-10,9.008188247680664
2006-10-11,9.004556655883789
2006-10-12,9.069939613342285
2006-10-13,9.008188247680664
2006-10-16,8.917381286621094
2006-10-17,8.866527557373047
2006-10-18,8.870160102844238
2006-10-19,8.89195442199707
2006-10-20,9.008188247680664
2006-10-23,8.80841064453125
2006-10-24,8.4960298538208
2006-10-25,8.535984992980957
2006-10-26,8.746660232543945
2006-10-27,8.652219772338867
2006-10-30,8.910116195678711
2006-10-31,8.724867820739746
2006-11-01,8.663117408752441
2006-11-02,8.721234321594238
2006-11-03,8.568676948547363
2006-11-06,8.713970184326172
2006-11-07,8.721234321594238
2006-11-08,8.757558822631836
2006-11-09,8.572309494018555
2006-11-10,8.779351234436035
2006-11-13,8.895586013793945
2006-11-14,9.08083438873291
2006-11-15,9.233394622802734
2006-11-16,9.117157936096191
2006-11-17,8.859262466430664
2006-11-20,8.80841064453125
2006-11-21,8.884688377380371
2006-11-22,8.721234321594238
2006-11-24,8.757558822631836
2006-11-27,8.779351234436035
2006-11-28,8.775720596313477
2006-11-29,8.968234062194824
2006-11-30,8.870160102844238
2006-12-01,9.298775672912598
2006-12-04,9.164379119873047
2006-12-05,9.364156723022461
2006-12-06,9.371420860290527
2006-12-07,9.393218040466309
