Date,FIS
2001-06-20,8.891505241394043
2001-06-21,9.4867525100708
2001-06-22,9.523955345153809
2001-06-25,9.858787536621094
2001-06-26,9.84018325805664
2001-06-27,9.89598274230957
2001-06-28,10.230814933776855
2001-06-29,10.416831970214844
2001-07-02,10.416831970214844
2001-07-03,10.435428619384766
2001-07-05,10.39822769165039
2001-07-06,11.160887718200684
2001-07-09,11.12740421295166
2001-07-10,10.62144660949707
2001-07-11,10.602842330932617
2001-07-12,10.956273078918457
2001-07-13,10.788858413696289
2001-07-16,10.69585132598877
2001-07-17,11.008357048034668
2001-07-18,10.971152305603027
2001-07-19,10.751656532287598
2001-07-20,10.773979187011719
2001-07-23,10.792576789855957
2001-07-24,10.78142261505127
2001-07-25,10.993473052978516
2001-07-26,11.134846687316895
2001-07-27,11.358064651489258
2001-07-30,11.76357650756836
2001-07-31,12.284421920776367
2001-08-01,12.649005889892578
2001-08-02,12.541112899780273
2001-08-03,12.146767616271973
2001-08-06,11.95702838897705
2001-08-07,12.07236099243164
2001-08-08,12.087237358093262
2001-08-09,12.094679832458496
2001-08-10,11.9607515335083
2001-08-13,11.904949188232422
2001-08-14,12.198850631713867
2001-08-15,11.904949188232422
2001-08-16,11.904949188232422
2001-08-17,11.99423599243164
2001-08-20,11.91238784790039
2001-08-21,12.016556739807129
2001-08-22,12.090967178344727
2001-08-23,12.053759574890137
2001-08-24,12.035155296325684
2001-08-27,12.146767616271973
2001-08-28,12.04631519317627
2001-08-29,12.176527976989746
2001-08-30,12.280695915222168
2001-08-31,12.782938957214355
2001-09-04,12.983834266662598
2001-09-05,12.544836044311523
2001-09-06,12.276978492736816
2001-09-07,12.143051147460938
2001-09-10,12.183975219726562
2001-09-17,11.194375038146973
2001-09-18,11.439908027648926
2001-09-19,11.465953826904297
2001-09-20,11.112524032592773
2001-09-21,11.026959419250488
2001-09-24,10.94882869720459
2001-09-25,10.68840503692627
2001-09-26,9.523955345153809
2001-09-27,9.29329776763916
2001-09-28,9.657886505126953
2001-10-01,10.50239372253418
2001-10-02,10.416831970214844
2001-10-03,10.870704650878906
2001-10-04,11.532916069030762
2001-10-05,11.231575012207031
2001-10-08,10.606565475463867
2001-10-09,11.119964599609375
2001-10-10,11.064159393310547
2001-10-11,10.710733413696289
2001-10-12,10.346141815185547
2001-10-15,10.788858413696289
2001-10-16,10.677250862121582
2001-10-17,10.662368774414062
2001-10-18,10.959991455078125
2001-10-19,10.937671661376953
2001-10-22,10.978593826293945
2001-10-23,11.105083465576172
2001-10-24,11.16832160949707
2001-10-25,11.160887718200684
2001-10-26,11.142285346984863
2001-10-29,10.971152305603027
2001-10-30,10.33498477935791
2001-10-31,10.602842330932617
2001-11-01,10.372184753417969
2001-11-02,10.33498477935791
2001-11-05,10.42799186706543
2001-11-06,10.394511222839355
2001-11-07,10.413113594055176
2001-11-08,10.63260555267334
2001-11-09,10.472633361816406
2001-11-12,10.692131042480469
2001-11-13,10.796299934387207
2001-11-14,10.937671661376953
2001-11-15,11.123684883117676
2001-11-16,11.17576789855957
2001-11-19,11.462228775024414
2001-11-20,11.294821739196777
2001-11-21,11.346901893615723
2001-11-23,11.343182563781738
2001-11-26,11.343182563781738
2001-11-27,11.346901893615723
2001-11-28,11.239011764526367
2001-11-29,11.157166481018066
2001-11-30,10.945110321044922
2001-12-03,10.829781532287598
2001-12-04,10.86698055267334
2001-12-05,11.413870811462402
2001-12-06,11.346901893615723
2001-12-07,11.428750038146973
2001-12-10,11.510594367980957
2001-12-11,11.707770347595215
2001-12-12,11.886347770690918
2001-12-13,11.983070373535156
2001-12-14,12.276978492736816
2001-12-17,12.343940734863281
2001-12-18,12.69737434387207
2001-12-19,12.317900657653809
2001-12-20,12.5150785446167
2001-12-21,12.965231895446777
2001-12-24,13.18844985961914
2001-12-26,13.047078132629395
2001-12-27,12.808979988098145
2001-12-28,12.909427642822266
2001-12-31,12.730854034423828
2002-01-02,13.095441818237305
2002-01-03,13.147528648376465
2002-01-04,13.02103328704834
2002-01-07,12.622965812683105
2002-01-08,12.552279472351074
2002-01-09,12.827581405639648
2002-01-10,12.589482307434082
2002-01-11,12.671326637268066
2002-01-14,13.006152153015137
2002-01-15,12.946629524230957
2002-01-16,12.853623390197754
2002-01-17,13.069398880004883
2002-01-18,12.965231895446777
2002-01-22,12.686209678649902
2002-01-23,12.63784408569336
2002-01-24,12.81269645690918
2002-01-25,12.686209678649902
2002-01-28,12.768054008483887
2002-01-29,12.686209678649902
2002-01-30,12.816420555114746
2002-01-31,12.905704498291016
2002-02-01,13.229375839233398
2002-02-04,13.095441818237305
2002-02-05,13.132641792297363
2002-02-06,13.110325813293457
2002-02-07,13.10660171508789
2002-02-08,13.110325813293457
2002-02-11,13.058234214782715
2002-02-12,13.006152153015137
2002-02-13,13.192171096801758
2002-02-14,13.065678596496582
2002-02-15,13.114039421081543
2002-02-19,13.195887565612793
2002-02-20,13.214488983154297
2002-02-21,12.879664421081543
