Date,MDLZ
2001-06-13,11.149138450622559
2001-06-14,10.756692886352539
2001-06-15,10.917229652404785
2001-06-18,10.817334175109863
2001-06-19,10.845879554748535
2001-06-20,10.810201644897461
2001-06-21,10.703171730041504
2001-06-22,10.703171730041504
2001-06-25,10.756692886352539
2001-06-26,10.717443466186523
2001-06-27,10.6817626953125
2001-06-28,10.849448204040527
2001-06-29,11.05993938446045
2001-07-02,10.870853424072266
2001-07-03,10.90296745300293
2001-07-05,11.034968376159668
2001-07-06,10.935072898864746
2001-07-09,10.838744163513184
2001-07-10,10.828041076660156
2001-07-11,10.810201644897461
2001-07-12,11.02426528930664
2001-07-13,10.963613510131836
2001-07-16,10.9564790725708
2001-07-17,11.220488548278809
2001-07-18,11.23476505279541
2001-07-19,11.174117088317871
2001-07-20,11.131299018859863
2001-07-23,11.05993938446045
2001-07-24,11.084914207458496
2001-07-25,10.952910423278809
2001-07-26,11.10275650024414
2001-07-27,11.02783489227295
2001-07-30,10.917229652404785
2001-07-31,11.042109489440918
2001-08-01,10.98145866394043
2001-08-02,11.042109489440918
2001-08-03,10.952910423278809
2001-08-06,10.828041076660156
2001-08-07,10.88155460357666
2001-08-08,10.70673656463623
2001-08-09,10.835177421569824
2001-08-10,10.988590240478516
2001-08-13,11.095625877380371
2001-08-14,11.095625877380371
2001-08-15,11.052811622619629
2001-08-16,11.113454818725586
2001-08-17,11.184812545776367
2001-08-20,11.316816329956055
2001-08-21,11.445258140563965
2001-08-22,11.737810134887695
2001-08-23,11.734243392944336
2001-08-24,11.541582107543945
2001-08-27,11.523747444152832
2001-08-28,11.381038665771484
2001-08-29,11.520173072814941
2001-08-30,11.648616790771484
2001-08-31,11.505908966064453
2001-09-04,11.791325569152832
2001-09-05,11.898350715637207
2001-09-06,12.130264282226562
2001-09-07,12.130264282226562
2001-09-10,12.041071891784668
2001-09-17,11.737810134887695
2001-09-18,11.737810134887695
2001-09-19,11.559429168701172
2001-09-20,11.605803489685059
2001-09-21,11.416712760925293
2001-09-24,11.951871871948242
2001-09-25,11.88051986694336
2001-09-26,11.88051986694336
2001-09-27,11.955439567565918
2001-09-28,12.26226806640625
2001-10-01,12.101716041564941
2001-10-02,12.1837739944458
2001-10-03,12.380005836486816
2001-10-04,12.130264282226562
2001-10-05,12.033935546875
2001-10-08,12.094586372375488
2001-10-09,12.112424850463867
2001-10-10,12.119556427001953
2001-10-11,11.773483276367188
2001-10-12,11.91619873046875
2001-10-15,11.898350715637207
2001-10-16,11.987555503845215
2001-10-17,12.130264282226562
2001-10-18,12.133831977844238
2001-10-19,12.315779685974121
2001-10-22,12.579792022705078
2001-10-23,12.626177787780762
2001-10-24,12.522714614868164
2001-10-25,12.451364517211914
2001-10-26,12.237297058105469
2001-10-29,11.962580680847168
2001-10-30,12.023233413696289
2001-10-31,12.041071891784668
2001-11-01,12.041071891784668
2001-11-02,12.30864429473877
2001-11-05,12.201614379882812
2001-11-06,12.37286376953125
2001-11-07,12.255131721496582
2001-11-08,12.497729301452637
2001-11-09,12.294377326965332
2001-11-12,12.280097007751465
2001-11-13,12.094586372375488
