Date,ALLE
2013-11-18,42.60375213623047
2013-11-19,40.248600006103516
2013-11-20,39.23798370361328
2013-11-21,38.48221969604492
2013-11-22,38.65799331665039
2013-11-25,38.82495880126953
2013-11-26,37.963748931884766
2013-11-27,37.9989013671875
2013-11-29,37.9989013671875
2013-12-02,37.911014556884766
2013-12-03,37.700103759765625
2013-12-04,36.75980758666992
2013-12-05,36.07434844970703
2013-12-06,35.76676940917969
2013-12-09,36.1885986328125
2013-12-10,37.40132141113281
2013-12-11,37.31343460083008
2013-12-12,37.76163101196289
2013-12-13,38.0076904296875
2013-12-16,38.394344329833984
2013-12-17,38.447078704833984
2013-12-18,38.90403366088867
2013-12-19,39.06222915649414
2013-12-20,38.89525604248047
2013-12-23,39.23798370361328
2013-12-24,39.17646789550781
2013-12-26,39.28194046020508
2013-12-27,39.22921371459961
2013-12-30,38.77223587036133
2013-12-31,38.833744049072266
2014-01-02,38.35920715332031
2014-01-03,38.63164138793945
2014-01-06,38.38555908203125
2014-01-07,38.55253601074219
2014-01-08,38.56132507324219
2014-01-09,38.78102493286133
2014-01-10,40.187076568603516
2014-01-13,41.338294982910156
2014-01-14,42.00617980957031
2014-01-15,41.7425422668457
2014-01-16,41.6546630859375
2014-01-17,42.18194580078125
2014-01-21,42.331321716308594
2014-01-22,42.63011169433594
2014-01-23,41.93587112426758
2014-01-24,41.16253662109375
2014-01-27,40.951629638671875
2014-01-28,41.94465637207031
2014-01-29,41.98859786987305
2014-01-30,43.42982482910156
2014-01-31,43.3682975769043
2014-02-03,41.68981170654297
2014-02-04,42.22587585449219
2014-02-05,41.83041763305664
2014-02-06,43.27164840698242
2014-02-07,43.886802673339844
2014-02-10,43.79892349243164
2014-02-11,43.84284973144531
2014-02-12,43.93951416015625
2014-02-13,44.04498291015625
2014-02-14,43.6143684387207
2014-02-18,44.03617858886719
2014-02-19,43.20134353637695
2014-02-20,45.2752799987793
2014-02-21,46.022254943847656
2014-02-24,46.452857971191406
2014-02-25,47.94679641723633
2014-02-26,48.03467559814453
2014-02-27,48.641048431396484
2014-02-28,47.76224899291992
2014-03-03,47.00649642944336
2014-03-04,47.454681396484375
2014-03-05,47.41074752807617
2014-03-06,46.74285888671875
2014-03-07,46.91862487792969
2014-03-10,46.83072280883789
2014-03-11,47.89408493041992
2014-03-12,47.700748443603516
2014-03-13,47.17270278930664
2014-03-14,46.908660888671875
2014-03-17,46.609432220458984
2014-03-18,46.891056060791016
2014-03-19,46.891056060791016
2014-03-20,47.67433547973633
2014-03-21,47.35750961303711
2014-03-24,47.05828857421875
2014-03-25,46.8294677734375
2014-03-26,45.79975128173828
2014-03-27,45.28050231933594
2014-03-28,45.905357360839844
2014-03-31,45.91416549682617
2014-04-01,47.45431900024414
2014-04-02,48.114383697509766
2014-04-03,48.360809326171875
2014-04-04,47.28710174560547
2014-04-07,45.43012619018555
2014-04-08,45.24528884887695
2014-04-09,45.32450485229492
2014-04-10,44.60283660888672
2014-04-11,44.01316833496094
2014-04-14,43.801971435546875
2014-04-15,43.96916961669922
2014-04-16,44.2067985534668
2014-04-17,44.13638687133789
2014-04-21,44.5588264465332
2014-04-22,44.884464263916016
2014-04-23,44.356407165527344
2014-04-24,44.21559143066406
2014-04-25,43.59952926635742
2014-04-28,42.965877532958984
2014-04-29,43.036285400390625
2014-04-30,43.432315826416016
2014-05-01,45.1044921875
2014-05-02,44.62042999267578
2014-05-05,44.05718994140625
2014-05-06,43.907562255859375
2014-05-07,43.94275665283203
2014-05-08,43.441104888916016
2014-05-09,44.00436782836914
2014-05-12,44.42680358886719
2014-05-13,44.42680358886719
2014-05-14,43.81956100463867
2014-05-15,42.49943161010742
2014-05-16,43.37071990966797
2014-05-19,44.18920135498047
2014-05-20,44.44443130493164
2014-05-21,44.629234313964844
2014-05-22,45.315711975097656
2014-05-23,46.16938400268555
2014-05-27,46.17819595336914
2014-05-28,46.591827392578125
2014-05-29,47.10227966308594
2014-05-30,46.10778045654297
2014-06-02,45.82614517211914
2014-06-03,46.12539291381836
2014-06-04,46.77666091918945
2014-06-05,47.79755401611328
2014-06-06,49.135284423828125
2014-06-09,49.592918395996094
2014-06-10,49.9273567199707
2014-06-11,49.58414840698242
2014-06-12,49.460731506347656
2014-06-13,49.434303283691406
2014-06-16,50.35088348388672
2014-06-17,50.4566535949707
2014-06-18,50.535980224609375
