Date,TXN
2000-01-03,31.1552677154541
2000-01-04,29.830322265625
2000-01-05,29.111061096191406
2000-01-06,28.31608009338379
2000-01-07,28.467514038085938
2000-01-10,30.417078018188477
2000-01-11,30.133150100708008
2000-01-12,30.587434768676758
2000-01-13,31.003843307495117
2000-01-14,32.66949462890625
2000-01-18,33.42660903930664
2000-01-19,33.16161346435547
2000-01-20,34.183719635009766
2000-01-21,33.55437088012695
2000-01-24,33.578025817871094
2000-01-25,34.4865608215332
2000-01-26,34.070159912109375
2000-01-27,34.23466491699219
2000-01-28,32.45475769042969
2000-01-31,32.644100189208984
2000-02-01,34.272544860839844
2000-02-02,36.16603088378906
2000-02-03,40.59685516357422
2000-02-04,39.99093246459961
2000-02-07,40.748329162597656
2000-02-08,42.07379913330078
2000-02-09,42.6796989440918
2000-02-10,43.9294319152832
2000-02-11,41.695068359375
2000-02-14,40.78620147705078
2000-02-15,40.880863189697266
2000-02-16,41.12702941894531
2000-02-17,43.32352066040039
2000-02-18,40.59685516357422
2000-02-22,45.14128875732422
2000-02-23,44.573211669921875
2000-02-24,47.79222106933594
2000-02-25,46.42887496948242
2000-02-28,47.2241325378418
2000-02-29,50.32950210571289
2000-03-01,49.79930877685547
2000-03-02,52.41237258911133
2000-03-03,56.843170166015625
2000-03-06,56.35086441040039
2000-03-07,54.53307342529297
2000-03-08,52.1093635559082
2000-03-09,54.53307342529297
2000-03-10,54.76031494140625
2000-03-13,52.033660888671875
2000-03-14,47.41349411010742
2000-03-15,44.535369873046875
2000-03-16,48.473880767822266
2000-03-17,51.46559143066406
2000-03-20,50.6324577331543
2000-03-21,51.8822021484375
2000-03-22,53.92717361450195
2000-03-23,52.79105758666992
2000-03-24,53.49165344238281
2000-03-27,54.817108154296875
2000-03-28,54.19226837158203
2000-03-29,51.74964141845703
2000-03-30,49.420631408691406
2000-03-31,48.473880767822266
2000-04-03,45.671451568603516
2000-04-04,44.15665817260742
2000-04-05,45.44424057006836
2000-04-06,48.473880767822266
2000-04-07,50.44309616088867
2000-04-10,47.37563705444336
2000-04-11,45.44424057006836
2000-04-12,42.56612777709961
2000-04-13,42.982696533203125
2000-04-14,42.11167907714844
2000-04-17,45.14128875732422
2000-04-18,45.44424057006836
2000-04-19,43.32352066040039
2000-04-20,43.9294319152832
2000-04-24,42.7933235168457
2000-04-25,46.05016326904297
2000-04-26,45.14128875732422
2000-04-27,48.33631896972656
2000-04-28,49.359127044677734
2000-05-01,48.48786926269531
2000-05-02,47.124141693115234
2000-05-03,46.006649017333984
2000-05-04,47.124141693115234
2000-05-05,46.61275100708008
2000-05-08,44.49139404296875
2000-05-09,42.82463455200195
2000-05-10,40.26765823364258
2000-05-11,42.42687225341797
2000-05-12,42.8056755065918
2000-05-15,43.2413215637207
2000-05-16,44.81340026855469
2000-05-17,43.90420913696289
2000-05-18,43.9610481262207
2000-05-19,42.275352478027344
2000-05-22,40.532798767089844
2000-05-23,38.790287017822266
2000-05-24,41.44194793701172
2000-05-25,42.42687225341797
2000-05-26,40.60857009887695
2000-05-30,43.79059600830078
2000-05-31,43.79059600830078
2000-06-01,47.351436614990234
2000-06-02,51.93505096435547
2000-06-05,50.91223907470703
2000-06-06,48.7908935546875
2000-06-07,50.230411529541016
2000-06-08,49.54853057861328
2000-06-09,50.76072311401367
2000-06-12,47.95752716064453
2000-06-13,50.4576530456543
2000-06-14,49.624298095703125
2000-06-15,48.7908935546875
2000-06-16,49.70004653930664
2000-06-19,53.185123443603516
2000-06-20,52.65478515625
2000-06-21,49.70004653930664
2000-06-22,49.47275161743164
2000-06-23,45.91193389892578
2000-06-26,45.30581283569336
2000-06-27,43.48753356933594
2000-06-28,43.41177749633789
2000-06-29,41.82079315185547
2000-06-30,41.631351470947266
2000-07-03,41.82079315185547
2000-07-05,39.85096740722656
2000-07-06,40.60857009887695
2000-07-07,41.82079315185547
2000-07-10,41.21468734741211
2000-07-11,41.21468734741211
2000-07-12,41.21468734741211
2000-07-13,42.95720672607422
2000-07-14,43.942115783691406
2000-07-17,44.548221588134766
2000-07-18,42.76780700683594
2000-07-19,40.760101318359375
2000-07-20,41.06315231323242
2000-07-21,38.487247467041016
2000-07-24,41.21468734741211
2000-07-25,40.646446228027344
2000-07-26,38.828163146972656
2000-07-27,34.59680938720703
2000-07-28,34.862060546875
2000-07-31,36.07467269897461
2000-08-01,35.165225982666016
2000-08-02,34.558937072753906
2000-08-03,33.801048278808594
2000-08-04,33.49789810180664
2000-08-07,35.46836471557617
2000-08-08,36.302024841308594
2000-08-09,36.37781524658203
2000-08-10,36.68096160888672
2000-08-11,34.710487365722656
2000-08-14,38.499855041503906
2000-08-15,40.31874465942383
2000-08-16,40.31874465942383
2000-08-17,40.925045013427734
2000-08-18,42.819705963134766
2000-08-21,41.07661819458008
2000-08-22,39.63665771484375
2000-08-23,41.15241241455078
2000-08-24,42.21343231201172
2000-08-25,40.69766616821289
2000-08-28,42.06186294555664
2000-08-29,40.6597900390625
2000-08-30,40.58401107788086
2000-08-31,40.47032165527344
2000-09-01,40.621883392333984
2000-09-05,40.015586853027344
2000-09-06,38.12091827392578
2000-09-07,37.28725051879883
2000-09-08,35.544166564941406
2000-09-11,35.165225982666016
2000-09-12,34.710487365722656
2000-09-13,34.558937072753906
2000-09-14,36.4536018371582
2000-09-15,35.771522521972656
2000-09-18,35.88520812988281
2000-09-19,38.613529205322266
2000-09-20,36.37781524658203
2000-09-21,32.664241790771484
2000-09-22,34.558937072753906
2000-09-25,31.52744483947754
2000-09-26,29.746437072753906
2000-09-27,29.32962417602539
2000-09-28,28.495954513549805
2000-09-29,28.79909896850586
2000-10-02,30.314855575561523
2000-10-03,29.556964874267578
2000-10-04,30.769567489624023
2000-10-05,29.594852447509766
2000-10-06,28.420164108276367
2000-10-09,27.510725021362305
2000-10-10,26.222341537475586
2000-10-11,25.350788116455078
2000-10-12,23.98661994934082
2000-10-13,26.98021697998047
2000-10-16,26.411806106567383
2000-10-17,24.36555290222168
2000-10-18,22.35719871520996
2000-10-19,27.738069534301758
2000-10-20,28.79909896850586
2000-10-23,29.632749557495117
2000-10-24,27.81386375427246
2000-10-25,25.843414306640625
2000-10-26,26.82863998413086
2000-10-27,27.106769561767578
