Date,D
2000-01-03,6.3903703689575195
2000-01-04,6.547509670257568
2000-01-05,6.725600719451904
2000-01-06,6.798935413360596
2000-01-07,6.798935413360596
2000-01-10,6.798935413360596
2000-01-11,6.819889545440674
2000-01-12,6.8722686767578125
2000-01-13,6.966550827026367
2000-01-14,6.977030277252197
2000-01-18,6.966550827026367
2000-01-19,7.081787109375
2000-01-20,7.11321496963501
2000-01-21,7.092265605926514
2000-01-24,7.11321496963501
2000-01-25,7.039888381958008
2000-01-26,7.155120372772217
2000-01-27,7.1341681480407715
2000-01-28,6.809408664703369
2000-01-31,6.997981548309326
2000-02-01,6.8827433586120605
2000-02-02,6.935123920440674
2000-02-03,7.029409408569336
2000-02-04,6.903692245483398
2000-02-07,6.851316928863525
2000-02-08,6.8408379554748535
2000-02-09,6.819889545440674
2000-02-10,6.8408379554748535
2000-02-11,6.777983665466309
2000-02-14,6.7570319175720215
2000-02-15,6.809408664703369
2000-02-16,6.819889545440674
2000-02-17,6.8408379554748535
2000-02-18,6.819889545440674
2000-02-22,6.809408664703369
2000-02-23,6.537034511566162
2000-02-24,6.47418212890625
2000-02-25,6.222754955291748
2000-02-28,6.31145715713501
2000-02-29,6.258147239685059
2000-03-01,6.151538372039795
2000-03-02,6.2474870681762695
2000-03-03,6.268811225891113
2000-03-06,6.194183826446533
2000-03-07,6.2155046463012695
2000-03-08,6.268811225891113
2000-03-09,6.258147239685059
2000-03-10,6.194183826446533
2000-03-13,6.119552135467529
2000-03-14,5.9916205406188965
2000-03-15,6.268811225891113
2000-03-16,6.6099700927734375
2000-03-17,6.3647637367248535
2000-03-20,6.450052738189697
2000-03-21,6.450052738189697
2000-03-22,6.450052738189697
2000-03-23,6.514018535614014
2000-03-24,6.407407283782959
2000-03-27,6.452715873718262
2000-03-28,6.290133953094482
2000-03-29,6.31145715713501
2000-03-30,6.503357410430908
2000-03-31,6.556666851043701
2000-04-03,6.57798433303833
2000-04-04,6.769888877868652
2000-04-05,6.823199272155762
2000-04-06,6.716580867767334
2000-04-07,6.599311828613281
2000-04-10,6.865843772888184
2000-04-11,6.993777751922607
2000-04-12,7.2389817237854
2000-04-13,7.6227922439575195
2000-04-14,7.409562587738037
2000-04-17,7.43088436126709
2000-04-18,7.313612937927246
2000-04-19,7.2389817237854
2000-04-20,7.324276924133301
2000-04-24,7.558824062347412
2000-04-25,7.814690113067627
2000-04-26,7.931966781616211
2000-04-27,7.761385440826416
2000-04-28,7.676095008850098
2000-05-01,7.569483757019043
2000-05-02,7.36691951751709
2000-05-03,7.409562587738037
2000-05-04,7.590806007385254
2000-05-05,7.43088436126709
2000-05-08,7.48419189453125
2000-05-09,7.494853496551514
2000-05-10,7.8360137939453125
2000-05-11,7.963950157165527
2000-05-12,7.761385440826416
2000-05-15,7.846677303314209
2000-05-16,7.825355529785156
2000-05-17,7.5374956130981445
2000-05-18,7.750725746154785
2000-05-19,7.878657341003418
2000-05-22,7.995936393737793
2000-05-23,7.761385440826416
2000-05-24,7.862174987792969
2000-05-25,7.797287940979004
2000-05-26,7.970320224761963
2000-05-30,7.818920135498047
2000-05-31,7.916250228881836
2000-06-01,7.927064895629883
2000-06-02,7.7864766120910645
2000-06-05,7.5918145179748535
2000-06-06,7.656700134277344
2000-06-07,7.570183753967285
2000-06-08,7.5918145179748535
2000-06-09,7.721586227416992
