Date,ARES
2014-05-02,11.194000244140625
2014-05-05,11.194000244140625
2014-05-06,11.121780395507812
2014-05-07,10.67041015625
2014-05-08,10.682446479797363
2014-05-09,10.586152076721191
2014-05-12,10.35745906829834
2014-05-13,10.351441383361816
2014-05-14,10.321349143981934
2014-05-15,10.556061744689941
2014-05-16,10.604209899902344
2014-05-19,10.736610412597656
2014-05-20,10.796792984008789
2014-05-21,10.772723197937012
2014-05-22,10.832902908325195
2014-05-23,10.93521499633789
2014-05-27,11.013452529907227
2014-05-28,11.24816608428955
2014-05-29,11.314361572265625
2014-05-30,11.434731483459473
2014-06-02,11.338440895080566
2014-06-03,11.260200500488281
2014-06-04,11.314361572265625
2014-06-05,11.085672378540039
2014-06-06,11.07363224029541
2014-06-09,11.25418472290039
2014-06-10,11.175946235656738
2014-06-11,11.290294647216797
2014-06-12,11.212051391601562
2014-06-13,11.049561500549316
2014-06-16,11.194000244140625
2014-06-17,11.103727340698242
2014-06-18,11.194000244140625
2014-06-19,11.221080780029297
2014-06-20,11.224091529846191
2014-06-23,11.308348655700684
2014-06-24,11.261404991149902
2014-06-25,11.236127853393555
2014-06-26,11.206033706665039
2014-06-27,11.350478172302246
2014-06-30,11.543060302734375
2014-07-01,11.344457626342773
2014-07-02,11.308348655700684
2014-07-03,11.404643058776855
2014-07-07,11.41667366027832
2014-07-08,11.585186004638672
2014-07-09,11.555099487304688
2014-07-10,11.549080848693848
2014-07-11,11.440751075744629
2014-07-14,11.525010108947754
2014-07-15,11.525010108947754
2014-07-16,11.482877731323242
2014-07-17,11.446767807006836
2014-07-18,11.549080848693848
2014-07-21,11.735647201538086
2014-07-22,11.807865142822266
2014-07-23,11.843971252441406
2014-07-24,11.946282386779785
2014-07-25,11.946282386779785
2014-07-28,11.693519592285156
2014-07-29,11.946282386779785
2014-07-30,11.771750450134277
2014-07-31,11.693519592285156
2014-08-01,11.555099487304688
2014-08-04,11.260200500488281
2014-08-05,11.24816608428955
2014-08-06,10.724575996398926
2014-08-07,10.706521987915039
2014-08-08,10.580134391784668
2014-08-11,10.802811622619629
2014-08-12,10.826884269714355
2014-08-13,10.947253227233887
2014-08-14,10.802811622619629
2014-08-15,10.869013786315918
2014-08-18,10.706521987915039
2014-08-19,10.71253490447998
2014-08-20,10.796792984008789
2014-08-21,10.796793937683105
