Date,ORCL
2000-01-03,23.52922248840332
2000-01-04,21.450191497802734
2000-01-05,20.317289352416992
2000-01-06,19.122167587280273
2000-01-07,20.59117889404297
2000-01-10,23.056150436401367
2000-01-11,22.383880615234375
2000-01-12,21.039358139038086
2000-01-13,20.92730712890625
2000-01-14,21.27589988708496
2000-01-18,22.1597957611084
2000-01-19,22.757366180419922
2000-01-20,23.60391616821289
2000-01-21,23.778209686279297
2000-01-24,21.587125778198242
2000-01-25,22.483470916748047
2000-01-26,21.935707092285156
2000-01-27,20.640972137451172
2000-01-28,18.873180389404297
2000-01-31,19.90024185180664
2000-02-01,21.51243019104004
2000-02-02,21.636924743652344
2000-02-03,22.58307456970215
2000-02-04,23.031251907348633
2000-02-07,23.87779426574707
2000-02-08,23.7283992767334
2000-02-09,23.87779426574707
2000-02-10,24.82395362854004
2000-02-11,23.778209686279297
2000-02-14,24.774152755737305
2000-02-15,24.450475692749023
2000-02-16,24.400671005249023
2000-02-17,24.550065994262695
2000-02-18,23.330039978027344
2000-02-22,23.628812789916992
2000-02-23,25.122732162475586
2000-02-24,24.674556732177734
2000-02-25,28.135465621948242
2000-02-28,27.338714599609375
2000-02-29,29.579593658447266
2000-03-01,28.484052658081055
2000-03-02,27.288908004760742
2000-03-03,29.878374099731445
2000-03-06,30.177156448364258
2000-03-07,29.853471755981445
2000-03-08,33.11520004272461
2000-03-09,33.46376419067383
2000-03-10,32.517635345458984
2000-03-13,31.372291564941406
2000-03-14,30.675119400024414
2000-03-15,31.32249641418457
2000-03-16,32.64212417602539
2000-03-17,31.795574188232422
2000-03-20,31.1232967376709
2000-03-21,32.144168853759766
2000-03-22,33.488670349121094
2000-03-23,34.60911560058594
2000-03-24,34.6589241027832
2000-03-27,35.231597900390625
2000-03-28,34.48463821411133
2000-03-29,32.86619186401367
2000-03-30,31.24779510498047
2000-03-31,31.098400115966797
2000-04-03,30.625343322753906
2000-04-04,30.251863479614258
2000-04-05,31.173095703125
2000-04-06,32.74172592163086
2000-04-07,34.70872116088867
2000-04-10,32.86619186401367
2000-04-11,30.82452392578125
2000-04-12,29.131410598754883
2000-04-13,28.658344268798828
2000-04-14,24.89864730834961
2000-04-17,29.80368423461914
2000-04-18,31.446989059448242
2000-04-19,29.70407485961914
2000-04-20,28.210174560546875
2000-04-24,28.857526779174805
2000-04-25,30.10246467590332
2000-04-26,28.7579345703125
2000-04-27,30.799636840820312
2000-04-28,31.845367431640625
2000-05-01,31.745773315429688
2000-05-02,30.998823165893555
2000-05-03,30.20205307006836
2000-05-04,29.579593658447266
2000-05-05,30.600431442260742
2000-05-08,28.80773162841797
2000-05-09,28.68324851989746
2000-05-10,26.940326690673828
2000-05-11,28.832639694213867
2000-05-12,29.5546932220459
2000-05-15,30.675119400024414
2000-05-16,31.546592712402344
2000-05-17,31.14820671081543
2000-05-18,29.10651206970215
2000-05-19,27.91138458251953
2000-05-22,27.01503562927246
2000-05-23,24.948440551757812
2000-05-24,25.595813751220703
2000-05-25,26.467260360717773
2000-05-26,26.69133949279785
2000-05-30,29.5546932220459
2000-05-31,28.633434295654297
2000-06-01,31.023719787597656
2000-06-02,31.94497299194336
2000-06-05,32.24374771118164
2000-06-06,30.700031280517578
2000-06-07,31.870267868041992
2000-06-08,32.81643295288086
2000-06-09,32.94090270996094
2000-06-12,32.0943489074707
2000-06-13,32.54251480102539
2000-06-14,31.471895217895508
2000-06-15,32.86619186401367
2000-06-16,32.617218017578125
2000-06-19,34.26054763793945
2000-06-20,34.279212951660156
2000-06-21,34.33522415161133
2000-06-22,32.46783447265625
