Date,SPGI
2000-01-03,18.621814727783203
2000-01-04,17.765409469604492
2000-01-05,17.52642250061035
2000-01-06,17.04841423034668
2000-01-07,17.207746505737305
2000-01-10,18.402725219726562
2000-01-11,18.502317428588867
2000-01-12,18.641727447509766
2000-01-13,19.498136520385742
2000-01-14,18.721391677856445
2000-01-18,18.10398292541504
2000-01-19,18.382816314697266
2000-01-20,18.32306480407715
2000-01-21,18.562063217163086
2000-01-24,17.90482521057129
2000-01-25,17.606075286865234
2000-01-26,18.781143188476562
2000-01-27,19.000221252441406
2000-01-28,18.562063217163086
2000-01-31,17.864988327026367
2000-02-01,17.864988327026367
2000-02-02,18.362897872924805
2000-02-03,18.76121711730957
2000-02-04,18.32306480407715
2000-02-07,17.90482521057129
2000-02-08,17.884906768798828
2000-02-09,17.566242218017578
2000-02-10,17.685749053955078
2000-02-11,17.566242218017578
2000-02-14,17.52642250061035
2000-02-15,16.968761444091797
2000-02-16,16.729759216308594
2000-02-17,16.45092010498047
2000-02-18,15.992842674255371
2000-02-22,15.992842674255371
2000-02-23,15.707906723022461
2000-02-24,14.887495994567871
2000-02-25,14.867487907409668
2000-02-28,14.887495994567871
2000-02-29,16.288192749023438
2000-03-01,16.04808235168457
2000-03-02,16.108118057250977
2000-03-03,16.04808235168457
2000-03-06,15.787949562072754
2000-03-07,15.687902450561523
2000-03-08,15.327715873718262
2000-03-09,15.948029518127441
2000-03-10,15.687902450561523
2000-03-13,14.647374153137207
2000-03-14,14.887495994567871
2000-03-15,14.847469329833984
2000-03-16,16.24818992614746
2000-03-17,15.787949562072754
2000-03-20,15.207653999328613
2000-03-21,14.66738510131836
2000-03-22,15.187644958496094
2000-03-23,15.787949562072754
2000-03-24,15.387758255004883
2000-03-27,14.767431259155273
2000-03-28,14.40725326538086
2000-03-29,14.727413177490234
2000-03-30,14.927511215209961
2000-03-31,14.567331314086914
2000-04-03,14.40725326538086
2000-04-04,14.727413177490234
2000-04-05,15.007555961608887
2000-04-06,15.267684936523438
2000-04-07,15.007555961608887
2000-04-10,14.527310371398926
2000-04-11,14.187149047851562
2000-04-12,14.487296104431152
2000-04-13,13.746923446655273
2000-04-14,13.78693675994873
2000-04-17,13.686898231506348
2000-04-18,15.64787769317627
2000-04-19,15.948029518127441
2000-04-20,15.847986221313477
2000-04-24,16.60835838317871
2000-04-25,17.40876007080078
2000-04-26,17.608863830566406
2000-04-27,17.24868392944336
2000-04-28,16.80845832824707
2000-05-01,16.628366470336914
2000-05-02,16.628366470336914
2000-05-03,16.448274612426758
2000-05-04,16.60835838317871
2000-05-05,16.708415985107422
2000-05-08,16.348234176635742
2000-05-09,16.228168487548828
2000-05-10,16.168140411376953
2000-05-11,16.108118057250977
2000-05-12,16.298206329345703
2000-05-15,16.328218460083008
2000-05-16,16.208154678344727
2000-05-17,16.088090896606445
2000-05-18,16.328218460083008
2000-05-19,16.04808235168457
2000-05-22,15.847986221313477
2000-05-23,15.948029518127441
2000-05-24,16.22467041015625
2000-05-25,16.405609130859375
2000-05-26,16.586566925048828
2000-05-30,16.868030548095703
2000-05-31,16.546344757080078
2000-06-01,16.546344757080078
2000-06-02,16.868030548095703
2000-06-05,16.868030548095703
2000-06-06,16.56645393371582
2000-06-07,16.687082290649414
2000-06-08,16.76750373840332
2000-06-09,17.089183807373047
2000-06-12,16.90824317932129
2000-06-13,17.229917526245117
2000-06-14,17.611913681030273
2000-06-15,17.611913681030273
2000-06-16,17.370651245117188
2000-06-19,17.511383056640625
2000-06-20,18.536733627319336
2000-06-21,18.174854278564453
2000-06-22,19.03936004638672
2000-06-23,18.898630142211914
2000-06-26,17.873279571533203
2000-06-27,18.39601707458496
2000-06-28,18.81318473815918
2000-06-29,18.41611099243164
2000-06-30,17.370651245117188
2000-07-03,17.5314998626709
2000-07-05,17.551591873168945
2000-07-06,17.632020950317383
2000-07-07,18.014009475708008
2000-07-10,18.114532470703125
2000-07-11,18.05422019958496
2000-07-12,18.05422019958496
2000-07-13,18.71767807006836
2000-07-14,19.019258499145508
2000-07-17,18.65737533569336
2000-07-18,18.93883514404297
2000-07-19,18.818206787109375
2000-07-20,18.87851905822754
2000-07-21,18.757888793945312
2000-07-24,18.979047775268555
2000-07-25,18.85841941833496
2000-07-26,19.079566955566406
2000-07-27,19.783233642578125
2000-07-28,19.562089920043945
2000-07-31,19.119775772094727
2000-08-01,19.079566955566406
2000-08-02,19.159990310668945
2000-08-03,19.079566955566406
2000-08-04,19.119775772094727
2000-08-07,19.260515213012695
2000-08-08,18.93883514404297
2000-08-09,18.516633987426758
2000-08-10,18.335691452026367
2000-08-11,18.757888793945312
2000-08-14,19.139894485473633
2000-08-15,19.059471130371094
2000-08-16,19.079566955566406
2000-08-17,18.838306427001953
2000-08-18,18.757888793945312
2000-08-21,18.838306427001953
2000-08-22,19.059471130371094
2000-08-23,19.220308303833008
2000-08-24,19.31637954711914
2000-08-25,19.356752395629883
2000-08-28,20.002649307250977
2000-08-29,19.861347198486328
2000-08-30,20.42652702331543
2000-08-31,20.007686614990234
2000-09-01,19.921905517578125
2000-09-05,19.67969512939453
2000-09-06,19.27601432800293
2000-09-07,19.498048782348633
2000-09-08,19.498048782348633
2000-09-11,20.527441024780273
2000-09-12,20.587995529174805
2000-09-13,20.42652702331543
2000-09-14,20.527441024780273
2000-09-15,21.112783432006836
2000-09-18,21.677949905395508
2000-09-19,21.132978439331055
2000-09-20,20.87057876586914
2000-09-21,20.810020446777344
2000-09-22,20.850385665893555
2000-09-25,20.648550033569336
2000-09-26,20.002649307250977
2000-09-27,20.265050888061523
2000-09-28,20.87057876586914
2000-09-29,20.527441024780273
2000-10-02,21.011871337890625
2000-10-03,20.547626495361328
2000-10-04,20.143938064575195
2000-10-05,19.720067977905273
2000-10-06,19.921905517578125
2000-10-09,20.406333923339844
2000-10-10,20.224679946899414
2000-10-11,20.022829055786133
2000-10-12,19.53841209411621
2000-10-13,19.376934051513672
2000-10-16,19.053991317749023
2000-10-17,19.255823135375977
2000-10-18,19.175090789794922
2000-10-19,19.336566925048828
2000-10-20,19.477853775024414
2000-10-23,19.29620361328125
2000-10-24,19.376934051513672
2000-10-25,19.336566925048828
2000-10-26,19.437480926513672
2000-10-27,19.982460021972656
2000-10-30,20.063203811645508
2000-10-31,20.72928237915039
2000-11-01,20.910934448242188
2000-11-02,20.97150421142578
2000-11-03,20.325593948364258
2000-11-06,20.345783233642578
