Date,WMT
2000-01-03,14.15452766418457
2000-01-04,13.624897956848145
2000-01-05,13.346843719482422
2000-01-06,13.492491722106934
2000-01-07,14.512051582336426
2000-01-10,14.247228622436523
2000-01-11,14.035368919372559
2000-01-12,13.783784866333008
2000-01-13,13.797032356262207
2000-01-14,13.664624214172363
2000-01-18,13.889721870422363
2000-01-19,13.571934700012207
2000-01-20,13.426286697387695
2000-01-21,13.227670669555664
2000-01-24,12.57887077331543
2000-01-25,12.949617385864258
2000-01-26,13.121749877929688
2000-01-27,12.525906562805176
2000-01-28,11.678486824035645
2000-01-31,11.599042892456055
2000-02-01,12.433222770690918
2000-02-02,12.367013931274414
2000-02-03,12.367013931274414
2000-02-04,11.930068016052246
2000-02-07,11.810897827148438
2000-02-08,12.605345726013184
2000-02-09,12.247844696044922
2000-02-10,12.075719833374023
2000-02-11,11.87710189819336
2000-02-14,12.472944259643555
2000-02-15,12.287567138671875
2000-02-16,11.175333976745605
2000-02-17,10.248472213745117
2000-02-18,10.116063117980957
2000-02-22,10.195505142211914
2000-02-23,9.957167625427246
2000-02-24,10.14254093170166
2000-02-25,9.427530288696289
2000-02-28,9.78503704071045
2000-02-29,10.327919006347656
2000-03-01,10.380875587463379
2000-03-02,10.711902618408203
2000-03-03,11.148853302001953
2000-03-06,10.69865608215332
2000-03-07,10.076338768005371
2000-03-08,10.235231399536133
2000-03-09,10.36763858795166
2000-03-10,10.155786514282227
2000-03-13,10.102818489074707
2000-03-14,10.116063117980957
2000-03-15,10.924245834350586
2000-03-16,11.58712100982666
2000-03-17,11.825758934020996
2000-03-20,11.693181991577148
2000-03-21,12.011360168457031
2000-03-22,11.746209144592285
2000-03-23,11.454547882080078
2000-03-24,11.772724151611328
2000-03-27,11.759472846984863
2000-03-28,11.560604095458984
2000-03-29,12.462116241455078
2000-03-30,12.515155792236328
2000-03-31,11.984850883483887
2000-04-03,12.979170799255371
2000-04-04,12.727272987365723
2000-04-05,12.356059074401855
2000-04-06,12.96590805053711
2000-04-07,13.045454025268555
2000-04-10,13.482954978942871
2000-04-11,13.443177223205566
2000-04-12,13.24431037902832
2000-04-13,12.740530014038086
2000-04-14,11.66666316986084
2000-04-17,11.454547882080078
2000-04-18,11.428030014038086
2000-04-19,11.65340805053711
2000-04-20,12.236737251281738
2000-04-24,12.488637924194336
2000-04-25,12.660987854003906
2000-04-26,12.462116241455078
2000-04-27,12.236737251281738
2000-04-28,11.746209144592285
2000-05-01,12.289770126342773
2000-05-02,12.223480224609375
