Date,GM
2010-11-18,25.435691833496094
2010-11-19,25.487768173217773
2010-11-22,25.35385513305664
2010-11-23,24.736373901367188
2010-11-24,24.90748405456543
2010-11-26,25.145549774169922
2010-11-29,25.145549774169922
2010-11-30,25.443130493164062
2010-12-01,25.874614715576172
2010-12-02,25.80022430419922
2010-12-03,25.703514099121094
2010-12-06,25.65143585205078
2010-12-07,25.80022430419922
2010-12-08,25.629112243652344
2010-12-09,25.100915908813477
2010-12-10,25.152992248535156
2010-12-13,25.145549774169922
2010-12-14,25.212501525878906
2010-12-15,25.004199981689453
2010-12-16,25.004199981689453
2010-12-17,25.29433250427246
2010-12-20,25.11579132080078
2010-12-21,25.182743072509766
2010-12-22,25.97876739501953
2010-12-23,25.896944046020508
2010-12-27,25.740703582763672
2010-12-28,26.27635383605957
2010-12-29,26.797115325927734
2010-12-30,27.39227294921875
2010-12-31,27.422040939331055
2011-01-03,27.57082748413086
2011-01-04,28.195749282836914
2011-01-05,28.322216033935547
2011-01-06,28.9397029876709
2011-01-07,28.99921417236328
2011-01-10,28.686758041381836
2011-01-11,28.82810401916504
2011-01-12,28.731395721435547
2011-01-13,28.471012115478516
2011-01-14,28.418935775756836
2011-01-18,28.292470932006836
2011-01-19,27.823776245117188
2011-01-20,27.660110473632812
2011-01-21,27.704736709594727
2011-01-24,28.0023193359375
2011-01-25,28.56772804260254
2011-01-26,28.188318252563477
2011-01-27,28.768598556518555
2011-01-28,27.228609085083008
2011-01-31,27.14678192138672
2011-02-01,27.117021560668945
2011-02-02,26.544174194335938
2011-02-03,26.826873779296875
2011-02-04,27.22117042541504
2011-02-07,27.303009033203125
2011-02-08,27.444353103637695
2011-02-09,27.08725929260254
2011-02-10,26.69296646118164
2011-02-11,27.117021560668945
2011-02-14,26.99799156188965
2011-02-15,26.864070892333984
2011-02-16,27.340208053588867
2011-02-17,27.057498931884766
2011-02-18,27.161653518676758
2011-02-22,26.611127853393555
2011-02-23,25.73326873779297
2011-02-24,24.565263748168945
2011-02-25,24.736373901367188
2011-02-28,24.94467544555664
2011-03-01,24.513185501098633
2011-03-02,24.461118698120117
2011-03-03,24.572710037231445
2011-03-04,24.096580505371094
2011-03-07,23.583250045776367
2011-03-08,24.34208106994629
2011-03-09,23.99242401123047
2011-03-10,23.374940872192383
2011-03-11,23.754364013671875
2011-03-14,23.501420974731445
2011-03-15,24.066818237304688
2011-03-16,23.64276123046875
2011-03-17,23.38983154296875
2011-03-18,23.69484519958496
2011-03-21,23.270790100097656
2011-03-22,22.869056701660156
2011-03-23,23.181516647338867
2011-03-24,23.352630615234375
2011-03-25,23.41214370727539
2011-03-28,22.95089340209961
2011-03-29,23.136877059936523
2011-03-30,23.47165870666504
2011-03-31,23.084806442260742
2011-04-01,24.111454010009766
2011-04-04,24.096580505371094
2011-04-05,24.45367431640625
2011-04-06,24.45367431640625
2011-04-07,24.037063598632812
2011-04-08,23.449337005615234
2011-04-11,22.891376495361328
2011-04-12,23.174081802368164
2011-04-13,22.958330154418945
2011-04-14,22.750030517578125
2011-04-15,22.497079849243164
2011-04-18,22.296215057373047
2011-04-19,22.013519287109375
2011-04-20,22.266456604003906
2011-04-21,23.025285720825195
2011-04-25,23.166635513305664
2011-04-26,23.263355255126953
2011-04-27,23.64276123046875
2011-04-28,23.739482879638672
2011-04-29,23.873390197753906
2011-05-02,23.940345764160156
2011-05-03,24.542949676513672
2011-05-04,24.58014678955078
2011-05-05,23.821313858032227
2011-05-06,23.739482879638672
2011-05-09,23.352630615234375
2011-05-10,23.516298294067383
2011-05-11,23.28566551208496
2011-05-12,23.374940872192383
2011-05-13,23.114564895629883
2011-05-16,23.136877059936523
2011-05-17,23.136877059936523
2011-05-18,23.449337005615234
2011-05-19,23.41214370727539
2011-05-20,23.196401596069336
2011-05-23,23.032726287841797
2011-05-24,22.936012268066406
2011-05-25,23.263355255126953
2011-05-26,22.824417114257812
2011-05-27,23.270790100097656
2011-05-31,23.665084838867188
2011-06-01,22.489643096923828
2011-06-02,22.020950317382812
2011-06-03,21.66385269165039
2011-06-06,21.247243881225586
2011-06-07,21.410917282104492
2011-06-08,21.470428466796875
2011-06-09,21.90936279296875
2011-06-10,21.46298599243164
2011-06-13,21.269556045532227
2011-06-14,21.656421661376953
2011-06-15,21.537384033203125
2011-06-16,21.269556045532227
2011-06-17,21.574586868286133
2011-06-20,21.96143913269043
2011-06-21,22.013519287109375
2011-06-22,22.296215057373047
2011-06-23,22.422683715820312
