Date,JBL
2000-01-03,26.917936325073242
2000-01-04,25.052326202392578
2000-01-05,25.003875732421875
2000-01-06,24.204326629638672
2000-01-07,25.052326202392578
2000-01-10,26.457584381103516
2000-01-11,25.779191970825195
2000-01-12,25.536903381347656
2000-01-13,25.197710037231445
2000-01-14,25.87611198425293
2000-01-18,25.924560546875
2000-01-19,26.360673904418945
2000-01-20,27.305593490600586
2000-01-21,27.184438705444336
2000-01-24,26.724103927612305
2000-01-25,26.118391036987305
2000-01-26,27.1359806060791
2000-01-27,25.706501007080078
2000-01-28,24.22856903076172
2000-01-31,24.519296646118164
2000-02-01,25.3673038482666
2000-02-02,26.40913200378418
2000-02-03,27.52364158630371
2000-02-04,26.990633010864258
2000-02-07,27.232892990112305
2000-02-08,29.365026473999023
2000-02-09,29.922283172607422
2000-02-10,29.171199798583984
2000-02-11,28.613929748535156
2000-02-14,28.22627067565918
2000-02-15,28.51701545715332
2000-02-16,28.58970069885254
2000-02-17,27.329816818237305
2000-02-18,26.384902954101562
2000-02-22,26.06993293762207
2000-02-23,26.699888229370117
2000-02-24,26.602947235107422
2000-02-25,27.71747589111328
2000-02-28,27.378273010253906
2000-02-29,26.917936325073242
2000-03-01,26.990633010864258
2000-03-02,27.45096206665039
2000-03-03,28.371654510498047
2000-03-06,31.787878036499023
2000-03-07,31.036787033081055
2000-03-08,30.334163665771484
2000-03-09,31.933229446411133
2000-03-10,34.59840393066406
2000-03-13,33.338504791259766
2000-03-14,32.950843811035156
2000-03-15,30.285696029663086
2000-03-16,33.338504791259766
2000-03-17,32.36935806274414
2000-03-20,32.0786247253418
2000-03-21,31.594039916992188
2000-03-22,31.83633041381836
2000-03-23,31.30331039428711
2000-03-24,31.909027099609375
2000-03-27,34.06536865234375
2000-03-28,34.380313873291016
2000-03-29,32.41781997680664
2000-03-30,31.157936096191406
2000-03-31,33.532325744628906
2000-04-03,31.787878036499023
2000-04-04,29.413476943969727
2000-04-05,30.479522705078125
2000-04-06,31.400205612182617
2000-04-07,31.9816951751709
2000-04-10,30.285696029663086
2000-04-11,29.413476943969727
2000-04-12,25.682275772094727
2000-04-13,26.602947235107422
2000-04-14,25.003875732421875
2000-04-17,25.100793838500977
2000-04-18,27.438854217529297
2000-04-19,29.461933135986328
2000-04-20,28.541255950927734
2000-04-24,29.025815963745117
2000-04-25,30.7218074798584
2000-04-26,30.237247467041016
2000-04-27,31.54559898376465
2000-04-28,31.594039916992188
2000-05-01,32.46626663208008
2000-05-02,30.479522705078125
2000-05-03,29.898038864135742
2000-05-04,30.431076049804688
2000-05-05,29.558847427368164
2000-05-08,28.202041625976562
2000-05-09,27.86284637451172
2000-05-10,25.48844337463379
2000-05-11,25.149253845214844
2000-05-12,26.651412963867188
2000-05-15,27.959760665893555
2000-05-16,28.686620712280273
2000-05-17,29.413476943969727
2000-05-18,28.58970069885254
2000-05-19,26.748327255249023
2000-05-22,25.8276424407959
2000-05-23,24.858497619628906
2000-05-24,24.66468048095703
2000-05-25,25.48844337463379
2000-05-26,26.263761520385742
2000-05-30,28.492786407470703
2000-05-31,28.298959732055664
2000-06-01,31.49712562561035
2000-06-02,34.40455627441406
2000-06-05,32.56318283081055
2000-06-06,32.36935806274414
2000-06-07,33.144683837890625
2000-06-08,34.50148010253906
2000-06-09,34.88912582397461
2000-06-12,34.646846771240234
2000-06-13,33.91998291015625
2000-06-14,35.27678680419922
2000-06-15,36.43974685668945
2000-06-16,34.646846771240234
2000-06-19,36.05208969116211
2000-06-20,36.10055923461914
2000-06-21,35.858272552490234
2000-06-22,35.03450012207031
2000-06-23,34.01690673828125
2000-06-26,34.88912582397461
2000-06-27,36.24592208862305
2000-06-28,37.21506118774414
2000-06-29,35.858272552490234
2000-06-30,38.51128387451172
2000-07-03,38.76569747924805
