Date,CB
2000-01-03,9.655426025390625
2000-01-04,9.581438064575195
2000-01-05,9.026534080505371
2000-01-06,9.507448196411133
2000-01-07,10.728256225585938
2000-01-10,11.061198234558105
2000-01-11,10.543282508850098
2000-01-12,10.913220405578613
2000-01-13,11.690095901489258
2000-01-14,12.171018600463867
2000-01-18,11.357149124145508
2000-01-19,11.690095901489258
2000-01-20,11.690095901489258
2000-01-21,11.875064849853516
2000-01-24,11.875064849853516
2000-01-25,11.579111099243164
2000-01-26,11.209177017211914
2000-01-27,10.913220405578613
2000-01-28,10.654263496398926
2000-01-31,10.469294548034668
2000-02-01,10.654263496398926
2000-02-02,10.284324645996094
2000-02-03,10.062359809875488
2000-02-04,9.988374710083008
2000-02-07,9.914386749267578
2000-02-08,9.729413986206055
2000-02-09,9.433465003967285
2000-02-10,9.13751220703125
2000-02-11,8.841556549072266
2000-02-14,8.841556549072266
2000-02-15,8.989537239074707
2000-02-16,10.728256225585938
2000-02-17,11.24616813659668
2000-02-18,10.80224323272705
2000-02-22,10.321319580078125
2000-02-23,10.062359809875488
2000-02-24,10.136353492736816
2000-02-25,9.914386749267578
2000-02-28,10.062359809875488
2000-02-29,10.580273628234863
2000-03-01,10.025369644165039
2000-03-02,9.766411781311035
2000-03-03,9.766411781311035
2000-03-06,9.285490036010742
2000-03-07,8.693582534790039
2000-03-08,8.73058032989502
2000-03-09,9.026534080505371
2000-03-10,8.952545166015625
2000-03-13,8.841556549072266
2000-03-14,8.841556549072266
2000-03-15,9.13751220703125
2000-03-16,10.43230152130127
2000-03-17,10.099353790283203
2000-03-20,9.80340576171875
2000-03-21,10.76524829864502
2000-03-22,10.506287574768066
2000-03-23,11.061198234558105
2000-03-24,11.24616813659668
2000-03-27,10.950213432312012
2000-03-28,11.24616813659668
2000-03-29,11.311660766601562
2000-03-30,12.465154647827148
2000-03-31,13.618645668029785
2000-04-03,13.3953857421875
2000-04-04,12.98608112335205
2000-04-05,12.98608112335205
2000-04-06,12.539567947387695
2000-04-07,12.651192665100098
2000-04-10,12.8744478225708
2000-04-11,12.502363204956055
2000-04-12,12.83724308013916
2000-04-13,13.097708702087402
2000-04-14,12.539567947387695
2000-04-17,12.279108047485352
2000-04-18,12.390728950500488
2000-04-19,12.204682350158691
2000-04-20,12.353519439697266
2000-04-24,13.730269432067871
