Date,PFG
2001-10-23,10.884676933288574
2001-10-24,11.480742454528809
2001-10-25,11.377080917358398
2001-10-26,11.143834114074707
2001-10-29,10.9883451461792
2001-10-30,11.423727989196777
2001-10-31,11.662154197692871
2001-11-01,11.377080917358398
2001-11-02,11.49629020690918
2001-11-05,11.402993202209473
2001-11-06,11.71398639678955
2001-11-07,11.32524585723877
2001-11-08,11.30969524383545
2001-11-09,11.195667266845703
2001-11-12,11.39262866973877
2001-11-13,11.32524585723877
2001-11-14,11.273415565490723
2001-11-15,11.36670970916748
2001-11-16,11.532572746276855
2001-11-19,11.5740385055542
2001-11-20,11.7761812210083
2001-11-21,11.853934288024902
2001-11-23,11.599955558776855
2001-11-26,11.5740385055542
2001-11-27,11.610321998596191
2001-11-28,11.817647933959961
2001-11-29,11.859119415283203
2001-11-30,11.895397186279297
2001-12-03,11.895397186279297
2001-12-04,11.895397186279297
2001-12-05,12.024977684020996
2001-12-06,12.154552459716797
2001-12-07,12.154552459716797
2001-12-10,12.102723121643066
2001-12-11,12.175285339355469
2001-12-12,12.258217811584473
2001-12-13,12.170103073120117
2001-12-14,12.481101036071777
2001-12-17,12.278951644897461
2001-12-18,12.278951644897461
2001-12-19,12.185656547546387
2001-12-20,12.221939086914062
2001-12-21,12.113093376159668
2001-12-24,12.128642082214355
2001-12-26,12.076807022094727
2001-12-27,12.20638656616211
2001-12-28,12.190838813781738
2001-12-31,12.439629554748535
2002-01-02,12.351519584655762
2002-01-03,12.310051918029785
2002-01-04,12.413710594177246
2002-01-07,12.36187744140625
2002-01-08,12.481101036071777
2002-01-09,12.387800216674805
2002-01-10,12.543294906616211
2002-01-11,12.439629554748535
2002-01-14,12.429267883300781
2002-01-15,12.335967063903809
2002-01-16,12.284133911132812
2002-01-17,12.532930374145508
2002-01-18,12.543294906616211
2002-01-22,12.688419342041016
2002-01-23,12.335967063903809
2002-01-24,12.517377853393555
2002-01-25,13.289671897888184
2002-01-28,13.476263046264648
2002-01-29,13.46071720123291
2002-01-30,13.217106819152832
2002-01-31,13.191192626953125
2002-02-01,12.64695930480957
2002-02-04,12.310051918029785
2002-02-05,12.050894737243652
2002-02-06,12.398167610168457
2002-02-07,12.439629554748535
2002-02-08,12.849100112915039
2002-02-11,12.626228332519531
2002-02-12,12.85428237915039
2002-02-13,12.828364372253418
2002-02-14,12.626228332519531
2002-02-15,12.465545654296875
2002-02-19,12.221939086914062
2002-02-20,12.20638656616211
2002-02-21,12.024977684020996
2002-02-22,11.662154197692871
2002-02-25,12.019795417785645
2002-02-26,12.284133911132812
2002-02-27,12.667692184448242
2002-02-28,12.626228332519531
2002-03-01,12.85428237915039
2002-03-04,13.097895622253418
2002-03-05,12.983863830566406
2002-03-06,12.957944869995117
2002-03-07,13.061614036560059
2002-03-08,12.983863830566406
2002-03-11,12.932034492492676
2002-03-12,12.957944869995117
2002-03-13,12.968314170837402
2002-03-14,13.175640106201172
2002-03-15,13.217106819152832
2002-03-18,13.217106819152832
2002-03-19,13.227474212646484
2002-03-20,13.372607231140137
2002-03-21,13.362239837646484
2002-03-22,13.372607231140137
2002-03-25,13.191192626953125
2002-03-26,13.217106819152832
2002-03-27,13.305220603942871
2002-03-28,13.11344051361084
2002-04-01,13.128998756408691
2002-04-02,13.227474212646484
2002-04-03,13.191192626953125
2002-04-04,13.528097152709961
2002-04-05,14.004947662353516
2002-04-08,14.222646713256836
2002-04-09,14.315943717956543
2002-04-10,14.398871421813965
2002-04-11,13.994584083557129
2002-04-12,14.150080680847168
2002-04-15,13.839083671569824
