Date,AFL
2000-01-03,6.599091053009033
2000-01-04,6.423973083496094
2000-01-05,6.387107849121094
2000-01-06,6.516139507293701
2000-01-07,6.645172595977783
2000-01-10,6.248860836029053
2000-01-11,6.119826793670654
2000-01-12,6.018444538116455
2000-01-13,6.156692981719971
2000-01-14,6.3318095207214355
2000-01-18,5.898626804351807
2000-01-19,5.548398017883301
2000-01-20,6.0000081062316895
2000-01-21,5.71429443359375
2000-01-24,5.649778842926025
2000-01-25,5.889411926269531
2000-01-26,6.184341907501221
2000-01-27,6.073744297027588
2000-01-28,6.193558216094971
2000-01-31,6.405540466308594
2000-02-01,6.534575462341309
2000-02-02,6.543791770935059
2000-02-03,6.626737117767334
2000-02-04,6.4792704582214355
2000-02-07,6.304159164428711
2000-02-08,6.184341907501221
2000-02-09,6.092181205749512
2000-02-10,6.0829596519470215
2000-02-11,5.880194187164307
2000-02-14,5.760377883911133
2000-02-15,5.771459102630615
2000-02-16,5.725286960601807
2000-02-17,5.586771488189697
2000-02-18,5.568304538726807
2000-02-22,5.503664970397949
2000-02-23,5.411319732666016
2000-02-24,5.26356840133667
2000-02-25,5.1804609298706055
2000-02-28,5.45749044418335
2000-02-29,5.4020843505859375
2000-03-01,5.45749044418335
2000-03-02,5.35591459274292
2000-03-03,5.411319732666016
2000-03-06,5.3466796875
2000-03-07,5.143526554107666
2000-03-08,5.15275764465332
2000-03-09,5.208164215087891
2000-03-10,5.189695835113525
2000-03-13,5.078887462615967
2000-03-14,5.291273593902588
2000-03-15,6.071576118469238
2000-03-16,6.500970840454102
2000-03-17,6.177769660949707
2000-03-20,6.10390043258667
2000-03-21,6.408628463745117
2000-03-22,6.519440650939941
2000-03-23,6.639484882354736
2000-03-24,6.787238121032715
2000-03-27,6.482503890991211
2000-03-28,6.454798698425293
2000-03-29,6.611785411834717
2000-03-30,6.574844837188721
2000-03-31,6.7318291664123535
2000-04-03,6.944220542907715
2000-04-04,6.879579544067383
2000-04-05,6.787238121032715
2000-04-06,6.833407878875732
2000-04-07,6.722599506378174
2000-04-10,6.80570650100708
2000-04-11,6.953454494476318
2000-04-12,6.96268892288208
2000-04-13,6.944220542907715
2000-04-14,6.80570650100708
2000-04-17,6.741063117980957
2000-04-18,6.7318291664123535
2000-04-19,6.59331750869751
2000-04-20,7.0273237228393555
2000-04-24,7.156609535217285
2000-04-25,7.2120137214660645
2000-04-26,7.415173530578613
2000-04-27,7.165843486785889
2000-04-28,7.2120137214660645
2000-05-01,7.1381425857543945
2000-05-02,7.073501110076904
2000-05-03,6.7687668800354
2000-05-04,6.7318291664123535
2000-05-05,6.722599506378174
2000-05-08,6.796470642089844
2000-05-09,6.907285690307617
2000-05-10,7.0273237228393555
2000-05-11,6.953454494476318
2000-05-12,7.055033206939697
2000-05-15,7.2120137214660645
2000-05-16,7.252344131469727
2000-05-17,7.141341686248779
2000-05-18,7.400355815887451
2000-05-19,7.187593936920166
2000-05-22,7.465108871459961
2000-05-23,7.548362731933594
2000-05-24,7.502106666564941
2000-05-25,7.4373602867126465
2000-05-26,7.529860019683838
2000-05-30,7.603865623474121
2000-05-31,7.650115966796875
2000-06-01,7.853628635406494
2000-06-02,7.816625118255615
2000-06-05,7.576114177703857
2000-06-06,7.659364223480225
2000-06-07,7.714871406555176
2000-06-08,7.6316142082214355
