Date,TRGP
2010-12-07,12.81101131439209
2010-12-08,13.303741455078125
2010-12-09,13.262250900268555
2010-12-10,13.298555374145508
2010-12-13,13.754980087280273
2010-12-14,13.765353202819824
2010-12-15,13.51639175415039
2010-12-16,13.905386924743652
2010-12-17,14.164726257324219
2010-12-20,14.278827667236328
2010-12-21,14.029871940612793
2010-12-22,13.94169807434082
2010-12-23,13.931328773498535
2010-12-27,13.749797821044922
2010-12-28,13.900208473205566
2010-12-29,14.081737518310547
2010-12-30,14.019503593444824
2010-12-31,13.905386924743652
2011-01-03,14.003939628601074
2011-01-04,14.086922645568848
2011-01-05,14.180289268493652
2011-01-06,14.517416954040527
2011-01-07,14.418872833251953
2011-01-10,14.211403846740723
2011-01-11,14.309952735900879
2011-01-12,14.704137802124023
2011-01-13,14.538167953491211
2011-01-14,14.683389663696289
2011-01-18,15.217619895935059
2011-01-19,14.973845481872559
2011-01-20,15.253918647766113
2011-01-21,15.253918647766113
2011-01-24,15.611796379089355
2011-01-25,15.658478736877441
2011-01-26,15.767395973205566
2011-01-27,15.76220703125
2011-01-28,15.860757827758789
2011-01-31,15.938556671142578
2011-02-01,15.92919921875
2011-02-02,15.674546241760254
2011-02-03,15.269166946411133
2011-02-04,15.601788520812988
2011-02-07,15.591390609741211
2011-02-08,16.215045928955078
2011-02-09,16.298202514648438
2011-02-10,16.1007080078125
2011-02-11,16.121498107910156
2011-02-14,16.33977699279785
2011-02-15,16.568450927734375
2011-02-16,16.745147705078125
2011-02-17,16.68278694152832
2011-02-18,16.807523727416992
2011-02-22,16.584041595458984
2011-02-23,16.59963607788086
2011-02-24,16.65160369873047
2011-02-25,16.942642211914062
2011-02-28,17.030994415283203
2011-03-01,16.942642211914062
2011-03-02,17.140132904052734
2011-03-03,17.010211944580078
2011-03-04,17.26486587524414
2011-03-07,17.644254684448242
2011-03-08,17.451961517333984
2011-03-09,17.238880157470703
2011-03-10,16.734764099121094
2011-03-11,16.812707901000977
2011-03-14,16.65679931640625
2011-03-15,16.59963607788086
2011-03-16,16.734764099121094
2011-03-17,17.33243179321289
2011-03-18,18.096410751342773
2011-03-21,18.444610595703125
2011-03-22,18.839597702026367
2011-03-23,18.169166564941406
2011-03-24,18.060022354125977
2011-03-25,18.371856689453125
2011-03-28,18.28350257873535
2011-03-29,18.377052307128906
2011-03-30,18.449810028076172
2011-03-31,18.834400177001953
2011-04-01,18.730459213256836
2011-04-04,17.607877731323242
2011-04-05,17.644254684448242
2011-04-06,17.55070686340332
2011-04-07,17.462356567382812
2011-04-08,17.405189514160156
2011-04-11,17.181713104248047
2011-04-12,17.03619384765625
2011-04-13,17.42597198486328
2011-04-14,17.290855407714844
2011-04-15,17.55070686340332
2011-04-18,17.535120010375977
2011-04-19,17.148967742919922
2011-04-20,18.338336944580078
2011-04-21,18.14971351623535
2011-04-25,18.097318649291992
2011-04-26,18.610788345336914
2011-04-27,18.851806640625
2011-04-28,18.73130226135254
2011-04-29,18.348814010620117
2011-05-02,17.992525100708008
2011-05-03,17.992525100708008
2011-05-04,17.683393478393555
2011-05-05,17.33758544921875
2011-05-06,17.793424606323242
2011-05-09,18.249258041381836
2011-05-10,18.050161361694336
2011-05-11,17.60479736328125
2011-05-12,17.374258041381836
2011-05-13,17.3690242767334
2011-05-16,17.028453826904297
2011-05-17,16.771717071533203
2011-05-18,16.803157806396484
2011-05-19,16.939390182495117
2011-05-20,16.78744125366211
2011-05-23,16.860790252685547
2011-05-24,17.007495880126953
2011-05-25,17.39521598815918
2011-05-26,17.505250930786133
2011-05-27,18.023962020874023
2011-05-31,18.296417236328125
2011-06-01,17.913928985595703
2011-06-02,17.39521598815918
2011-06-03,17.39521598815918
2011-06-06,17.075607299804688
2011-06-07,16.960330963134766
2011-06-08,17.117523193359375
2011-06-09,17.599563598632812
2011-06-10,17.47381591796875
2011-06-13,16.88698387145996
2011-06-14,16.918420791625977
2011-06-15,16.399703979492188
2011-06-16,16.064382553100586
2011-06-17,16.01722526550293
2011-06-20,16.090579986572266
2011-06-21,16.268718719482422
2011-06-22,16.163930892944336
2011-06-23,16.420665740966797
2011-06-24,16.4992618560791
2011-06-27,16.546419143676758
2011-06-28,17.133243560791016
2011-06-29,17.46857261657715
2011-06-30,17.531444549560547
2011-07-01,17.30614471435547
2011-07-05,17.26422882080078
2011-07-06,17.243274688720703
2011-07-07,17.704355239868164
2011-07-08,17.934900283813477
2011-07-11,17.541927337646484
2011-07-12,17.416175842285156
