Date,APH
2000-01-03,0.9111322164535522
2000-01-04,0.8798009753227234
2000-01-05,0.8603259921073914
2000-01-06,0.8366161584854126
2000-01-07,0.8450832962989807
2000-01-10,0.8848826289176941
2000-01-11,0.9060519933700562
2000-01-12,1.0313749313354492
2000-01-13,1.0178258419036865
2000-01-14,1.0389952659606934
2000-01-18,1.0669394731521606
2000-01-19,1.0567781925201416
2000-01-20,1.0508506298065186
2000-01-21,1.0102050304412842
2000-01-24,1.002584457397461
2000-01-25,0.974639892578125
2000-01-26,0.9890357851982117
2000-01-27,0.974639892578125
2000-01-28,0.9289146661758423
2000-01-31,0.9196004867553711
2000-02-01,0.9136726260185242
2000-02-02,0.9331487417221069
2000-02-03,0.9373826384544373
2000-02-04,0.9509309530258179
2000-02-07,0.9356892704963684
2000-02-08,0.945003867149353
2000-02-09,0.9170597195625305
2000-02-10,0.9035111665725708
2000-02-11,0.8975836038589478
2000-02-14,1.1101245880126953
2000-02-15,1.0178258419036865
2000-02-16,1.0567781925201416
2000-02-17,1.0271408557891846
2000-02-18,0.9848016500473022
2000-02-22,0.9661731123924255
2000-02-23,0.982262134552002
2000-02-24,1.001737117767334
2000-02-25,1.001737117767334
2000-02-28,1.0161328315734863
2000-02-29,1.0830278396606445
2000-03-01,1.1583918333053589
2000-03-02,1.1143592596054077
2000-03-03,1.1118186712265015
2000-03-06,1.1177464723587036
2000-03-07,1.0643987655639648
2000-03-08,1.0313749313354492
2000-03-09,1.0415358543395996
2000-03-10,1.1668590307235718
2000-03-13,1.1279067993164062
2000-03-14,1.0940362215042114
2000-03-15,1.1668590307235718
2000-03-16,1.1973422765731812
2000-03-17,1.2862547636032104
2000-03-20,1.260851502418518
2000-03-21,1.2566179037094116
2000-03-22,1.2710124254226685
2000-03-23,1.3294399976730347
2000-03-24,1.3074243068695068
2000-03-27,1.3997232913970947
2000-03-28,1.3531500101089478
2000-03-29,1.3057301044464111
2000-03-30,1.3057301044464111
2000-03-31,1.385327696800232
2000-04-03,1.3641576766967773
2000-04-04,1.368391990661621
2000-04-05,1.4090375900268555
2000-04-06,1.4971027374267578
2000-04-07,1.6071834564208984
2000-04-10,1.590247392654419
2000-04-11,1.58855402469635
2000-04-12,1.5614566802978516
2000-04-13,1.5360536575317383
2000-04-14,1.2549240589141846
2000-04-17,1.3141980171203613
2000-04-18,1.520811676979065
2000-04-19,1.5623040199279785
2000-04-20,1.5309733152389526
2000-04-24,1.4920214414596558
2000-04-25,1.6258119344711304
2000-04-26,1.576698660850525
2000-04-27,1.6258119344711304
2000-04-28,1.727426528930664
2000-05-01,1.6207319498062134
2000-05-02,1.5987157821655273
2000-05-03,1.3988760709762573
2000-05-04,1.4835538864135742
2000-05-05,1.5970219373703003
2000-05-08,1.6190385818481445
2000-05-09,1.456457495689392
2000-05-10,1.2904882431030273
2000-05-11,1.3700851202011108
2000-05-12,1.4005687236785889
2000-05-15,1.3599238395690918
2000-05-16,1.3311337232589722
2000-05-17,1.3294399976730347
2000-05-18,1.3988760709762573
2000-05-19,1.339601755142212
2000-05-22,1.280327558517456
2000-05-23,1.2600040435791016
2000-05-24,1.2193586826324463
2000-05-25,1.2058104276657104
2000-05-26,1.2142785787582397
2000-05-30,1.3006500005722046
2000-05-31,1.2396825551986694
2000-06-01,1.3328267335891724
2000-06-02,1.3836338520050049
2000-06-05,1.3311337232589722
2000-06-06,1.3429889678955078
2000-06-07,1.358230710029602
2000-06-08,1.356536865234375
2000-06-09,1.3988760709762573
2000-06-12,1.3497629165649414
2000-06-13,1.3463754653930664
2000-06-14,1.3277466297149658
2000-06-15,1.534360408782959
2000-06-16,1.5563760995864868
2000-06-19,1.590247392654419
2000-06-20,1.58855402469635
2000-06-21,1.6969410181045532
2000-06-22,1.6935548782348633
2000-06-23,1.6800061464309692
2000-06-26,1.6664576530456543
2000-06-27,1.6021020412445068
2000-06-28,1.7104895114898682
2000-06-29,1.6495225429534912
2000-06-30,1.7909338474273682
2000-07-03,1.8358134031295776
2000-07-05,1.7968615293502808
2000-07-06,1.778232455253601
2000-07-07,1.8561360836029053
2000-07-10,1.8527486324310303
2000-07-11,1.8459742069244385
2000-07-12,1.8967808485031128
2000-07-13,1.8493620157241821
2000-07-14,1.8392009735107422
2000-07-17,1.8578293323516846
2000-07-18,1.774845004081726
2000-07-19,1.8307324647903442
2000-07-20,1.7883933782577515
2000-07-21,1.7409746646881104
2000-07-24,1.754522442817688
2000-07-25,1.725731611251831
2000-07-26,1.6800061464309692
2000-07-27,1.5055698156356812
2000-07-28,1.522505283355713
2000-07-31,1.4208920001983643
2000-08-01,1.4462958574295044
2000-08-02,1.4479892253875732
2000-08-03,1.388715386390686
2000-08-04,1.4598439931869507
2000-08-07,1.5275863409042358
2000-08-08,1.54282808303833
2000-08-09,1.5563760995864868
2000-08-10,1.5580703020095825
2000-08-11,1.5191184282302856
2000-08-14,1.5445215702056885
2000-08-15,1.5970219373703003
2000-08-16,1.641054391860962
2000-08-17,1.6715377569198608
2000-08-18,1.6833925247192383
2000-08-21,1.7223453521728516
2000-08-22,1.6800061464309692
2000-08-23,1.6800061464309692
2000-08-24,1.6833925247192383
2000-08-25,1.6715377569198608
2000-08-28,1.6562962532043457
2000-08-29,1.6901673078536987
2000-08-30,1.774845004081726
2000-08-31,1.7341992855072021
2000-09-01,1.803634762763977
2000-09-05,1.8002488613128662
2000-09-06,1.7629902362823486
2000-09-07,1.7612963914871216
2000-09-08,1.7121831178665161
2000-09-11,1.7612963914871216
2000-09-12,1.7223453521728516
2000-09-13,1.6732323169708252
2000-09-14,1.6800061464309692
2000-09-15,1.627505898475647
2000-09-18,1.5665382146835327
2000-09-19,1.595328450202942
2000-09-20,1.563150405883789
2000-09-21,1.551296353340149
2000-09-22,1.5072633028030396
2000-09-25,1.4886348247528076
2000-09-26,1.4801667928695679
2000-09-27,1.4496822357177734
2000-09-28,1.495408535003662
2000-09-29,1.54282808303833
2000-10-02,1.5360536575317383
2000-10-03,1.5072633028030396
2000-10-04,1.551296353340149
2000-10-05,1.5377477407455444
2000-10-06,1.5174250602722168
2000-10-09,1.5089566707611084
2000-10-10,1.4378271102905273
2000-10-11,1.5174250602722168
2000-10-12,1.412424087524414
2000-10-13,1.576698660850525
2000-10-16,1.595328450202942
2000-10-17,1.585167407989502
2000-10-18,1.5496017932891846
2000-10-19,1.7646832466125488
2000-10-20,1.7629902362823486
2000-10-23,1.832425594329834
2000-10-24,1.7951680421829224
2000-10-25,1.6935548782348633
2000-10-26,1.7138769626617432
2000-10-27,1.7020231485366821
2000-10-30,1.7206511497497559
2000-10-31,1.7409746646881104
2000-11-01,1.7494410276412964
2000-11-02,1.7596031427383423
2000-11-03,1.7612963914871216
2000-11-06,1.7375868558883667
2000-11-07,1.7223453521728516
2000-11-08,1.7375868558883667
2000-11-09,1.6901673078536987
2000-11-10,1.635973572731018
2000-11-13,1.6207319498062134
2000-11-14,1.6800061464309692
2000-11-15,1.7511353492736816
2000-11-16,1.7155704498291016
2000-11-17,1.7121831178665161
2000-11-20,1.5970219373703003
2000-11-21,1.627505898475647
2000-11-22,1.6122643947601318
2000-11-24,1.4259722232818604
2000-11-27,1.6325868368148804
2000-11-28,1.522505283355713
2000-11-29,1.551296353340149
2000-11-30,1.4462958574295044
2000-12-01,1.475085973739624
2000-12-04,1.4276660680770874
2000-12-05,1.4632306098937988
2000-12-06,1.464924693107605
2000-12-07,1.4818599224090576
2000-12-08,1.5394412279129028
2000-12-11,1.5987157821655273
2000-12-12,1.5241994857788086
2000-12-13,1.4852473735809326
2000-12-14,1.4361345767974854
2000-12-15,1.2024234533309937
2000-12-18,1.1617789268493652
2000-12-19,1.0771011114120483
2000-12-20,0.9196004867553711
2000-12-21,0.9060519933700562
2000-12-22,0.9297615885734558
2000-12-26,0.921293318271637
2000-12-27,0.9280683994293213
2000-12-28,0.9636327028274536
2000-12-29,1.0618585348129272
2001-01-02,1.038149356842041
2001-01-03,1.065245270729065
2001-01-04,1.1109718084335327
2001-01-05,1.0178258419036865
2001-01-08,1.0601649284362793
2001-01-09,1.0466159582138062
2001-01-10,1.1143592596054077
2001-01-11,1.190568447113037
2001-01-12,1.227827548980713
2001-01-16,1.2600040435791016
2001-01-17,1.2921819686889648
2001-01-18,1.3175853490829468
2001-01-19,1.351456642150879
2001-01-22,1.3057301044464111
2001-01-23,1.2735528945922852
2001-01-24,1.3023432493209839
2001-01-25,1.2786332368850708
2001-01-26,1.2735528945922852
2001-01-29,1.280327558517456
2001-01-30,1.3150113821029663
2001-01-31,1.311488389968872
2001-02-01,1.3291015625
2001-02-02,1.262714147567749
2001-02-05,1.1987650394439697
2001-02-06,1.236972451210022
2001-02-07,1.1876565217971802
2001-02-08,1.1353594064712524
2001-02-09,1.098507046699524
2001-02-12,1.0933589935302734
2001-02-13,1.1001331806182861
2001-02-14,1.0825200080871582
2001-02-15,1.1719402074813843
2001-02-16,1.113411545753479
2001-02-20,1.0570495128631592
2001-02-21,1.045939326286316
2001-02-22,1.0491905212402344
2001-02-23,1.0323909521102905
2001-02-26,1.1218109130859375
2001-02-27,1.005293607711792
2001-02-28,0.9673587083816528
2001-03-01,0.96193927526474
2001-03-02,0.992016613483429
2001-03-05,0.993100643157959
2001-03-06,1.0494625568389893
2001-03-07,1.0621973276138306
2001-03-08,1.055694341659546
2001-03-09,1.0039393901824951
2001-03-12,0.9280683994293213
2001-03-13,0.9291521310806274
