Date,FRT
2000-01-03,6.2467827796936035
2000-01-04,6.226029872894287
2000-01-05,6.205275058746338
2000-01-06,6.392053127288818
2000-01-07,6.724112510681152
2000-01-10,6.765620708465576
2000-01-11,6.516577243804932
2000-01-12,6.641101837158203
2000-01-13,6.620344161987305
2000-01-14,6.55808687210083
2000-01-18,6.641101837158203
2000-01-19,6.682607650756836
2000-01-20,6.703359127044678
2000-01-21,6.703359127044678
2000-01-24,6.641101837158203
2000-01-25,6.641101837158203
2000-01-26,6.641101837158203
2000-01-27,6.661850929260254
2000-01-28,6.661850929260254
2000-01-31,6.620344161987305
2000-02-01,6.661850929260254
2000-02-02,6.5373311042785645
2000-02-03,6.55808687210083
2000-02-04,6.45431661605835
2000-02-07,6.371306896209717
2000-02-08,6.350550174713135
2000-02-09,6.350550174713135
2000-02-10,6.412808418273926
2000-02-11,6.226029872894287
2000-02-14,5.97698974609375
2000-02-15,5.97698974609375
2000-02-16,5.935482501983643
2000-02-17,5.997744083404541
2000-02-18,6.039249897003174
2000-02-22,6.1430158615112305
2000-02-23,6.1845245361328125
2000-02-24,6.060001850128174
2000-02-25,6.101509094238281
2000-02-28,6.1845245361328125
2000-02-29,6.392053127288818
2000-03-01,6.350550174713135
2000-03-02,6.309041500091553
2000-03-03,6.329798221588135
2000-03-06,6.371306896209717
2000-03-07,6.226029872894287
2000-03-08,6.309041500091553
2000-03-09,6.267536163330078
2000-03-10,6.226029872894287
2000-03-13,6.226029872894287
2000-03-14,6.267536163330078
2000-03-15,6.226029872894287
2000-03-16,6.309041500091553
2000-03-17,6.371306896209717
2000-03-20,6.412808418273926
2000-03-21,6.5373311042785645
2000-03-22,6.456621170043945
2000-03-23,6.3929057121276855
2000-03-24,6.307948112487793
2000-03-27,6.3929057121276855
2000-03-28,6.414144515991211
2000-03-29,6.456621170043945
2000-03-30,6.499100208282471
2000-03-31,6.5628156661987305
2000-04-03,6.499100208282471
2000-04-04,6.584057331085205
2000-04-05,6.711492538452148
2000-04-06,6.902641296386719
2000-04-07,7.13626766204834
2000-04-10,7.030076026916504
2000-04-11,7.008835315704346
2000-04-12,7.157506942749023
2000-04-13,7.157506942749023
2000-04-14,7.030076026916504
2000-04-17,6.987595081329346
2000-04-18,6.902641296386719
2000-04-19,6.881401538848877
2000-04-20,6.923878192901611
2000-04-24,6.902641296386719
2000-04-25,7.008835315704346
2000-04-26,7.13626766204834
2000-04-27,7.24246072769165
2000-04-28,7.2212233543396
2000-05-01,7.348659038543701
2000-05-02,7.47609281539917
2000-05-03,7.49732780456543
2000-05-04,7.49732780456543
2000-05-05,7.47609281539917
2000-05-08,7.412373065948486
2000-05-09,7.412373065948486
2000-05-10,7.306174278259277
2000-05-11,7.391140460968018
2000-05-12,7.412373065948486
2000-05-15,7.4548516273498535
2000-05-16,7.412373065948486
2000-05-17,7.327419757843018
2000-05-18,7.582286834716797
2000-05-19,7.47609281539917
