Date,BRO
2000-01-03,1.8023836612701416
2000-01-04,1.8023836612701416
2000-01-05,1.7964335680007935
2000-01-06,1.7964335680007935
2000-01-07,1.8202272653579712
2000-01-10,1.8499703407287598
2000-01-11,1.885660171508789
2000-01-12,1.885660171508789
2000-01-13,1.9064799547195435
2000-01-14,1.8975565433502197
2000-01-18,1.8916094303131104
2000-01-19,1.8737646341323853
2000-01-20,1.885660171508789
2000-01-21,1.7964335680007935
2000-01-24,1.7488456964492798
2000-01-25,1.7072080373764038
2000-01-26,1.689361333847046
2000-01-27,1.6655678749084473
2000-01-28,1.5941869020462036
2000-01-31,1.6328513622283936
2000-02-01,1.6477221250534058
2000-02-02,1.653670310974121
2000-02-03,1.7428982257843018
2000-02-04,1.7785890102386475
2000-02-07,1.8862723112106323
2000-02-08,1.8623969554901123
2000-02-09,1.8265820741653442
2000-02-10,1.7668887376785278
2000-02-11,1.7549502849578857
2000-02-14,1.7340582609176636
2000-02-15,1.6325815916061401
2000-02-16,1.617658257484436
2000-02-17,1.71316659450531
2000-02-18,1.6892890930175781
2000-02-22,1.6236271858215332
2000-02-23,1.5460280179977417
2000-02-24,1.5400586128234863
2000-02-25,1.4923045635223389
2000-02-28,1.543042778968811
2000-02-29,1.5758740901947021
2000-03-01,1.5758740901947021
2000-03-02,1.5549811124801636
2000-03-03,1.5728893280029297
2000-03-06,1.5251359939575195
2000-03-07,1.557966709136963
2000-03-08,1.5460280179977417
2000-03-09,1.5728893280029297
2000-03-10,1.5758740901947021
2000-03-13,1.5460280179977417
2000-03-14,1.5937821865081787
2000-03-15,1.6295970678329468
2000-03-16,1.7310733795166016
2000-03-17,1.7609204053878784
2000-03-20,1.7728590965270996
2000-03-21,1.7549502849578857
2000-03-22,1.7907648086547852
2000-03-23,1.814643144607544
2000-03-24,1.8623969554901123
2000-03-27,1.8653805255889893
2000-03-28,1.8683662414550781
2000-03-29,1.8594127893447876
2000-03-30,1.8743345737457275
2000-03-31,1.8474737405776978
2000-04-03,1.8623969554901123
2000-04-04,1.8623969554901123
2000-04-05,1.892243504524231
2000-04-06,1.8803043365478516
2000-04-07,1.8892563581466675
2000-04-10,1.916118860244751
2000-04-11,1.9220893383026123
2000-04-12,1.892243504524231
2000-04-13,1.8623969554901123
2000-04-14,1.8355344533920288
2000-04-17,1.8474737405776978
2000-04-18,1.8235952854156494
2000-04-19,1.8355344533920288
2000-04-20,1.8474737405776978
2000-04-24,1.844489574432373
2000-04-25,1.892243504524231
2000-04-26,1.957903265953064
2000-04-27,1.9489494562149048
2000-04-28,1.916118860244751
2000-05-01,1.9310431480407715
2000-05-02,1.939995527267456
2000-05-03,1.9282596111297607
2000-05-04,1.94023597240448
2000-05-05,1.931252121925354
2000-05-08,1.9282596111297607
2000-05-09,1.9342485666275024
2000-05-10,1.892328143119812
2000-05-11,1.9342485666275024
2000-05-12,1.9462251663208008
2000-05-15,2.0600032806396484
2000-05-16,2.065992593765259
2000-05-17,2.107910394668579
2000-05-18,2.1019227504730225
2000-05-19,2.098928213119507
2000-05-22,2.12587571144104
2000-05-23,2.1109046936035156
2000-05-24,2.1168925762176514
2000-05-25,2.12587571144104
2000-05-26,2.173783302307129
2000-05-30,2.2097127437591553
2000-05-31,2.2336668968200684
2000-06-01,2.263608694076538
2000-06-02,2.2456445693969727
2000-06-05,2.239655017852783
2000-06-06,2.239655017852783
2000-06-07,2.251631498336792
2000-06-08,2.254626512527466
2000-06-09,2.2845680713653564
2000-06-12,2.293550729751587
2000-06-13,2.2995383739471436
2000-06-14,2.371399164199829
2000-06-15,2.4013419151306152
2000-06-16,2.4013419151306152
2000-06-19,2.389364719390869
2000-06-20,2.371399164199829
2000-06-21,2.389364719390869
2000-06-22,2.368405342102051
2000-06-23,2.3654112815856934
2000-06-26,2.3923590183258057
2000-06-27,2.3863701820373535
2000-06-28,2.428288459777832
2000-06-29,2.500149726867676
2000-06-30,2.491166830062866
2000-07-03,2.497154712677002
2000-07-05,2.452242612838745
2000-07-06,2.422300100326538
2000-07-07,2.440264940261841
2000-07-10,2.4492480754852295
2000-07-11,2.4552361965179443
2000-07-12,2.4582302570343018
2000-07-13,2.434276819229126
2000-07-14,2.4432597160339355
2000-07-17,2.446253776550293
2000-07-18,2.470207452774048
2000-07-19,2.4492480754852295
2000-07-20,2.4492480754852295
2000-07-21,2.4252946376800537
2000-07-24,2.323493242263794
2000-07-25,2.3115150928497314
2000-07-26,2.389364719390869
2000-07-27,2.344452381134033
2000-07-28,2.2725908756256104
2000-07-31,2.2995383739471436
2000-08-01,2.383375406265259
2000-08-02,2.371399164199829
2000-08-03,2.371399164199829
2000-08-04,2.383375406265259
2000-08-07,2.4256441593170166
2000-08-08,2.4406542778015137
2000-08-09,2.5157060623168945
2000-08-10,2.5427238941192627
2000-08-11,2.5667405128479004
2000-08-14,2.59075665473938
2000-08-15,2.5097010135650635
2000-08-16,2.5397210121154785
2000-08-17,2.5397210121154785
2000-08-18,2.5187082290649414
2000-08-21,2.533717155456543
2000-08-22,2.5397210121154785
2000-08-23,2.557734489440918
2000-08-24,2.5697431564331055
2000-08-25,2.6417906284332275
2000-08-28,2.6357882022857666
2000-08-29,2.587754964828491
2000-08-30,2.593759059906006
2000-08-31,2.56373929977417
2000-09-01,2.5817513465881348
2000-09-05,2.6177754402160645
2000-09-06,2.593759059906006
2000-09-07,2.587754964828491
2000-09-08,2.623779058456421
2000-09-11,2.929986000061035
2000-09-12,2.929986000061035
2000-09-13,2.893961191177368
2000-09-14,2.869945764541626
2000-09-15,2.8339216709136963
2000-09-18,2.7798855304718018
2000-09-19,2.8099048137664795
2000-09-20,2.7978975772857666
2000-09-21,2.785889148712158
2000-09-22,2.8399248123168945
2000-09-25,2.845928907394409
2000-09-26,2.845928907394409
2000-09-27,2.929986000061035
2000-09-28,2.9780194759368896
2000-09-29,3.0560717582702637
2000-10-02,3.0080406665802
2000-10-03,2.9780194759368896
2000-10-04,3.0620763301849365
2000-10-05,3.1161131858825684
2000-10-06,3.1401278972625732
2000-10-09,3.2181830406188965
2000-10-10,3.308243751525879
2000-10-11,3.260211706161499
2000-10-12,3.2181830406188965
2000-10-13,3.2181830406188965
2000-10-16,3.2061731815338135
2000-10-17,3.0500688552856445
2000-10-18,3.0500688552856445
2000-10-19,3.0260508060455322
2000-10-20,3.020047664642334
2000-10-23,2.935990333557129
2000-10-24,2.9660110473632812
2000-10-25,2.9059715270996094
2000-10-26,2.9840242862701416
2000-10-27,2.9780194759368896
2000-10-30,3.086092710494995
2000-10-31,3.122116804122925
2000-11-01,3.158139705657959
2000-11-02,3.2241859436035156
2000-11-03,3.2542059421539307
2000-11-06,3.249392032623291
2000-11-07,3.177184581756592
2000-11-08,3.110992908477783
2000-11-09,3.0568368434906006
2000-11-10,2.9364888668060303
2000-11-13,2.9124186038970947
2000-11-14,2.9846267700195312
2000-11-15,3.0387847423553467
2000-11-16,3.0387847423553467
2000-11-17,3.110992908477783
2000-11-20,3.110992908477783
2000-11-21,3.074888229370117
2000-11-22,3.0327658653259277
2000-11-24,3.0568368434906006
2000-11-27,3.062854528427124
2000-11-28,2.9425055980682373
2000-11-29,3.0568368434906006
2000-11-30,3.0448009967803955
2000-12-01,3.062854528427124
2000-12-04,3.0869219303131104
2000-12-05,3.1290442943573
2000-12-06,3.153113842010498
2000-12-07,3.171168327331543
2000-12-08,3.171168327331543
2000-12-11,3.177184581756592
2000-12-12,3.171168327331543
2000-12-13,3.1651480197906494
2000-12-14,3.110992908477783
2000-12-15,3.0688703060150146
2000-12-18,3.1832010746002197
2000-12-19,3.207270860671997
2000-12-20,3.2313404083251953
2000-12-21,3.405844211578369
2000-12-22,3.411860942840576
2000-12-26,3.3637237548828125
2000-12-27,3.399827241897583
2000-12-28,3.411860942840576
2000-12-29,3.3697404861450195
2001-01-02,3.219305992126465
2001-01-03,3.3216018676757812
2001-01-04,3.261427640914917
2001-01-05,3.09294056892395
2001-01-08,3.2313404083251953
2001-01-09,3.2915141582489014
2001-01-10,3.3035495281219482
2001-01-11,3.327620267868042
2001-01-12,3.3095664978027344
2001-01-16,3.297532796859741
2001-01-17,3.345670223236084
2001-01-18,3.3697404861450195
2001-01-19,3.153113842010498
2001-01-22,3.177184581756592
2001-01-23,3.177184581756592
2001-01-24,3.0688703060150146
2001-01-25,3.207270860671997
2001-01-26,3.35770583152771
2001-01-29,3.3023455142974854
2001-01-30,3.2753865718841553
2001-01-31,3.3167874813079834
2001-02-01,3.3023455142974854
2001-02-02,3.277313232421875
2001-02-05,3.354024648666382
2001-02-06,3.43314528465271
2001-02-07,3.4418303966522217
2001-02-08,3.5277082920074463
2001-02-09,3.5749878883361816
2001-02-12,3.6377062797546387
2001-02-13,3.729372978210449
2001-02-14,3.690777063369751
2001-02-15,3.666656494140625
2001-02-16,3.690777063369751
2001-02-20,3.7631442546844482
2001-02-21,3.787266731262207
2001-02-22,3.685950994491577
2001-02-23,3.719724655151367
2001-02-26,3.7583210468292236
2001-02-27,3.7341983318328857
2001-02-28,3.7631442546844482
2001-03-01,3.7631442546844482
2001-03-02,3.7583210468292236
2001-03-05,3.7486696243286133
2001-03-06,3.7583210468292236
2001-03-07,3.782442569732666
2001-03-08,3.7708635330200195
2001-03-09,3.7583210468292236
2001-03-12,3.725515604019165
2001-03-13,3.7583210468292236
2001-03-14,3.602970838546753
2001-03-15,3.6135847568511963
2001-03-16,3.471742630004883
2001-03-19,3.3993754386901855
2001-03-20,3.3337621688842773
2001-03-21,3.288409471511841
2001-03-22,3.1649012565612793
2001-03-23,3.180340051651001
2001-03-26,3.1214802265167236
2001-03-27,2.9815680980682373
2001-03-28,3.102182388305664
2001-03-29,3.1263060569763184
2001-03-30,3.285515546798706
2001-04-02,3.338585376739502
2001-04-03,3.4833223819732666
2001-04-04,3.4756019115448
2001-04-05,3.560513734817505
2001-04-06,3.570164442062378
2001-04-09,3.4495487213134766
2001-04-10,3.4485838413238525
2001-04-11,3.4495487213134766
2001-04-12,3.6280572414398193
2001-04-16,3.7100751399993896
2001-04-17,3.7129697799682617
2001-04-18,3.6830568313598633
2001-04-19,3.7438480854034424
2001-04-20,3.7583210468292236
2001-04-23,3.8731448650360107
2001-04-24,3.8113889694213867
2001-04-25,4.000511646270752
2001-04-26,4.168406963348389
2001-04-27,4.153933048248291
2001-04-30,4.091212749481201
2001-05-01,4.169372081756592
2001-05-02,4.297445774078369
2001-05-03,4.127325534820557
2001-05-04,4.117659568786621
2001-05-07,4.092527389526367
2001-05-08,4.107992172241211
2001-05-09,4.098328590393066
2001-05-10,4.059664249420166
2001-05-11,3.943674087524414
2001-05-14,3.935940980911255
2001-05-15,3.9243414402008057
2001-05-16,4.074162006378174
2001-05-17,4.1321587562561035
2001-05-18,4.112826347351074
2001-05-21,4.142789363861084
2001-05-22,4.133123874664307
2001-05-23,3.9630064964294434
2001-05-24,3.9243414402008057
2001-05-25,3.9291744232177734
2001-05-29,3.9291744232177734
2001-05-30,3.934007406234741
2001-05-31,3.953340530395508
2001-06-01,3.851846218109131
2001-06-04,3.93884015083313
2001-06-05,4.001669406890869
2001-06-06,3.9291744232177734
2001-06-07,3.9630064964294434
2001-06-08,3.953340530395508
2001-06-11,3.9581737518310547
2001-06-12,3.961071252822876
2001-06-13,3.9668703079223633
2001-06-14,3.934007406234741
2001-06-15,3.9581737518310547
2001-06-18,3.9146764278411865
2001-06-19,3.943674087524414
2001-06-20,3.9630064964294434
2001-06-21,3.972672700881958
2001-06-22,3.9243414402008057
2001-06-25,3.9050097465515137
2001-06-26,3.957205057144165
2001-06-27,3.9775032997131348
2001-06-28,4.069331169128418
