Date,FTV
2016-07-05,29.42780303955078
2016-07-06,28.913114547729492
2016-07-07,28.907058715820312
2016-07-08,30.39661407470703
2016-07-11,30.953693389892578
2016-07-12,30.62065315246582
2016-07-13,30.650938034057617
2016-07-14,31.226167678833008
2016-07-15,31.020286560058594
2016-07-18,31.05662727355957
2016-07-19,31.214052200317383
2016-07-20,30.48138999938965
2016-07-21,30.420833587646484
2016-07-22,29.912212371826172
2016-07-25,29.657896041870117
2016-07-26,29.83955192565918
2016-07-27,29.621566772460938
2016-07-28,29.45807647705078
2016-07-29,29.191646575927734
2016-08-01,28.943395614624023
2016-08-02,28.761741638183594
2016-08-03,29.83955192565918
2016-08-04,30.29368019104004
2016-08-05,30.6267147064209
2016-08-08,30.3057918548584
2016-08-09,30.554048538208008
2016-08-10,30.547992706298828
2016-08-11,31.819570541381836
2016-08-12,31.91642951965332
2016-08-15,32.49168395996094
2016-08-16,32.42508316040039
2016-08-17,32.340309143066406
2016-08-18,32.18891906738281
2016-08-19,31.43808937072754
2016-08-22,31.03845977783203
2016-08-23,31.42599105834961
2016-08-24,31.147079467773438
2016-08-25,31.298648834228516
2016-08-26,31.450237274169922
2016-08-29,31.777647018432617
2016-08-30,31.8989200592041
2016-08-31,31.935304641723633
2016-09-01,31.911052703857422
2016-09-02,32.365787506103516
2016-09-06,31.9716854095459
2016-09-07,32.099021911621094
2016-09-08,31.729143142700195
2016-09-09,30.64988899230957
2016-09-12,31.050060272216797
2016-09-13,30.340656280517578
2016-09-14,30.328527450561523
2016-09-15,30.613506317138672
2016-09-16,30.474056243896484
2016-09-19,30.789335250854492
2016-09-20,30.467987060546875
2016-09-21,30.910606384277344
2016-09-22,31.310775756835938
2016-09-23,30.84996795654297
2016-09-26,31.05613136291504
2016-09-27,31.29258918762207
2016-09-28,31.359283447265625
2016-09-29,30.740835189819336
2016-09-30,30.86209487915039
2016-10-03,31.15919303894043
2016-10-04,30.80752944946289
2016-10-05,30.8863582611084
2016-10-06,30.740835189819336
2016-10-07,30.27396583557129
2016-10-10,30.286087036132812
2016-10-11,29.843469619750977
2016-10-12,29.704011917114258
2016-10-13,29.600934982299805
2016-10-14,29.98897933959961
2016-10-17,29.746456146240234
2016-10-18,29.764650344848633
2016-10-19,29.946535110473633
2016-10-20,29.528179168701172
2016-10-21,29.509986877441406
2016-10-24,29.437231063842773
2016-10-25,29.055246353149414
2016-10-26,28.96428680419922
2016-10-27,28.79452133178711
2016-10-28,30.443735122680664
2016-10-31,30.953052520751953
