Date,GS
2000-01-03,61.03824996948242
2000-01-04,57.19365310668945
2000-01-05,54.51539611816406
2000-01-06,56.848052978515625
2000-01-07,57.064056396484375
2000-01-10,58.31676483154297
2000-01-11,58.6191520690918
2000-01-12,58.31676483154297
2000-01-13,58.40319061279297
2000-01-14,59.18075180053711
2000-01-18,60.04471969604492
2000-01-19,60.51985168457031
2000-01-20,59.478233337402344
2000-01-21,59.30521774291992
2000-01-24,56.58003234863281
2000-01-25,58.05079650878906
2000-01-26,61.078773498535156
2000-01-27,61.59782791137695
2000-01-28,60.213600158691406
2000-01-31,63.414615631103516
2000-02-01,63.15509033203125
2000-02-02,63.06855392456055
2000-02-03,59.08894729614258
2000-02-04,58.613094329833984
2000-02-07,59.34848403930664
2000-02-08,61.900657653808594
2000-02-09,60.04056930541992
2000-02-10,59.954078674316406
2000-02-11,58.91590118408203
2000-02-14,59.8675537109375
2000-02-15,59.8675537109375
2000-02-16,57.4018669128418
2000-02-17,56.83954620361328
2000-02-18,55.9311637878418
2000-02-22,56.45024490356445
2000-02-23,59.34848403930664
2000-02-24,62.03042984008789
2000-02-25,61.770877838134766
2000-02-28,60.90573501586914
2000-02-29,64.02021026611328
2000-03-01,65.57747650146484
2000-03-02,66.61564636230469
2000-03-03,70.94135284423828
2000-03-06,71.7632064819336
2000-03-07,72.5850830078125
2000-03-08,70.42223358154297
2000-03-09,74.18557739257812
2000-03-10,77.68939971923828
2000-03-13,76.3917236328125
2000-03-14,72.49853515625
2000-03-15,71.67669677734375
2000-03-16,71.50366973876953
2000-03-17,80.63084411621094
2000-03-20,78.51132202148438
2000-03-21,81.84207153320312
2000-03-22,81.0850830078125
2000-03-23,82.36117553710938
2000-03-24,83.96167755126953
2000-03-27,77.51638793945312
2000-03-28,78.3814926147461
2000-03-29,79.03035736083984
2000-03-30,73.96928405761719
2000-03-31,72.84465026855469
2000-04-03,73.0176773071289
2000-04-04,67.9998779296875
2000-04-05,67.43755340576172
2000-04-06,73.36373901367188
2000-04-07,70.94135284423828
2000-04-10,74.09907531738281
2000-04-11,72.54183959960938
2000-04-12,66.83189392089844
2000-04-13,65.92353820800781
2000-04-14,57.27214050292969
2000-04-17,60.55965805053711
2000-04-18,64.88538360595703
2000-04-19,63.799076080322266
2000-04-20,61.54682922363281
2000-04-24,60.20418167114258
2000-04-25,67.26408386230469
2000-04-26,65.48823547363281
2000-04-27,65.96470642089844
2000-04-28,64.62202453613281
2000-05-01,67.22074127197266
2000-05-02,64.44876861572266
2000-05-03,63.14938735961914
2000-05-04,62.49972915649414
2000-05-05,62.283172607421875
2000-05-08,60.50736618041992
2000-05-09,59.33790588378906
2000-05-10,56.43596267700195
2000-05-11,56.046180725097656
2000-05-12,58.06019973754883
2000-05-15,60.33409118652344
2000-05-16,59.251312255859375
2000-05-17,58.68821334838867
2000-05-18,59.07802200317383
2000-05-19,58.60158920288086
2000-05-22,56.82577896118164
2000-05-23,57.38884735107422
2000-05-24,55.43979263305664
2000-05-25,50.588809967041016
2000-05-26,48.3798942565918
2000-05-30,49.89583206176758
2000-05-31,50.978641510009766
2000-06-01,52.92768096923828
2000-06-02,60.20418167114258
2000-06-05,58.55829620361328
2000-06-06,57.60543441772461
2000-06-07,60.07423782348633
2000-06-08,58.94814682006836
2000-06-09,57.692047119140625
2000-06-12,57.735382080078125
2000-06-13,58.99140930175781
2000-06-14,62.326473236083984
2000-06-15,62.54304885864258
2000-06-16,62.326473236083984
2000-06-19,63.49589157104492
2000-06-20,61.6767692565918
2000-06-21,60.03091812133789
2000-06-22,58.3850212097168
2000-06-23,59.5977783203125
2000-06-26,60.81056213378906
2000-06-27,61.20033264160156
2000-06-28,62.283172607421875
2000-06-29,64.18893432617188
2000-06-30,65.68315887451172
2000-07-03,65.79145812988281
2000-07-05,66.48448181152344
2000-07-06,64.57872772216797
2000-07-07,65.79145812988281
2000-07-10,67.69718933105469
2000-07-11,68.2602767944336
2000-07-12,70.64241790771484
2000-07-13,72.2449951171875
