Date,WY
2000-01-03,10.826264381408691
2000-01-04,10.419559478759766
2000-01-05,10.971517562866211
2000-01-06,11.484752655029297
2000-01-07,11.10708999633789
2000-01-10,11.058670043945312
2000-01-11,10.94247055053711
2000-01-12,10.681007385253906
2000-01-13,10.622905731201172
2000-01-14,10.72943115234375
2000-01-18,10.313037872314453
2000-01-19,9.838536262512207
2000-01-20,10.070941925048828
2000-01-21,9.89664077758789
2000-01-24,9.451190948486328
2000-01-25,9.015430450439453
2000-01-26,9.029082298278809
2000-01-27,8.902328491210938
2000-01-28,9.21434497833252
2000-01-31,8.951078414916992
2000-02-01,8.931575775146484
2000-02-02,8.814570426940918
2000-02-03,8.522051811218262
2000-02-04,8.580552101135254
2000-02-07,8.2100248336792
2000-02-08,8.375794410705566
2000-02-09,8.102774620056152
2000-02-10,8.112523078918457
2000-02-11,8.005266189575195
2000-02-14,8.132027626037598
2000-02-15,8.366042137145996
2000-02-16,8.346540451049805
2000-02-17,8.239276885986328
2000-02-18,7.605489730834961
2000-02-22,8.054023742675781
2000-02-23,7.800506591796875
2000-02-24,7.751752853393555
2000-02-25,7.693247318267822
2000-02-28,7.839504718780518
2000-02-29,8.005266189575195
2000-03-01,8.336787223815918
2000-03-02,8.200276374816895
2000-03-03,8.336787223815918
2000-03-06,8.180781364440918
2000-03-07,7.85900354385376
2000-03-08,8.132027626037598
2000-03-09,8.07352352142334
2000-03-10,8.492799758911133
2000-03-13,8.600055694580078
2000-03-14,8.141775131225586
2000-03-15,8.502541542053223
2000-03-16,9.21434497833252
2000-03-17,8.717062950134277
2000-03-20,8.853571891784668
2000-03-21,8.863325119018555
2000-03-22,8.444046974182129
2000-03-23,8.804817199707031
2000-03-24,8.600055694580078
2000-03-27,8.600055694580078
2000-03-28,8.609803199768066
2000-03-29,8.863325119018555
2000-03-30,9.233846664428711
2000-03-31,8.892576217651367
2000-04-03,9.116836547851562
2000-04-04,8.863325119018555
2000-04-05,8.853571891784668
2000-04-06,8.931575775146484
2000-04-07,9.097333908081055
2000-04-10,9.46785831451416
2000-04-11,9.575117111206055
2000-04-12,9.662877082824707
2000-04-13,9.155841827392578
2000-04-14,8.629303932189941
2000-04-17,8.580552101135254
2000-04-18,8.346540451049805
2000-04-19,8.385542869567871
2000-04-20,8.453795433044434
2000-04-24,8.609803199768066
2000-04-25,8.648811340332031
2000-04-26,8.726812362670898
2000-04-27,8.268538475036621
2000-04-28,8.327042579650879
2000-05-01,8.2100248336792
2000-05-02,8.405041694641113
2000-05-03,8.34020709991455
2000-05-04,8.350030899047852
2000-05-05,8.556325912475586
2000-05-08,8.5170316696167
2000-05-09,8.556325912475586
2000-05-10,8.595626831054688
2000-05-11,8.526856422424316
2000-05-12,8.575977325439453
2000-05-15,8.595626831054688
2000-05-16,8.575977325439453
2000-05-17,8.556325912475586
2000-05-18,8.389328956604004
2000-05-19,8.330389976501465
2000-05-22,8.153559684753418
2000-05-23,7.662379741668701
2000-05-24,7.93743896484375
2000-05-25,7.78026008605957
2000-05-26,7.701676845550537
2000-05-30,7.917791843414307
2000-05-31,7.799911975860596
2000-06-01,7.858852863311768
2000-06-02,7.858852863311768
2000-06-05,7.809736251831055
2000-06-06,7.723778247833252
2000-06-07,7.406968593597412
2000-06-08,7.406968593597412
2000-06-09,7.4364423751831055
2000-06-12,7.264525413513184
2000-06-13,7.12208366394043
2000-06-14,7.544497489929199
2000-06-15,7.416792869567871
2000-06-16,7.31855583190918
2000-06-19,7.269437313079834
2000-06-20,6.935435771942139
2000-06-21,6.9157891273498535
2000-06-22,6.905962944030762
2000-06-23,6.837202548980713
2000-06-26,6.788085460662842
2000-06-27,7.171202182769775
2000-06-28,7.099983215332031
2000-06-29,7.1024394035339355
2000-06-30,6.758609771728516
2000-07-03,7.033673286437988
2000-07-05,6.99437952041626
2000-07-06,6.856850624084473
2000-07-07,6.778258323669434
2000-07-10,6.925613880157471
2000-07-11,7.367673873901367
2000-07-12,7.239968299865723
2000-07-13,7.465908527374268
2000-07-14,7.308730602264404
2000-07-17,7.156466007232666
2000-07-18,7.210499286651611
2000-07-19,7.348028182983398
2000-07-20,7.4266157150268555
2000-07-21,7.544497489929199
2000-07-24,7.515028476715088
2000-07-25,7.367673873901367
2000-07-26,7.282464027404785
2000-07-27,7.421177864074707
2000-07-28,7.282464027404785
2000-07-31,7.242832183837891
2000-08-01,7.599524974822998
2000-08-02,7.569799900054932
2000-08-03,7.64906120300293
2000-08-04,7.460811138153076
2000-08-07,7.589613914489746
2000-08-08,7.916581630706787
2000-08-09,7.995846748352051
2000-08-10,7.728327751159668
2000-08-11,7.916581630706787
2000-08-14,7.708513259887695
2000-08-15,7.8274102210998535
2000-08-16,7.748147487640381
2000-08-17,7.857134819030762
2000-08-18,7.837320804595947
2000-08-21,7.63915491104126
2000-08-22,7.431085109710693
2000-08-23,7.213107109069824
2000-08-24,7.292374134063721
2000-08-25,7.292374134063721
2000-08-28,7.223015308380127
2000-08-29,7.123936176300049
2000-08-30,7.143752098083496
2000-08-31,7.34438943862915
2000-09-01,7.1932902336120605
2000-09-05,7.32209587097168
2000-09-06,7.391456127166748
2000-09-07,7.084305763244629
2000-09-08,7.005038738250732
2000-09-11,7.014946937561035
2000-09-12,6.896049499511719
2000-09-13,6.7474260330200195
2000-09-14,6.62853479385376
2000-09-15,6.44027853012085
2000-09-18,6.687978744506836
2000-09-19,6.5393524169921875
2000-09-20,6.291651725769043
2000-09-21,6.162846088409424
2000-09-22,6.261927127838135
2000-09-25,6.18266487121582
2000-09-26,6.123215198516846
2000-09-27,6.043948173522949
2000-09-28,6.252021312713623
2000-09-29,6.430368900299072
2000-10-02,6.004318714141846
2000-10-03,6.271834850311279
2000-10-04,6.430368900299072
2000-10-05,6.44027853012085
2000-10-06,6.291651725769043
2000-10-09,6.2123870849609375
2000-10-10,6.103402614593506
2000-10-11,6.271834850311279
2000-10-12,6.172756671905518
2000-10-13,5.974592208862305
2000-10-16,5.984502792358398
2000-10-17,5.816062927246094
2000-10-18,6.499726295471191
2000-10-19,6.46009635925293
2000-10-20,6.321380138397217
2000-10-23,6.291651725769043
2000-10-24,6.806874752044678
2000-10-25,6.717700958251953
2000-10-26,6.836599826812744
2000-10-27,6.816780090332031
2000-10-30,7.282464027404785
2000-10-31,7.440992832183838
2000-11-01,7.165180206298828
2000-11-02,7.18516731262207
2000-11-03,7.255119323730469
2000-11-06,7.105220317840576
2000-11-07,7.045261383056641
2000-11-08,7.015280723571777
2000-11-09,6.9053568840026855
2000-11-10,6.855386257171631
2000-11-13,6.66551399230957
2000-11-14,6.655520915985107
2000-11-15,6.815415382385254
2000-11-16,6.62554407119751
2000-11-17,6.66551399230957
2000-11-20,6.7554521560668945
2000-11-21,6.805420398712158
2000-11-22,6.795429229736328
2000-11-24,6.895362377166748
2000-11-27,6.885367393493652
2000-11-28,6.995293617248535
2000-11-29,7.155186653137207
2000-11-30,6.995293617248535
2000-12-01,7.2651143074035645
2000-12-04,7.664841175079346
2000-12-05,7.804746627807617
2000-12-06,7.734799385070801
2000-12-07,7.474970817565918
2000-12-08,7.355051517486572
2000-12-11,7.395027160644531
2000-12-12,7.315080642700195
2000-12-13,7.3850321769714355
2000-12-14,7.315080642700195
2000-12-15,7.2651143074035645
