Date,VLTO
2023-10-04,76.9504623413086
2023-10-05,73.63703155517578
2023-10-06,77.12849426269531
2023-10-09,73.79529571533203
2023-10-10,74.18103790283203
2023-10-11,73.65682220458984
2023-10-12,73.41943359375
2023-10-13,71.0654296875
2023-10-16,73.399658203125
2023-10-17,73.66670989990234
2023-10-18,71.65887451171875
2023-10-19,69.5224609375
2023-10-20,69.16638946533203
2023-10-23,71.11488342285156
2023-10-24,71.22367858886719
2023-10-25,70.01701354980469
2023-10-26,69.23563385009766
2023-10-27,67.2475814819336
2023-10-30,67.61354064941406
2023-10-31,68.24655151367188
2023-11-01,66.77281951904297
2023-11-02,69.51255798339844
2023-11-03,70.02690124511719
2023-11-06,67.51463317871094
2023-11-07,69.30486297607422
2023-11-08,69.03781127929688
2023-11-09,68.86966705322266
2023-11-10,69.77962493896484
2023-11-13,72.18309020996094
2023-11-14,72.82597351074219
2023-11-15,73.10294342041016
2023-11-16,70.10601806640625
2023-11-17,70.2148208618164
2023-11-20,69.98734283447266
2023-11-21,71.5204086303711
2023-11-22,72.1435317993164
2023-11-24,73.20183563232422
2023-11-27,72.6974105834961
2023-11-28,72.51937103271484
2023-11-29,73.40955352783203
2023-11-30,76.40645599365234
2023-12-01,75.67455291748047
2023-12-04,74.95250701904297
2023-12-05,74.72503662109375
2023-12-06,75.00196075439453
2023-12-07,73.8150634765625
2023-12-08,74.60633087158203
2023-12-11,75.98116302490234
2023-12-12,76.60427856445312
2023-12-13,76.89110565185547
2023-12-14,78.4637451171875
2023-12-15,77.98897552490234
2023-12-18,79.95726013183594
2023-12-19,82.52887725830078
2023-12-20,79.75943756103516
2023-12-21,80.23419952392578
2023-12-22,80.74852752685547
2023-12-26,81.2331771850586
2023-12-27,82.311279296875
2023-12-28,82.22215270996094
2023-12-29,81.44983673095703
2024-01-02,80.2220458984375
2024-01-03,77.28129577636719
2024-01-04,75.8554916381836
2024-01-05,76.14263153076172
2024-01-08,76.74662780761719
2024-01-09,75.98419952392578
2024-01-10,75.67726135253906
2024-01-11,75.3307113647461
2024-01-12,75.01386260986328
2024-01-16,73.81578063964844
2024-01-17,75.13267517089844
2024-01-18,75.26139831542969
2024-01-19,76.78621673583984
2024-01-22,78.9051513671875
2024-01-23,78.11302947998047
2024-01-24,75.50892639160156
2024-01-25,75.9446029663086
2024-01-26,76.23174285888672
2024-01-29,77.13278198242188
2024-01-30,77.55854797363281
2024-01-31,75.93470001220703
2024-02-01,76.03369903564453
2024-02-02,76.08321380615234
2024-02-05,75.02375793457031
2024-02-06,76.85553741455078
2024-02-07,80.36067199707031
2024-02-08,81.74688720703125
2024-02-09,81.32111358642578
2024-02-12,82.67761993408203
2024-02-13,81.38053894042969
2024-02-14,83.39053344726562
2024-02-15,85.73719787597656
2024-02-16,85.24211883544922
2024-02-20,84.9252700805664
