Date,EIX
2000-01-03,10.883118629455566
2000-01-04,10.991677284240723
2000-01-05,11.69731616973877
2000-01-06,11.670181274414062
2000-01-07,12.158695220947266
2000-01-10,12.158695220947266
2000-01-11,12.104415893554688
2000-01-12,12.131556510925293
2000-01-13,12.050137519836426
2000-01-14,11.941572189331055
2000-01-18,11.724454879760742
2000-01-19,11.833013534545898
2000-01-20,11.643038749694824
2000-01-21,11.914434432983398
2000-01-24,12.375816345214844
2000-01-25,12.538656234741211
2000-01-26,12.592935562133789
2000-01-27,12.592935562133789
2000-01-28,12.267253875732422
2000-01-31,12.647212982177734
2000-02-01,12.430103302001953
2000-02-02,12.4029541015625
2000-02-03,12.810056686401367
2000-02-04,12.321534156799316
2000-02-07,12.321534156799316
2000-02-08,12.104415893554688
2000-02-09,12.158695220947266
2000-02-10,11.941572189331055
2000-02-11,12.050137519836426
2000-02-14,12.131556510925293
2000-02-15,12.158695220947266
2000-02-16,12.321534156799316
2000-02-17,12.185834884643555
2000-02-18,11.833013534545898
2000-02-22,11.860154151916504
2000-02-23,11.588754653930664
2000-02-24,10.991677284240723
2000-02-25,11.181657791137695
2000-02-28,11.50733757019043
2000-02-29,11.398784637451172
2000-03-01,11.181657791137695
2000-03-02,11.1273775100708
2000-03-03,11.1273775100708
2000-03-06,7.789164066314697
2000-03-07,6.94782829284668
2000-03-08,7.056385040283203
2000-03-09,6.812130928039551
2000-03-10,6.649285793304443
2000-03-13,7.083528995513916
2000-03-14,6.757845878601074
2000-03-15,6.703567028045654
2000-03-16,7.219225883483887
2000-03-17,7.164945602416992
2000-03-20,7.1106672286987305
2000-03-21,6.8392653465271
2000-03-22,6.812130928039551
2000-03-23,7.002108573913574
2000-03-24,6.94782829284668
2000-03-27,7.056385040283203
2000-03-28,6.920685291290283
2000-03-29,7.164945602416992
2000-03-30,7.219225883483887
2000-03-31,7.192086696624756
2000-04-03,7.45379638671875
2000-04-04,7.398583889007568
2000-04-05,7.426191806793213
2000-04-06,7.536622047424316
2000-04-07,7.426191806793213
2000-04-10,7.481403350830078
2000-04-11,7.481403350830078
2000-04-12,7.564222812652588
