Date,HPQ
2000-01-03,11.629530906677246
2000-01-04,10.750662803649902
2000-01-05,10.682581901550293
2000-01-06,10.001768112182617
2000-01-07,10.286474227905273
2000-01-10,10.998233795166016
2000-01-11,10.750662803649902
2000-01-12,11.128203392028809
2000-01-13,11.165335655212402
2000-01-14,11.140582084655762
2000-01-18,11.245797157287598
2000-01-19,11.487180709838867
2000-01-20,11.499555587768555
2000-01-21,11.20246696472168
2000-01-24,11.190096855163574
2000-01-25,11.152960777282715
2000-01-26,10.7692289352417
2000-01-27,10.744475364685059
2000-01-28,10.7692289352417
2000-01-31,10.719712257385254
2000-02-01,10.4783353805542
2000-02-02,10.948719024658203
2000-02-03,11.239611625671387
2000-02-04,11.685235023498535
2000-02-07,12.725014686584473
2000-02-08,12.297962188720703
2000-02-09,12.279394149780273
2000-02-10,12.477452278137207
2000-02-11,12.019453048706055
2000-02-14,12.180366516113281
2000-02-15,12.35366439819336
2000-02-16,12.9725923538208
2000-02-17,12.675511360168457
2000-02-18,12.7745361328125
2000-02-22,12.675511360168457
2000-02-23,12.947832107543945
2000-02-24,12.82404613494873
2000-02-25,12.341286659240723
2000-02-28,12.762151718139648
2000-02-29,13.319178581237793
2000-03-01,13.232544898986816
2000-03-02,13.269669532775879
2000-03-03,13.72767448425293
2000-03-06,14.507511138916016
2000-03-07,14.160920143127441
2000-03-08,13.950480461120605
2000-03-09,15.039790153503418
2000-03-10,14.5508394241333
2000-03-13,14.507511138916016
2000-03-14,13.839076042175293
2000-03-15,13.071619033813477
2000-03-16,13.170642852783203
2000-03-17,13.764813423156738
2000-03-20,14.276374816894531
2000-03-21,14.065703392028809
2000-03-22,14.493252754211426
2000-03-23,14.598591804504395
2000-03-24,14.115276336669922
2000-03-27,14.493252754211426
2000-03-28,13.94797420501709
2000-03-29,13.384103775024414
2000-03-30,12.96275520324707
2000-03-31,13.142446517944336
2000-04-03,13.142446517944336
2000-04-04,13.693918228149414
2000-04-05,14.078095436096191
2000-04-06,14.685335159301758
2000-04-07,15.466073036193848
2000-04-10,14.598591804504395
2000-04-11,14.456076622009277
2000-04-12,13.384103775024414
2000-04-13,13.080486297607422
2000-04-14,12.194403648376465
2000-04-17,13.260177612304688
2000-04-18,13.786870002746582
2000-04-19,13.4646577835083
2000-04-20,13.830239295959473
2000-04-24,13.11766242980957
2000-04-25,13.811651229858398
2000-04-26,13.935585021972656
2000-04-27,13.669137954711914
2000-04-28,13.384103775024414
2000-05-01,13.780669212341309
2000-05-02,13.687729835510254
2000-05-03,13.136253356933594
2000-05-04,13.09907054901123
2000-05-05,13.557604789733887
2000-05-08,13.452265739440918
2000-05-09,13.167232513427734
2000-05-10,12.516619682312012
2000-05-11,12.975149154663086
2000-05-12,13.043309211730957
2000-05-15,13.284964561462402
2000-05-16,13.731097221374512
2000-05-17,12.89459228515625
2000-05-18,13.05570125579834
2000-05-19,12.510419845581055
2000-05-22,12.169620513916016
2000-05-23,11.965144157409668
2000-05-24,11.760661125183105
2000-05-25,11.525201797485352
2000-05-26,11.711091041564941
2000-05-30,12.343120574951172
2000-05-31,11.915575981140137
2000-06-01,13.309748649597168
2000-06-02,14.090486526489258
2000-06-05,15.280057907104492
2000-06-06,14.98636531829834
2000-06-07,15.565814971923828
2000-06-08,15.986515998840332
2000-06-09,16.256406784057617
2000-06-12,16.002391815185547
2000-06-13,15.113353729248047
2000-06-14,14.478354454040527
2000-06-15,14.859367370605469
2000-06-16,14.486289978027344
2000-06-19,14.983572006225586
2000-06-20,14.816643714904785
2000-06-21,15.198199272155762
2000-06-22,15.078973770141602
2000-06-23,14.896127700805664
2000-06-26,15.261778831481934
2000-06-27,14.832548141479492
2000-06-28,15.744669914245605
2000-06-29,15.229987144470215
2000-06-30,15.881793975830078
2000-07-03,15.802303314208984
2000-07-05,15.214085578918457
2000-07-06,15.055108070373535
2000-07-07,15.865897178649902
2000-07-10,15.730767250061035
2000-07-11,16.10435676574707
2000-07-12,16.326921463012695
2000-07-13,17.15360450744629
2000-07-14,17.018482208251953
2000-07-17,17.141679763793945
2000-07-18,16.660783767700195
2000-07-19,16.509748458862305
2000-07-20,16.533601760864258
2000-07-21,15.770506858825684
2000-07-24,15.110756874084473
2000-07-25,14.673569679260254
2000-07-26,13.98996353149414
2000-07-27,13.481245040893555
2000-07-28,13.64022159576416
2000-07-31,13.894590377807617
2000-08-01,13.719710350036621
2000-08-02,14.30792236328125
2000-08-03,14.244329452514648
2000-08-04,14.212532997131348
2000-08-07,14.665624618530273
2000-08-08,14.72921085357666
2000-08-09,14.466896057128906
2000-08-10,14.27612590789795
2000-08-11,13.98996353149414
2000-08-14,14.562280654907227
2000-08-15,14.117149353027344
2000-08-16,14.19662857055664
2000-08-17,13.846894264221191
2000-08-18,14.244329452514648
2000-08-21,14.117149353027344
2000-08-22,14.379462242126465
2000-08-23,14.625872611999512
2000-08-24,15.245879173278809
2000-08-25,15.102804183959961
2000-08-28,15.261778831481934
2000-08-29,15.25383186340332
2000-08-30,15.007418632507324
2000-08-31,15.34326171875
2000-09-01,15.89769458770752
2000-09-05,15.63537883758545
2000-09-06,15.261778831481934
2000-09-07,15.746657371520996
2000-09-08,15.388957023620605
2000-09-11,14.498692512512207
2000-09-12,14.117149353027344
2000-09-13,13.354058265686035
2000-09-14,13.767398834228516
2000-09-15,13.09969711303711
2000-09-18,13.120078086853027
2000-09-19,13.565900802612305
2000-09-20,13.04046630859375
2000-09-21,12.101043701171875
2000-09-22,13.271341323852539
2000-09-25,12.594639778137207
2000-09-26,12.499112129211426
2000-09-27,13.183759689331055
2000-09-28,13.223576545715332
2000-09-29,12.355799674987793
2000-10-02,11.94978141784668
2000-10-03,11.909978866577148
2000-10-04,12.180651664733887
2000-10-05,11.241230964660645
2000-10-06,11.105889320373535
2000-10-09,11.583560943603516
2000-10-10,11.392494201660156
2000-10-11,10.89890193939209
2000-10-12,10.66006088256836
2000-10-13,11.5437593460083
2000-10-16,11.806472778320312
2000-10-17,11.527832984924316
2000-10-18,10.89890193939209
2000-10-19,11.583560943603516
2000-10-20,12.228423118591309
2000-10-23,12.530945777893066
2000-10-24,11.782598495483398
2000-10-25,11.058122634887695
2000-10-26,10.954627990722656
2000-10-27,11.105889320373535
2000-10-30,11.671136856079102
2000-10-31,11.846283912658691
2000-11-01,11.320842742919922
2000-11-02,11.48006820678711
2000-11-03,11.782598495483398
2000-11-06,11.702980041503906
2000-11-07,12.085115432739258
2000-11-08,11.639293670654297
2000-11-09,10.938704490661621
2000-11-10,9.967430114746094
2000-11-13,8.693644523620605
2000-11-14,9.426078796386719
2000-11-15,8.996169090270996
2000-11-16,8.932477951049805
2000-11-17,9.075776100158691
2000-11-20,8.805103302001953
2000-11-21,8.645877838134766
2000-11-22,8.582188606262207
2000-11-24,9.059856414794922
2000-11-27,9.091703414916992
2000-11-28,8.83694076538086
2000-11-29,8.805103302001953
2000-11-30,8.056748390197754
2000-12-01,8.200047492980957
2000-12-04,8.4070405960083
2000-12-05,8.916557312011719
2000-12-06,8.15228271484375
2000-12-07,7.961215019226074
2000-12-08,8.518495559692383
2000-12-11,8.438882827758789
2000-12-12,8.980250358581543
2000-12-13,8.454806327819824
2000-12-14,8.534419059753418
2000-12-15,8.056748390197754
2000-12-18,7.9494757652282715
2000-12-19,7.9973649978637695
2000-12-20,7.773888111114502
2000-12-21,7.5025177001953125
2000-12-22,8.220845222473145
2000-12-26,8.109105110168457
2000-12-27,8.284692764282227
2000-12-28,8.284692764282227
2000-12-29,8.061213493347168
2001-01-02,7.725998878479004
2001-01-03,8.699727058410645
2001-01-04,8.843395233154297
2001-01-05,7.821774482727051
2001-01-08,8.013330459594727
2001-01-09,8.061213493347168
2001-01-10,8.109105110168457
2001-01-11,8.268733024597168
2001-01-12,7.837735176086426
2001-01-16,7.75792121887207
2001-01-17,8.077179908752441
2001-01-18,8.859356880187988
2001-01-19,9.130725860595703
2001-01-22,8.811468124389648
2001-01-23,8.763582229614258
2001-01-24,8.939172744750977
2001-01-25,8.795503616333008
2001-01-26,8.795503616333008
2001-01-29,9.585343360900879
2001-01-30,9.654304504394531
2001-01-31,9.41167163848877
2001-02-01,9.414222717285156
2001-02-02,9.130725860595703
2001-02-05,9.015790939331055
2001-02-06,9.398900985717773
2001-02-07,9.194581031799316
2001-02-08,8.898299217224121
2001-02-09,8.55606460571289
2001-02-12,8.32619857788086
2001-02-13,8.47944450378418
2001-02-14,8.783370971679688
2001-02-15,9.28396987915039
2001-02-16,8.461563110351562
2001-02-20,7.789844512939453
2001-02-21,7.664702892303467
2001-02-22,7.603400707244873
2001-02-23,7.662146091461182
2001-02-26,7.662146091461182
2001-02-27,7.304580211639404
2001-02-28,7.368429660797119
2001-03-01,7.406739711761475
2001-03-02,7.539551734924316
2001-03-05,7.759199619293213
2001-03-06,8.211272239685059
2001-03-07,8.262349128723145
2001-03-08,8.088674545288086
2001-03-09,7.725998878479004
2001-03-12,7.631497383117676
2001-03-13,8.070793151855469
2001-03-14,7.904781341552734
2001-03-15,7.840928077697754
2001-03-16,7.176874160766602
2001-03-19,7.812084674835205
2001-03-20,7.507289409637451
2001-03-21,7.486799240112305
2001-03-22,7.911981105804443
2001-03-23,7.98369836807251
2001-03-26,8.106640815734863
2001-03-27,8.268009185791016
