Date,V
2008-03-19,12.41617202758789
2008-03-20,14.14124870300293
2008-03-24,13.125980377197266
2008-03-25,13.899520874023438
2008-03-26,14.055551528930664
2008-03-27,13.824803352355957
2008-03-28,13.791834831237793
2008-03-31,13.703935623168945
2008-04-01,13.539116859436035
2008-04-02,13.695147514343262
2008-04-03,14.393965721130371
2008-04-04,14.16982364654541
2008-04-07,14.292884826660156
2008-04-08,14.963129043579102
2008-04-09,14.457701683044434
2008-04-10,14.5280179977417
2008-04-11,14.5280179977417
2008-04-14,14.433525085449219
2008-04-15,14.14124870300293
2008-04-16,14.534612655639648
2008-04-17,14.732388496398926
2008-04-18,15.163113594055176
2008-04-21,15.596030235290527
2008-04-22,15.444395065307617
2008-04-23,15.400449752807617
2008-04-24,15.888301849365234
2008-04-25,16.50362205505371
2008-04-28,16.62009048461914
2008-04-29,17.773805618286133
2008-04-30,18.33857536315918
2008-05-01,18.767107009887695
2008-05-02,18.18474769592285
2008-05-05,18.69237518310547
2008-05-06,19.235179901123047
2008-05-07,19.448335647583008
2008-05-08,19.184640884399414
2008-05-09,18.20892333984375
2008-05-12,17.997957229614258
2008-05-13,18.10344696044922
2008-05-14,18.07047462463379
2008-05-15,18.074871063232422
2008-05-16,18.101238250732422
2008-05-19,18.31000518798828
2008-05-20,18.18254280090332
2008-05-21,17.7672176361084
2008-05-22,16.98927879333496
2008-05-23,16.7783145904541
2008-05-27,17.303531646728516
2008-05-28,18.002355575561523
2008-05-29,18.734132766723633
2008-05-30,18.978063583374023
2008-06-02,18.91433334350586
2008-06-03,19.24176025390625
2008-06-04,18.784679412841797
2008-06-05,19.17145347595215
2008-06-06,18.382532119750977
2008-06-09,18.050701141357422
2008-06-10,17.64853858947754
2008-06-11,17.08377456665039
2008-06-12,17.483728408813477
2008-06-13,17.916650772094727
2008-06-16,18.299022674560547
2008-06-17,18.606670379638672
2008-06-18,18.428680419921875
2008-06-19,18.518774032592773
2008-06-20,18.364952087402344
2008-06-23,17.813358306884766
2008-06-24,18.164968490600586
2008-06-25,18.03311538696289
2008-06-26,17.382640838623047
2008-06-27,18.15178680419922
2008-06-30,17.8682918548584
2008-07-01,17.890277862548828
2008-07-02,17.45296287536621
