Date,NOW
2012-06-29,4.920000076293945
2012-07-02,4.953999996185303
2012-07-03,5.061999797821045
2012-07-05,5.191999912261963
2012-07-06,5.168000221252441
2012-07-09,5.053999900817871
2012-07-10,5.010000228881836
2012-07-11,4.748000144958496
2012-07-12,4.815999984741211
2012-07-13,4.835999965667725
2012-07-16,4.875999927520752
2012-07-17,4.854000091552734
2012-07-18,4.8460001945495605
2012-07-19,4.800000190734863
2012-07-20,5.046000003814697
2012-07-23,4.869999885559082
2012-07-24,4.9679999351501465
2012-07-25,4.986000061035156
2012-07-26,4.883999824523926
2012-07-27,5.065999984741211
2012-07-30,5.078000068664551
2012-07-31,5.400000095367432
2012-08-01,5.541999816894531
2012-08-02,5.815999984741211
2012-08-03,5.734000205993652
2012-08-06,5.604000091552734
2012-08-07,5.599999904632568
2012-08-08,5.513999938964844
2012-08-09,5.9019999504089355
2012-08-10,6.329999923706055
2012-08-13,6.486000061035156
2012-08-14,6.455999851226807
2012-08-15,5.935999870300293
2012-08-16,5.949999809265137
2012-08-17,5.920000076293945
2012-08-20,5.978000164031982
2012-08-21,6.052000045776367
2012-08-22,5.96999979019165
2012-08-23,5.806000232696533
2012-08-24,5.940000057220459
2012-08-27,5.854000091552734
2012-08-28,5.863999843597412
2012-08-29,5.8979997634887695
2012-08-30,5.955999851226807
2012-08-31,6.21999979019165
2012-09-04,6.734000205993652
2012-09-05,6.8379998207092285
2012-09-06,7.211999893188477
2012-09-07,7.309999942779541
2012-09-10,6.877999782562256
2012-09-11,6.6020002365112305
2012-09-12,7.010000228881836
2012-09-13,7.501999855041504
2012-09-14,7.811999797821045
2012-09-17,7.638000011444092
2012-09-18,7.360000133514404
2012-09-19,7.730000019073486
2012-09-20,7.599999904632568
2012-09-21,7.926000118255615
2012-09-24,8.074000358581543
2012-09-25,7.998000144958496
2012-09-26,7.616000175476074
2012-09-27,8.008000373840332
2012-09-28,7.736000061035156
2012-10-01,7.296000003814697
2012-10-02,7.300000190734863
2012-10-03,7.406000137329102
2012-10-04,7.429999828338623
2012-10-05,7.400000095367432
2012-10-08,7.306000232696533
2012-10-09,7.199999809265137
2012-10-10,6.955999851226807
2012-10-11,6.900000095367432
2012-10-12,6.664000034332275
2012-10-15,6.9019999504089355
2012-10-16,6.861999988555908
2012-10-17,6.953999996185303
2012-10-18,6.958000183105469
2012-10-19,6.869999885559082
2012-10-22,6.688000202178955
2012-10-23,6.9120001792907715
