Date,TECH
2000-01-03,6.060445308685303
2000-01-04,5.715065956115723
2000-01-05,5.630350112915039
2000-01-06,5.428335666656494
2000-01-07,5.4185590744018555
2000-01-10,6.1451616287231445
2000-01-11,6.373242378234863
2000-01-12,6.503575801849365
2000-01-13,6.558964729309082
2000-01-14,6.998837947845459
2000-01-18,7.011873245239258
2000-01-19,7.207369804382324
2000-01-20,7.086811065673828
2000-01-21,6.946704387664795
2000-01-24,7.044455528259277
2000-01-25,7.041192531585693
2000-01-26,6.835918426513672
2000-01-27,6.725140571594238
2000-01-28,6.31785249710083
2000-01-31,6.503575801849365
2000-02-01,6.689298152923584
2000-02-02,6.542675018310547
2000-02-03,6.686039924621582
2000-02-04,6.555707931518555
2000-02-07,6.673008441925049
2000-02-08,6.985807418823242
2000-02-09,6.855469703674316
2000-02-10,7.2595038414001465
2000-02-11,7.357256889343262
2000-02-14,7.500617504119873
2000-02-15,7.793864727020264
2000-02-16,7.885094165802002
2000-02-17,8.373844146728516
2000-02-18,7.70914888381958
2000-02-22,7.578815460205078
2000-02-23,7.56252384185791
2000-02-24,8.132723808288574
2000-02-25,7.937227725982666
2000-02-28,8.566078186035156
2000-02-29,8.944045066833496
2000-03-01,9.214483261108398
2000-03-02,8.670352935791016
2000-03-03,8.71270751953125
2000-03-06,9.279651641845703
2000-03-07,8.562819480895996
2000-03-08,8.445525169372559
2000-03-09,8.373844146728516
2000-03-10,8.041498184204102
2000-03-13,7.507132053375244
2000-03-14,6.842438220977783
2000-03-15,6.835918426513672
2000-03-16,7.826448440551758
2000-03-17,7.497356414794922
2000-03-20,7.2595038414001465
2000-03-21,7.94700288772583
2000-03-22,8.445525169372559
2000-03-23,7.885094165802002
2000-03-24,8.171828269958496
2000-03-27,8.139242172241211
2000-03-28,7.402867794036865
2000-03-29,6.998837947845459
2000-03-30,6.751206398010254
2000-03-31,7.1943359375
2000-04-03,6.255943775177002
2000-04-04,7.161753177642822
2000-04-05,7.207369804382324
2000-04-06,7.285562992095947
2000-04-07,7.207369804382324
2000-04-10,7.481066703796387
2000-04-11,7.406123161315918
2000-04-12,6.959736347198486
2000-04-13,7.037937164306641
2000-04-14,6.777273654937744
2000-04-17,6.268978118896484
2000-04-18,7.337703704833984
2000-04-19,7.331185340881348
2000-04-20,7.187819957733154
2000-04-24,6.9923224449157715
2000-04-25,7.344217777252197
2000-04-26,6.65997314453125
2000-04-27,7.239955425262451
2000-04-28,7.415900707244873
2000-05-01,7.76779842376709
2000-05-02,7.331185340881348
2000-05-03,7.481066703796387
2000-05-04,7.55926513671875
2000-05-05,8.282612800598145
2000-05-08,8.282612800598145
2000-05-09,8.080595970153809
2000-05-10,7.865549564361572
2000-05-11,8.230476379394531
2000-05-12,7.741730213165283
2000-05-15,7.937227725982666
2000-05-16,7.806897163391113
2000-05-17,7.826448440551758
2000-05-18,7.376803398132324
2000-05-19,7.246469497680664
2000-05-22,8.028458595275879
2000-05-23,7.298599720001221
2000-05-24,7.161753177642822
2000-05-25,7.402867794036865
2000-05-26,7.2595038414001465
2000-05-30,7.976330280303955
2000-05-31,8.334746360778809
2000-06-01,9.07111930847168
2000-06-02,9.931312561035156
2000-06-05,10.33534049987793
2000-06-06,9.631550788879395
2000-06-07,9.494698524475098
2000-06-08,9.657610893249512
2000-06-09,9.690197944641113
2000-06-12,9.872664451599121
2000-06-13,9.709742546081543
2000-06-14,10.354888916015625
2000-06-15,11.46922779083252
2000-06-16,11.697310447692871
2000-06-19,12.759517669677734
2000-06-20,12.238190650939941
2000-06-21,12.694353103637695
2000-06-22,12.257742881774902
2000-06-23,11.580007553100586
2000-06-26,13.24174976348877
2000-06-27,13.657184600830078
2000-06-28,14.597199440002441
2000-06-29,14.036773681640625
2000-06-30,13.554547309875488
2000-07-03,15.431328773498535
2000-07-05,14.857874870300293
2000-07-06,13.815210342407227
2000-07-07,14.2453031539917
2000-07-10,14.382152557373047
2000-07-11,14.831801414489746
2000-07-12,15.144593238830566
2000-07-13,14.388671875
2000-07-14,13.098379135131836
2000-07-17,13.306914329528809
2000-07-18,12.739970207214355
2000-07-19,12.824681282043457
2000-07-20,12.407626152038574
2000-07-21,12.107854843139648
2000-07-24,12.225163459777832
2000-07-25,11.905847549438477
2000-07-26,12.564022064208984
2000-07-27,11.755964279174805
2000-07-28,11.12385082244873
2000-07-31,10.41353988647461
2000-08-01,10.431462287902832
2000-08-02,10.687238693237305
2000-08-03,11.006551742553711
2000-08-04,11.443166732788086
2000-08-07,11.417097091674805
2000-08-08,10.713305473327637
2000-08-09,8.979887008666992
2000-08-10,9.12325382232666
2000-08-11,9.755364418029785
2000-08-14,9.12325382232666
2000-08-15,8.067561149597168
2000-08-16,8.041498184204102
2000-08-17,7.689597129821777
2000-08-18,7.611399173736572
2000-08-21,7.963296413421631
2000-08-22,7.881837844848633
2000-08-23,9.077637672424316
2000-08-24,9.475147247314453
2000-08-25,9.533799171447754
2000-08-28,9.67064380645752
2000-08-29,9.383915901184082
2000-08-30,9.579413414001465
2000-08-31,9.957374572753906
2000-09-01,10.62207317352295
2000-09-05,10.113776206970215
2000-09-06,9.305716514587402
2000-09-07,9.93782901763916
2000-09-08,9.351332664489746
2000-09-11,9.696714401245117
2000-09-12,9.625030517578125
2000-09-13,10.061643600463867
2000-09-14,10.374443054199219
2000-09-15,9.618511199951172
2000-09-18,9.390429496765137
2000-09-19,10.191974639892578
2000-09-20,9.931312561035156
2000-09-21,10.068161964416504
2000-09-22,11.052168846130371
2000-09-25,11.364964485168457
2000-09-26,11.156437873840332
2000-09-27,11.306313514709473
2000-09-28,12.016627311706543
2000-09-29,11.677762031555176
2000-10-02,11.886295318603516
2000-10-03,11.078235626220703
2000-10-04,11.052168846130371
2000-10-05,10.993520736694336
2000-10-06,10.902284622192383
2000-10-09,10.700270652770996
2000-10-10,11.234630584716797
2000-10-11,11.46922779083252
2000-10-12,10.66117000579834
2000-10-13,11.019586563110352
2000-10-16,10.817569732666016
2000-10-17,10.895766258239746
2000-10-18,11.280250549316406
2000-10-19,11.026101112365723
2000-10-20,12.863786697387695
2000-10-23,13.065799713134766
2000-10-24,10.49173641204834
2000-10-25,11.280250549316406
2000-10-26,11.46271800994873
2000-10-27,11.162951469421387
2000-10-30,10.296242713928223
2000-10-31,11.755964279174805
2000-11-01,11.052168846130371
2000-11-02,11.671248435974121
2000-11-03,11.762480735778809
2000-11-06,11.382887840270996
2000-11-07,11.782027244567871
2000-11-08,11.110816955566406
2000-11-09,10.980489730834961
2000-11-10,10.745887756347656
2000-11-13,9.911762237548828
2000-11-14,9.911762237548828
2000-11-15,10.439607620239258
2000-11-16,9.494698524475098
2000-11-17,9.905240058898926
2000-11-20,9.566381454467773
2000-11-21,9.40346908569336
2000-11-22,9.32526683807373
2000-11-24,9.592445373535156
2000-11-27,10.407022476196289
2000-11-28,10.022541999816895
2000-11-29,9.221003532409668
2000-11-30,9.279651641845703
2000-12-01,9.827049255371094
2000-12-04,10.205009460449219
2000-12-05,9.540314674377441
2000-12-06,8.549789428710938
2000-12-07,8.2891263961792
2000-12-08,8.57585334777832
2000-12-11,8.732253074645996
2000-12-12,8.119693756103516
2000-12-13,8.223957061767578
2000-12-14,7.702632427215576
2000-12-15,7.507132053375244
2000-12-18,6.803337097167969
2000-12-19,7.168270111083984
2000-12-20,6.959736347198486
2000-12-21,6.673008441925049
2000-12-22,7.402867794036865
2000-12-26,7.347476959228516
2000-12-27,6.803337097167969
2000-12-28,7.350734710693359
2000-12-29,7.520165920257568
2001-01-02,7.024906158447266
2001-01-03,5.943147659301758
2001-01-04,5.760682106018066
2001-01-05,5.408784866333008
2001-01-08,5.004755973815918
2001-01-09,5.187221527099609
2001-01-10,5.395752429962158
2001-01-11,5.447883129119873
2001-01-12,5.904047012329102
2001-01-16,5.943147659301758
2001-01-17,6.242910385131836
2001-01-18,6.255943775177002
2001-01-19,6.386275768280029
2001-01-22,6.69907283782959
2001-01-23,6.607841491699219
2001-01-24,6.542675018310547
2001-01-25,6.69907283782959
2001-01-26,6.69907283782959
2001-01-29,6.516608715057373
2001-01-30,6.203813076019287
2001-01-31,5.786748886108398
2001-02-01,5.851914405822754
2001-02-02,5.8258466720581055
2001-02-05,5.851914405822754
2001-02-06,5.812815189361572
2001-02-07,5.708548545837402
2001-02-08,5.669450759887695
2001-02-09,5.5260844230651855
2001-02-12,5.656417369842529
2001-02-13,5.421818256378174
2001-02-14,5.213287353515625
2001-02-15,5.278453350067139
2001-02-16,5.395752429962158
2001-02-20,5.2914862632751465
2001-02-21,5.213287353515625
