Date,FIX
2000-01-03,5.657106876373291
2000-01-04,5.556982040405273
2000-01-05,5.607043266296387
2000-01-06,5.607043266296387
2000-01-07,5.556982040405273
2000-01-10,5.607043266296387
2000-01-11,5.556982040405273
2000-01-12,5.45685338973999
2000-01-13,5.607043266296387
2000-01-14,5.757232189178467
2000-01-18,5.757232189178467
2000-01-19,5.707169055938721
2000-01-20,5.607043266296387
2000-01-21,5.607043266296387
2000-01-24,5.707169055938721
2000-01-25,5.757232189178467
2000-01-26,5.757232189178467
2000-01-27,5.657106876373291
2000-01-28,5.807295322418213
2000-01-31,5.607043266296387
2000-02-01,5.657106876373291
2000-02-02,5.657106876373291
2000-02-03,5.607043266296387
2000-02-04,5.45685338973999
2000-02-07,5.556982040405273
2000-02-08,5.45685338973999
2000-02-09,5.556982040405273
2000-02-10,5.657106876373291
2000-02-11,5.607043266296387
2000-02-14,5.707169055938721
2000-02-15,5.757232189178467
2000-02-16,5.907422065734863
2000-02-17,6.608300685882568
2000-02-18,6.658365726470947
2000-02-22,6.708425998687744
2000-02-23,7.00880241394043
2000-02-24,6.408050537109375
2000-02-25,6.05761194229126
2000-02-28,6.357985496520996
2000-02-29,6.307924270629883
2000-03-01,6.257861137390137
2000-03-02,6.257861137390137
2000-03-03,6.107672691345215
2000-03-06,5.857357501983643
2000-03-07,5.757232189178467
2000-03-08,6.307924270629883
2000-03-09,6.107672691345215
2000-03-10,6.107672691345215
2000-03-13,6.307924270629883
2000-03-14,6.357985496520996
2000-03-15,6.257861137390137
2000-03-16,6.157736301422119
2000-03-17,6.257861137390137
2000-03-20,6.107672691345215
2000-03-21,6.007546901702881
2000-03-22,5.857357501983643
2000-03-23,6.408050537109375
2000-03-24,6.207799911499023
2000-03-27,6.157736301422119
2000-03-28,5.907422065734863
2000-03-29,5.907422065734863
2000-03-30,5.607043266296387
2000-03-31,5.106415271759033
2000-04-03,5.256601810455322
2000-04-04,4.806036949157715
2000-04-05,5.406792640686035
2000-04-06,5.707169055938721
2000-04-07,5.657106876373291
2000-04-10,5.506918907165527
2000-04-11,5.156476974487305
2000-04-12,5.35672664642334
2000-04-13,5.306665897369385
2000-04-14,5.056350231170654
2000-04-17,5.106415271759033
2000-04-18,5.156476974487305
2000-04-19,5.306665897369385
