Date,MRK
2000-01-03,25.026676177978516
2000-01-04,24.147727966308594
2000-01-05,25.09606170654297
2000-01-06,25.30423927307129
2000-01-07,27.732894897460938
2000-01-10,26.923343658447266
2000-01-11,27.015865325927734
2000-01-12,27.54784393310547
2000-01-13,27.663490295410156
2000-01-14,27.432193756103516
2000-01-18,26.20630645751953
2000-01-19,26.46073341369629
2000-01-20,26.992740631103516
2000-01-21,26.807693481445312
2000-01-24,25.998146057128906
2000-01-25,26.22943878173828
2000-01-26,26.946474075317383
2000-01-27,27.432193756103516
2000-01-28,28.264873504638672
2000-01-31,29.097564697265625
2000-02-01,28.42680549621582
2000-02-02,28.449926376342773
2000-02-03,28.218626022338867
2000-02-04,27.779151916503906
2000-02-07,27.848543167114258
2000-02-08,27.917924880981445
2000-02-09,26.41447639465332
2000-02-10,25.535541534423828
2000-02-11,24.147727966308594
2000-02-14,24.44842529296875
2000-02-15,24.286523818969727
2000-02-16,24.24025535583496
2000-02-17,23.407581329345703
2000-02-18,22.944974899291992
2000-02-22,24.24025535583496
2000-02-23,23.36130714416504
2000-02-24,22.944974899291992
2000-02-25,22.274200439453125
2000-02-28,22.783056259155273
2000-02-29,22.783056259155273
2000-03-01,22.309904098510742
2000-03-02,22.031036376953125
2000-03-03,21.38032341003418
2000-03-06,21.008495330810547
2000-03-07,20.055681228637695
2000-03-08,21.12470054626465
2000-03-09,22.728219985961914
2000-03-10,22.147220611572266
2000-03-13,21.194416046142578
2000-03-14,21.008495330810547
2000-03-15,22.240184783935547
2000-03-16,24.169069290161133
2000-03-17,23.33245277404785
2000-03-20,22.914142608642578
2000-03-21,23.77399444580078
2000-03-22,23.959911346435547
2000-03-23,23.378925323486328
2000-03-24,22.96061897277832
2000-03-27,22.728219985961914
2000-03-28,22.890901565551758
2000-03-29,23.7972354888916
2000-03-30,23.82047462463379
2000-03-31,23.10004997253418
2000-04-03,24.81977653503418
2000-04-04,25.16836929321289
2000-04-05,25.377534866333008
2000-04-06,24.378231048583984
2000-04-07,24.3549861907959
2000-04-10,24.680347442626953
2000-04-11,25.028928756713867
