Date,SWKS
2000-01-03,24.578203201293945
2000-01-04,23.13530731201172
2000-01-05,23.734474182128906
2000-01-06,21.423389434814453
2000-01-07,23.624420166015625
2000-01-10,22.34049415588379
2000-01-11,22.328262329101562
2000-01-12,25.330223083496094
2000-01-13,26.999343872070312
2000-01-14,29.7384033203125
2000-01-18,30.9611873626709
2000-01-19,34.519535064697266
2000-01-20,35.412174224853516
2000-01-21,35.974666595458984
2000-01-24,34.73964309692383
2000-01-25,35.60783386230469
2000-01-26,33.895912170410156
2000-01-27,34.042640686035156
2000-01-28,34.23828887939453
2000-01-31,32.770938873291016
2000-02-01,34.433937072753906
2000-02-02,38.077880859375
2000-02-03,40.572391510009766
2000-02-04,41.84409713745117
2000-02-07,43.690513610839844
2000-02-08,39.276222229003906
2000-02-09,39.202850341796875
2000-02-10,46.07496643066406
2000-02-11,45.316829681396484
2000-02-14,53.949771881103516
2000-02-15,53.00822448730469
2000-02-16,54.341064453125
2000-02-17,54.964698791503906
2000-02-18,50.770503997802734
2000-02-22,53.252784729003906
2000-02-23,56.43205642700195
2000-02-24,57.42251968383789
2000-02-25,58.48632049560547
2000-02-28,58.241783142089844
2000-02-29,56.811100006103516
2000-03-01,57.10457992553711
2000-03-02,51.6203498840332
2000-03-03,56.10189437866211
2000-03-06,52.09111404418945
2000-03-07,53.26500701904297
2000-03-08,55.563873291015625
2000-03-09,56.29753875732422
2000-03-10,53.216102600097656
2000-03-13,51.45526123046875
2000-03-14,49.69444274902344
2000-03-15,49.10749053955078
2000-03-16,46.39288330078125
2000-03-17,45.45132827758789
2000-03-20,38.20014953613281
2000-03-21,46.894229888916016
2000-03-22,50.86832809448242
2000-03-23,46.29506301879883
2000-03-24,48.22709274291992
2000-03-27,47.56678009033203
2000-03-28,45.17009353637695
2000-03-29,43.60491180419922
2000-03-30,40.69465637207031
2000-03-31,37.172996520996094
2000-04-03,36.1458625793457
2000-04-04,37.5887565612793
2000-04-05,39.52076721191406
2000-04-06,41.868534088134766
