Date,CVX
2000-01-03,15.5787935256958
2000-01-04,15.5787935256958
2000-01-05,15.858241081237793
2000-01-06,16.53356170654297
2000-01-07,16.82463264465332
2000-01-10,16.370540618896484
2000-01-11,16.21918487548828
2000-01-12,16.16097068786621
2000-01-13,16.312335968017578
2000-01-14,16.20754051208496
2000-01-18,16.63833999633789
2000-01-19,16.382186889648438
2000-01-20,16.30068588256836
2000-01-21,16.498620986938477
2000-01-24,16.54519271850586
2000-01-25,16.498620986938477
2000-01-26,16.347261428833008
2000-01-27,15.70687484741211
2000-01-28,15.380861282348633
2000-01-31,15.5787935256958
2000-02-01,15.497294425964355
2000-02-02,15.392498016357422
2000-02-03,15.171282768249512
2000-02-04,14.635683059692383
2000-02-07,14.728828430175781
2000-02-08,14.589118957519531
2000-02-09,13.972016334533691
2000-02-10,14.309669494628906
2000-02-11,13.785717010498047
2000-02-14,13.750799179077148
2000-02-15,14.437744140625
2000-02-16,14.618570327758789
2000-02-17,14.606834411621094
2000-02-18,14.313281059265137
2000-02-22,14.219351768493652
2000-02-23,13.76142406463623
2000-02-24,13.42091178894043
2000-02-25,13.350457191467285
2000-02-28,14.0079984664917
2000-02-29,14.031486511230469
2000-03-01,14.137153625488281
2000-03-02,14.219351768493652
2000-03-03,14.0079984664917
2000-03-06,13.902318000793457
2000-03-07,15.217406272888184
2000-03-08,15.22914981842041
2000-03-09,15.640114784240723
2000-03-10,15.099987983703613
2000-03-13,14.994303703308105
2000-03-14,15.569662094116211
2000-03-15,15.76927375793457
2000-03-16,15.804496765136719
2000-03-17,15.651857376098633
2000-03-20,15.581402778625488
2000-03-21,16.156747817993164
2000-03-22,15.781013488769531
2000-03-23,15.898433685302734
2000-03-24,16.086299896240234
2000-03-27,15.886695861816406
2000-03-28,15.945406913757324
2000-03-29,16.626422882080078
2000-03-30,17.31918716430664
2000-03-31,17.36616325378418
2000-04-03,17.342687606811523
2000-04-04,16.87301254272461
2000-04-05,16.438556671142578
2000-04-06,16.708614349365234
2000-04-07,16.238948822021484
2000-04-10,16.168487548828125
2000-04-11,16.661657333374023
2000-04-12,16.720361709594727
2000-04-13,16.33287811279297
2000-04-14,16.098051071166992
2000-04-17,15.581402778625488
2000-04-18,15.886695861816406
2000-04-19,15.921911239624023
2000-04-20,16.21546173095703
2000-04-24,16.015846252441406
2000-04-25,15.933660507202148
2000-04-26,16.21546173095703
2000-04-27,16.614688873291016
2000-04-28,15.992365837097168
2000-05-01,16.21546173095703
2000-05-02,16.779069900512695
2000-05-03,16.403329849243164
2000-05-04,16.602943420410156
2000-05-05,17.049131393432617
2000-05-08,17.248737335205078
2000-05-09,16.931711196899414
2000-05-10,17.072607040405273
2000-05-11,17.542287826538086
2000-05-12,17.71254539489746
2000-05-15,17.659704208374023
2000-05-16,17.460098266601562
2000-05-17,17.275634765625
2000-05-18,17.19285774230957
2000-05-19,17.654014587402344
2000-05-22,17.795909881591797
2000-05-23,17.642192840576172
2000-05-24,17.831384658813477
2000-05-25,17.6303768157959
2000-05-26,17.28744888305664
2000-05-30,17.275634765625
2000-05-31,17.488483428955078
2000-06-01,17.216516494750977
2000-06-02,17.133731842041016
2000-06-05,17.11008071899414
2000-06-06,17.571239471435547
2000-06-07,17.476655960083008
2000-06-08,17.512123107910156
2000-06-09,17.405698776245117
2000-06-12,17.571239471435547
2000-06-13,17.3584041595459
2000-06-14,17.642192840576172
2000-06-15,17.618545532226562
2000-06-16,17.547590255737305
2000-06-19,17.28744888305664
2000-06-20,17.074623107910156
2000-06-21,17.266761779785156
2000-06-22,16.944541931152344
2000-06-23,16.980018615722656
2000-06-26,16.787872314453125
2000-06-27,16.731712341308594
2000-06-28,16.569108963012695
2000-06-29,16.39175033569336
2000-06-30,16.045879364013672
2000-07-03,16.25577163696289
2000-07-05,15.608372688293457
2000-07-06,15.809388160705566
2000-07-07,15.883293151855469
2000-07-10,15.892165184020996
2000-07-11,16.459741592407227
2000-07-12,16.208471298217773
2000-07-13,15.883293151855469
2000-07-14,15.84485912322998
2000-07-17,15.640889167785645
2000-07-18,15.407356262207031
2000-07-19,15.501962661743164
2000-07-20,15.135397911071777
2000-07-21,14.851601600646973
2000-07-24,14.63875961303711
2000-07-25,14.62693977355957
2000-07-26,14.62693977355957
2000-07-27,15.312763214111328
2000-07-28,15.244768142700195
2000-07-31,14.943243980407715
2000-08-01,14.922553062438965
2000-08-02,15.099918365478516
2000-08-03,15.135397911071777
2000-08-04,15.00827693939209
2000-08-07,15.268420219421387
2000-08-08,15.20337963104248
2000-08-09,15.626107215881348
2000-08-10,15.868512153625488
2000-08-11,15.892165184020996
2000-08-14,15.963113784790039
2000-08-15,15.797576904296875
2000-08-16,16.29391860961914
2000-08-17,16.6246280670166
2000-08-18,16.404151916503906
2000-08-21,16.541210174560547
2000-08-22,16.51737403869629
2000-08-23,16.946401596069336
2000-08-24,16.433950424194336
2000-08-25,16.565040588378906
2000-08-28,16.57695960998535
2000-08-29,16.398197174072266
2000-08-30,16.22838020324707
2000-08-31,16.115169525146484
2000-09-01,16.296899795532227
2000-09-05,16.386280059814453
2000-09-06,16.80337905883789
2000-09-07,16.839136123657227
2000-09-08,16.52928924560547
2000-09-11,17.029813766479492
2000-09-12,16.88681411743164
2000-09-13,16.898727416992188
2000-09-14,16.699098587036133
2000-09-15,17.196659088134766
2000-09-18,17.160905838012695
2000-09-19,16.79146385192871
2000-09-20,16.58887481689453
2000-09-21,16.26711082458496
2000-09-22,16.06452178955078
2000-09-25,15.787436485290527
2000-09-26,15.885761260986328
2000-09-27,16.290943145751953
2000-09-28,16.04366111755371
2000-09-29,16.255191802978516
2000-10-02,16.52928924560547
2000-10-03,16.565040588378906
2000-10-04,16.171772003173828
2000-10-05,16.302860260009766
2000-10-06,16.08835220336914
2000-10-09,16.398197174072266
2000-10-10,16.6246280670166
2000-10-11,16.51737403869629
2000-10-12,16.64846420288086
2000-10-13,16.06452178955078
2000-10-16,15.635493278503418
2000-10-17,15.802328109741211
2000-10-18,15.730829238891602
2000-10-19,15.695076942443848
2000-10-20,15.909591674804688
2000-10-23,15.742743492126465
2000-10-24,15.68315601348877
2000-10-25,15.540157318115234
2000-10-26,15.635493278503418
2000-10-27,15.313719749450684
2000-10-30,15.563989639282227
2000-10-31,15.659323692321777
2000-11-01,15.790420532226562
2000-11-02,15.349477767944336
2000-11-03,15.45673656463623
2000-11-06,15.742743492126465
2000-11-07,15.647414207458496
2000-11-08,15.826177597045898
2000-11-09,15.89766788482666
2000-11-10,16.040679931640625
2000-11-13,15.850005149841309
2000-11-14,16.06452178955078
2000-11-15,16.129369735717773
2000-11-16,16.11735725402832
2000-11-17,16.093341827392578
2000-11-20,16.081329345703125
2000-11-21,16.333532333374023
2000-11-22,16.297510147094727
2000-11-24,16.20142936706543
2000-11-27,16.309513092041016
2000-11-28,16.489669799804688
2000-11-29,15.781078338623047
2000-11-30,15.733038902282715
2000-12-01,15.877154350280762
2000-12-04,15.94922161102295
2000-12-05,15.721036911010742
2000-12-06,15.468823432922363
2000-12-07,15.50485610961914
2000-12-08,15.624945640563965
2000-12-11,15.660977363586426
2000-12-12,15.721036911010742
2000-12-13,15.805107116699219
2000-12-14,15.192590713500977
2000-12-15,15.036462783813477
2000-12-18,15.516863822937012
2000-12-19,15.57691478729248
2000-12-20,15.072489738464355
2000-12-21,15.060486793518066
2000-12-22,15.492840766906738
2000-12-26,15.913192749023438
2000-12-27,15.961230278015137
2000-12-28,16.477659225463867
2000-12-29,16.225444793701172
2001-01-02,16.51367950439453
2001-01-03,15.877154350280762
2001-01-04,15.540882110595703
2001-01-05,15.660977363586426
2001-01-08,15.624945640563965
2001-01-09,15.420781135559082
2001-01-10,15.39676570892334
2001-01-11,15.648964881896973
2001-01-12,15.552891731262207
2001-01-16,15.564900398254395
2001-01-17,15.420781135559082
2001-01-18,15.264653205871582
2001-01-19,15.240626335144043
2001-01-22,15.300681114196777
2001-01-23,15.288676261901855
2001-01-24,15.34872055053711
2001-01-25,15.985243797302246
2001-01-26,15.877154350280762
2001-01-29,15.660977363586426
2001-01-30,15.730158805847168
2001-01-31,16.003021240234375
2001-02-01,16.001096725463867
2001-02-02,15.837769508361816
2001-02-05,15.86659049987793
2001-02-06,16.273969650268555
2001-02-07,16.0164737701416
2001-02-08,16.191343307495117
2001-02-09,16.504558563232422
2001-02-12,16.62753677368164
2001-02-13,16.525691986083984
2001-02-14,16.62250518798828
2001-02-15,16.535375595092773
2001-02-16,16.758039474487305
2001-02-20,16.74835777282715
2001-02-21,16.637998580932617
2001-02-22,16.667041778564453
2001-02-23,16.353370666503906
2001-02-26,16.37273406982422
2001-02-27,16.593463897705078
2001-02-28,16.58572006225586
2001-03-01,16.814197540283203
2001-03-02,17.12593650817871
2001-03-05,17.49962043762207
2001-03-06,17.51318359375
2001-03-07,17.69324493408203
2001-03-08,17.99723243713379
2001-03-09,17.964317321777344
2001-03-12,17.834590911865234
2001-03-13,17.546085357666016
2001-03-14,17.33504295349121
2001-03-15,17.174341201782227
2001-03-16,16.941987991333008
2001-03-19,17.24403953552246
2001-03-20,17.548015594482422
2001-03-21,17.364084243774414
2001-03-22,16.941987991333008
2001-03-23,16.787086486816406
2001-03-26,16.736743927001953
2001-03-27,17.005878448486328
2001-03-28,16.76772689819336
2001-03-29,16.732872009277344
2001-03-30,17.000080108642578
2001-04-02,16.82000732421875
2001-04-03,16.65155029296875
2001-04-04,16.980710983276367
2001-04-05,17.364084243774414
2001-04-06,17.275012969970703
2001-04-09,17.716482162475586
2001-04-10,17.96817970275879
2001-04-11,17.58094024658203
2001-04-12,17.774572372436523
2001-04-16,18.16180992126465
2001-04-17,18.055322647094727
2001-04-18,18.09597396850586
2001-04-19,17.95850372314453
2001-04-20,18.055322647094727
2001-04-23,18.33799934387207
2001-04-24,18.25861930847168
2001-04-25,18.45611572265625
2001-04-26,18.947921752929688
2001-04-27,18.876283645629883
2001-04-30,18.696205139160156
2001-05-01,18.674907684326172
2001-05-02,17.81329345703125
2001-05-03,17.75520896911621
2001-05-04,18.074674606323242
2001-05-07,18.239259719848633
2001-05-08,18.16180992126465
2001-05-09,18.4774112701416
2001-05-10,18.43482208251953
2001-05-11,18.204404830932617
2001-05-14,18.277990341186523
2001-05-15,18.471601486206055
2001-05-16,18.56907844543457
2001-05-17,18.64901351928711
2001-05-18,19.021364212036133
2001-05-21,18.93753433227539
2001-05-22,18.53398895263672
2001-05-23,18.360471725463867
2001-05-24,18.383878707885742
2001-05-25,18.360471725463867
2001-05-29,18.627565383911133
2001-05-30,18.68410301208496
2001-05-31,18.725034713745117
2001-06-01,18.78937339782715
2001-06-04,19.11104965209961
2001-06-05,19.04671859741211
2001-06-06,18.74648666381836
2001-06-07,18.71724510192871
2001-06-08,18.801071166992188
2001-06-11,19.00772476196289
2001-06-12,19.025266647338867
2001-06-13,18.939495086669922
2001-06-14,18.64901351928711
2001-06-15,18.84981346130371
2001-06-18,18.656801223754883
2001-06-19,18.61781883239746
2001-06-20,18.417011260986328
2001-06-21,18.22011375427246
2001-06-22,18.469650268554688
2001-06-25,18.510591506958008
2001-06-26,18.46186637878418
