Date,HRL
2000-01-03,2.8787174224853516
2000-01-04,2.8384876251220703
2000-01-05,2.883188486099243
2000-01-06,2.9323577880859375
2000-01-07,2.959179639816284
2000-01-10,2.9457685947418213
2000-01-11,2.950239419937134
2000-01-12,2.8742496967315674
2000-01-13,2.9055380821228027
2000-01-14,2.8965985774993896
2000-01-18,2.9100096225738525
2000-01-19,2.837280035018921
2000-01-20,2.846259832382202
2000-01-21,2.832791805267334
2000-01-24,2.7834079265594482
2000-01-25,2.7654502391815186
2000-01-26,2.8283026218414307
2000-01-27,2.7834079265594482
2000-01-28,2.756472587585449
2000-01-31,2.9180891513824463
2000-02-01,2.787898063659668
2000-02-02,2.738513946533203
2000-02-03,2.7205581665039062
2000-02-04,2.7205581665039062
2000-02-07,2.66668438911438
2000-02-08,2.7295360565185547
2000-02-09,2.756472587585449
2000-02-10,2.68913197517395
2000-02-11,2.576897144317627
2000-02-14,2.5544512271881104
2000-02-15,2.563429117202759
2000-02-16,2.5858755111694336
2000-02-17,2.6128127574920654
2000-02-18,2.5858755111694336
2000-02-22,2.576897144317627
2000-02-23,2.5409820079803467
2000-02-24,2.514045238494873
2000-02-25,2.496088743209839
2000-02-28,2.4332358837127686
2000-02-29,2.3973217010498047
2000-03-01,2.4332358837127686
2000-03-02,2.343449831008911
2000-03-03,2.1818323135375977
2000-03-06,2.2177481651306152
2000-03-07,2.083066940307617
2000-03-08,2.1728549003601074
2000-03-09,2.1638755798339844
2000-03-10,2.1010241508483887
2000-03-13,2.056129217147827
2000-03-14,2.0291945934295654
2000-03-15,2.190812110900879
2000-03-16,2.4511947631835938
2000-03-17,2.1548967361450195
2000-03-20,2.262641668319702
2000-03-21,2.2087695598602295
2000-03-22,2.083066940307617
2000-03-23,2.1548967361450195
2000-03-24,2.1010241508483887
2000-03-27,2.083066940307617
2000-03-28,2.038172960281372
2000-03-29,2.074087619781494
2000-03-30,2.1548967361450195
2000-03-31,2.361407995223999
2000-04-03,2.1010241508483887
2000-04-04,2.262641668319702
2000-04-05,2.2895779609680176
2000-04-06,2.262641668319702
2000-04-07,2.226726770401001
2000-04-10,2.2446837425231934
2000-04-11,2.262641668319702
2000-04-12,2.30753493309021
2000-04-13,2.343449831008911
2000-04-14,2.2805991172790527
2000-04-17,2.361407995223999
2000-04-18,2.3199551105499268
2000-04-19,2.310927391052246
2000-04-20,2.2838470935821533
2000-04-24,2.2567660808563232
2000-04-25,2.3470354080200195
2000-04-26,2.2838470935821533
2000-04-27,2.2567660808563232
2000-04-28,2.2026028633117676
2000-05-01,2.2206568717956543
2000-05-02,2.166494607925415
2000-05-03,2.1935763359069824
2000-05-04,2.23871111869812
2000-05-05,2.2026028633117676
2000-05-08,2.2206568717956543
2000-05-09,2.2206568717956543
2000-05-10,2.2206568717956543
2000-05-11,2.4553608894348145
2000-05-12,2.3921709060668945
