Date,CEG
2022-01-19,40.49213790893555
2022-01-20,43.38442611694336
2022-01-21,43.38442611694336
2022-01-24,41.26342010498047
2022-01-25,40.393802642822266
2022-01-26,41.6683349609375
2022-01-27,44.117149353027344
2022-01-28,45.07160186767578
2022-01-31,46.2767333984375
2022-02-01,47.992820739746094
2022-02-02,51.10686111450195
2022-02-03,51.6949577331543
2022-02-04,48.33989334106445
2022-02-07,44.41602325439453
2022-02-08,43.86648178100586
2022-02-09,45.61149597167969
2022-02-10,45.360836029052734
2022-02-11,46.363502502441406
2022-02-14,46.382781982421875
2022-02-15,46.2767333984375
2022-02-16,45.50545120239258
2022-02-17,43.66402053833008
2022-02-18,43.779720306396484
2022-02-22,41.97684860229492
2022-02-23,41.54301071166992
2022-02-24,42.86912536621094
2022-02-25,42.47254180908203
2022-02-28,44.47478103637695
2022-03-01,46.22553634643555
2022-03-02,47.84086227416992
2022-03-03,47.898902893066406
2022-03-04,49.33043670654297
2022-03-07,49.959163665771484
2022-03-08,50.607234954833984
2022-03-09,49.64964294433594
2022-03-10,49.63996887207031
2022-03-11,47.705440521240234
2022-03-14,49.282081604003906
2022-03-15,49.6109504699707
2022-03-16,50.07523727416992
2022-03-17,49.32077407836914
2022-03-18,47.40559005737305
2022-03-21,47.60872268676758
2022-03-22,49.46586608886719
2022-03-23,49.32077407836914
2022-03-24,50.69429397583008
2022-03-25,52.038780212402344
2022-03-28,54.92123031616211
2022-03-29,54.4859619140625
2022-03-30,55.61766052246094
2022-03-31,54.40857696533203
2022-04-01,56.120643615722656
2022-04-04,56.46885681152344
2022-04-05,57.06855392456055
2022-04-06,57.64891052246094
2022-04-07,58.91603469848633
2022-04-08,61.9242057800293
2022-04-11,58.69356155395508
2022-04-12,59.8446044921875
2022-04-13,62.09831619262695
2022-04-14,60.50233840942383
2022-04-18,61.237457275390625
2022-04-19,64.52616119384766
2022-04-20,63.26871109008789
2022-04-21,60.618408203125
2022-04-22,60.386260986328125
2022-04-25,60.23150634765625
2022-04-26,57.987457275390625
2022-04-27,58.122867584228516
2022-04-28,59.30292892456055
2022-04-29,57.27167510986328
2022-05-02,56.29473876953125
2022-05-03,57.74563980102539
2022-05-04,59.78656768798828
2022-05-05,58.19058609008789
2022-05-06,58.29698181152344
2022-05-09,55.733726501464844
2022-05-10,55.1727180480957
2022-05-11,55.49191665649414
2022-05-12,51.847015380859375
2022-05-13,52.952396392822266
2022-05-16,54.87229919433594
2022-05-17,57.519447326660156
2022-05-18,55.54136276245117
2022-05-19,55.492881774902344
2022-05-20,54.93049240112305
2022-05-23,54.88199996948242
2022-05-24,55.056541442871094
2022-05-25,57.37399673461914
2022-05-26,60.57383728027344
2022-05-27,64.57845306396484
2022-05-31,60.1956672668457
2022-06-01,61.718013763427734
2022-06-02,61.814979553222656
2022-06-03,63.19186782836914
2022-06-06,64.3748550415039
2022-06-07,64.52999877929688
2022-06-08,62.804012298583984
2022-06-09,59.35208511352539
2022-06-10,57.97517395019531
2022-06-13,53.79600143432617
2022-06-14,52.78757095336914
2022-06-15,56.433441162109375
2022-06-16,56.49161148071289
2022-06-17,56.33646774291992
2022-06-21,58.54727554321289
2022-06-22,57.412776947021484
2022-06-23,56.86978530883789
2022-06-24,57.480655670166016
2022-06-27,57.61640930175781
2022-06-28,56.317081451416016
2022-06-29,55.570465087890625
2022-06-30,55.52197265625
2022-07-01,55.85165023803711
2022-07-05,53.27239227294922
2022-07-06,55.037147521972656
2022-07-07,57.31582260131836
2022-07-08,57.83943557739258
2022-07-11,58.02366638183594
2022-07-12,57.43217086791992
2022-07-13,58.0042610168457
2022-07-14,56.16193771362305
2022-07-15,53.97053146362305
2022-07-18,53.14634323120117
2022-07-19,53.33056640625
2022-07-20,52.42879867553711
2022-07-21,52.51607131958008
2022-07-22,52.36091613769531
2022-07-25,53.29179000854492
2022-07-26,53.815399169921875
2022-07-27,53.844482421875
2022-07-28,62.62948226928711
2022-07-29,64.09365844726562
2022-08-01,63.317935943603516
2022-08-02,63.84153366088867
2022-08-03,65.13117980957031
2022-08-04,65.41236114501953
2022-08-05,72.04476928710938
2022-08-08,73.58648681640625
2022-08-09,73.42166137695312
2022-08-10,74.7791519165039
2022-08-11,76.43724822998047
2022-08-12,79.16781616210938
2022-08-15,78.87639617919922
2022-08-16,79.07067108154297
2022-08-17,77.41932678222656
2022-08-18,79.26496124267578
2022-08-19,78.52670288085938
2022-08-22,77.37076568603516
2022-08-23,77.46788787841797
2022-08-24,78.07014465332031
2022-08-25,80.3723373413086
2022-08-26,78.51698303222656
2022-08-29,78.68212127685547
2022-08-30,77.40962219238281
2022-08-31,79.25524139404297
2022-09-01,80.15862274169922
2022-09-02,78.75012969970703
2022-09-06,79.90605926513672
2022-09-07,80.52775573730469
2022-09-08,83.3350601196289
2022-09-09,85.00584411621094
2022-09-12,85.60808563232422
2022-09-13,83.90815734863281
