Date,TER
2000-01-03,56.85209274291992
2000-01-04,55.127559661865234
2000-01-05,53.920387268066406
2000-01-06,51.27610778808594
2000-01-07,52.36832046508789
2000-01-10,56.96706008911133
2000-01-11,55.30001449584961
2000-01-12,56.16229248046875
2000-01-13,55.87487030029297
2000-01-14,62.54304885864258
2000-01-18,64.09515380859375
2000-01-19,71.0507583618164
2000-01-20,68.34896850585938
2000-01-21,66.56696319580078
2000-01-24,65.58975219726562
2000-01-25,66.27954864501953
2000-01-26,63.86521530151367
2000-01-27,63.11790466308594
2000-01-28,57.82932662963867
2000-01-31,59.55386734008789
2000-02-01,64.55501556396484
2000-02-02,66.04960632324219
2000-02-03,69.2112808227539
2000-02-04,66.91187286376953
2000-02-07,70.76333618164062
2000-02-08,71.28069305419922
2000-02-09,68.98129272460938
2000-02-10,72.60287475585938
2000-02-11,69.32621765136719
2000-02-14,71.10822296142578
2000-02-15,72.2004623413086
2000-02-16,73.58007049560547
2000-02-17,74.15493774414062
2000-02-18,71.28069305419922
2000-02-22,76.56928253173828
2000-02-23,74.44232177734375
2000-02-24,79.09858703613281
2000-02-25,78.06387329101562
2000-02-28,78.1213607788086
2000-02-29,80.01832580566406
2000-03-01,82.3177261352539
2000-03-02,77.20158386230469
2000-03-03,81.3404769897461
2000-03-06,80.1907730102539
2000-03-07,80.01832580566406
2000-03-08,75.53453063964844
2000-03-09,76.10938262939453
2000-03-10,82.37518310546875
2000-03-13,81.85784149169922
2000-03-14,75.01717376708984
2000-03-15,68.75138854980469
2000-03-16,69.90108489990234
2000-03-17,76.33934020996094
2000-03-20,77.94890594482422
2000-03-21,76.33934020996094
2000-03-22,82.777587890625
2000-03-23,81.11052703857422
2000-03-24,84.32967376708984
2000-03-27,81.97283172607422
2000-03-28,79.5009994506836
2000-03-29,77.02912902832031
2000-03-30,73.35012817382812
2000-03-31,75.41956329345703
2000-04-03,68.17652130126953
2000-04-04,74.44232177734375
2000-04-05,80.01832580566406
2000-04-06,88.5260238647461
2000-04-07,90.1355972290039
2000-04-10,86.57154083251953
2000-04-11,84.78953552246094
2000-04-12,77.66146087646484
2000-04-13,76.68421936035156
2000-04-14,69.38372039794922
2000-04-17,80.24827575683594
2000-04-18,84.5595703125
2000-04-19,84.7320327758789
2000-04-20,88.58351135253906
2000-04-24,85.07695770263672
2000-04-25,95.07925415039062
2000-04-26,93.98703002929688
2000-04-27,99.2756118774414
2000-04-28,101.17257690429688
2000-05-01,100.54024505615234
2000-05-02,99.3331069946289
2000-05-03,92.14755249023438
2000-05-04,96.51636505126953
2000-05-05,99.90790557861328
2000-05-08,93.29723358154297
2000-05-09,86.22665405273438
2000-05-10,77.25906372070312
2000-05-11,76.33934020996094
2000-05-12,80.8805923461914
2000-05-15,79.96083068847656
2000-05-16,82.08775329589844
2000-05-17,84.1572265625
2000-05-18,83.46741485595703
2000-05-19,77.94890594482422
2000-05-22,77.71894836425781
2000-05-23,69.2112808227539
2000-05-24,64.8424301147461
2000-05-25,68.17652130126953
2000-05-26,66.91187286376953
2000-05-30,77.77642059326172
2000-05-31,79.09858703613281
2000-06-01,83.29493713378906
2000-06-02,91.31401824951172
2000-06-05,88.29608154296875
2000-06-06,84.61707305908203
2000-06-07,87.31884765625
2000-06-08,86.1116943359375
2000-06-09,83.92727661132812
2000-06-12,80.47822570800781
2000-06-13,80.13326263427734
2000-06-14,78.06387329101562
2000-06-15,80.01832580566406
2000-06-16,74.26986694335938
2000-06-19,76.68421936035156
2000-06-20,75.30458068847656
2000-06-21,72.89026641845703
2000-06-22,74.49983978271484
2000-06-23,74.49983978271484
2000-06-26,72.89026641845703
2000-06-27,69.90108489990234
2000-06-28,71.10822296142578
2000-06-29,68.98129272460938
2000-06-30,67.60169219970703
2000-07-03,71.33816528320312
2000-07-05,67.25676727294922
2000-07-06,69.61363220214844
2000-07-07,71.74056243896484
2000-07-10,72.89026641845703
2000-07-11,69.84357452392578
2000-07-12,67.14179992675781
2000-07-13,66.4520263671875
2000-07-14,69.26874542236328
2000-07-17,72.66029357910156
2000-07-18,62.54304885864258
2000-07-19,65.07238006591797
2000-07-20,64.8424301147461
2000-07-21,63.23290252685547
2000-07-24,60.4736213684082
2000-07-25,59.151485443115234
2000-07-26,56.10479736328125
2000-07-27,51.27610778808594
2000-07-28,55.0700798034668
2000-07-31,57.944313049316406
2000-08-01,56.10479736328125
2000-08-02,54.437747955322266
2000-08-03,49.32164764404297
2000-08-04,47.194732666015625
