Date,HWM
2016-11-01,13.84318733215332
2016-11-02,13.126150131225586
2016-11-03,12.796899795532227
2016-11-04,12.935917854309082
2016-11-07,12.687149047851562
2016-11-08,12.804827690124512
2016-11-09,12.893086433410645
2016-11-10,13.569733619689941
2016-11-11,13.871281623840332
2016-11-14,14.040443420410156
2016-11-15,14.64354133605957
2016-11-16,14.422900199890137
2016-11-17,14.341994285583496
2016-11-18,14.64354133605957
2016-11-21,14.842123985290527
2016-11-22,14.628832817077637
2016-11-23,14.91567325592041
2016-11-25,15.099544525146484
2016-11-28,14.820062637329102
2016-11-29,14.46702766418457
2016-11-30,14.180187225341797
2016-12-01,14.341994285583496
2016-12-02,14.48173713684082
2016-12-05,14.900961875915527
2016-12-06,14.945094108581543
2016-12-07,15.356964111328125
2016-12-08,15.379030227661133
2016-12-09,16.033611297607422
2016-12-12,15.871805191040039
2016-12-13,15.584966659545898
2016-12-14,15.2613525390625
2016-12-15,15.121609687805176
2016-12-16,14.900961875915527
2016-12-19,14.724449157714844
2016-12-20,14.783286094665527
2016-12-21,14.724449157714844
2016-12-22,14.761218070983887
2016-12-23,14.547928810119629
2016-12-27,14.547928810119629
2016-12-28,14.158122062683105
2016-12-29,13.753602981567383
2016-12-30,13.635924339294434
2017-01-03,14.113994598388672
2017-01-04,14.489091873168945
2017-01-05,14.783286094665527
2017-01-06,15.17309284210205
2017-01-09,14.996578216552734
2017-01-10,15.231931686401367
2017-01-11,15.51877212524414
2017-01-12,15.445222854614258
2017-01-13,15.540837287902832
2017-01-17,15.253997802734375
2017-01-18,15.356964111328125
2017-01-19,15.673224449157715
2017-01-20,15.658514022827148
2017-01-23,15.687934875488281
2017-01-24,16.30574607849121
2017-01-25,16.688196182250977
2017-01-26,16.813232421875
2017-01-27,16.621999740600586
2017-01-30,16.548450469970703
2017-01-31,16.76174545288086
2017-02-01,18.642192840576172
2017-02-02,18.583194732666016
2017-02-03,19.09939193725586
2017-02-06,19.320627212524414
2017-02-07,19.630338668823242
2017-02-08,20.13178825378418
2017-02-09,20.618499755859375
2017-02-10,21.842628479003906
2017-02-13,21.864755630493164
2017-02-14,21.76888084411621
2017-02-15,21.540283203125
2017-02-16,21.746763229370117
2017-02-17,22.05647850036621
2017-02-21,22.336702346801758
2017-02-22,22.528430938720703
2017-02-23,21.805755615234375
2017-02-24,21.621402740478516
2017-02-27,21.562406539916992
2017-02-28,21.23055648803711
2017-03-01,21.783628463745117
2017-03-02,21.046207427978516
2017-03-03,20.714357376098633
2017-03-06,20.4267635345459
2017-03-07,19.895814895629883
2017-03-08,19.799945831298828
2017-03-09,19.534473419189453
