Date,LEN
2000-01-03,5.362485885620117
2000-01-04,5.320426940917969
2000-01-05,5.341455459594727
2000-01-06,5.341455459594727
2000-01-07,5.446603775024414
2000-01-10,5.488661766052246
2000-01-11,5.383515357971191
2000-01-12,5.425571918487549
2000-01-13,5.551749229431152
2000-01-14,5.572781562805176
2000-01-18,5.530721664428711
2000-01-19,5.488661766052246
2000-01-20,5.530721664428711
2000-01-21,5.488661766052246
2000-01-24,5.488661766052246
2000-01-25,5.446603775024414
2000-01-26,5.425571918487549
2000-01-27,5.446603775024414
2000-01-28,5.299396514892578
2000-01-31,5.362485885620117
2000-02-01,5.383515357971191
2000-02-02,5.383515357971191
2000-02-03,5.514172077178955
2000-02-04,5.598356246948242
2000-02-07,5.493124961853027
2000-02-08,5.4299821853637695
2000-02-09,5.5773115158081055
2000-02-10,5.451031684875488
2000-02-11,5.324753284454346
2000-02-14,5.345798492431641
2000-02-15,5.598356246948242
2000-02-16,5.387892723083496
2000-02-17,5.703588008880615
2000-02-18,5.598356246948242
2000-02-22,5.493124961853027
2000-02-23,5.366846084594727
2000-02-24,5.303705215454102
2000-02-25,5.261612892150879
2000-02-28,5.366846084594727
2000-02-29,5.556262969970703
2000-03-01,5.6825432777404785
2000-03-02,5.6825432777404785
2000-03-03,5.745681285858154
2000-03-06,5.703588008880615
2000-03-07,5.4720778465271
2000-03-08,5.5773115158081055
2000-03-09,5.6825432777404785
2000-03-10,5.6825432777404785
2000-03-13,5.661496162414551
2000-03-14,5.6825432777404785
2000-03-15,6.061377048492432
2000-03-16,6.440213680267334
2000-03-17,6.987422466278076
2000-03-20,7.155796527862549
2000-03-21,7.029513359069824
2000-03-22,6.903238296508789
2000-03-23,7.113699913024902
2000-03-24,7.092655181884766
2000-03-27,7.029513359069824
2000-03-28,6.9453301429748535
2000-03-29,6.9242844581604
2000-03-30,7.050561904907227
2000-03-31,7.303125381469727
2000-04-03,6.9453301429748535
2000-04-04,6.608585357666016
2000-04-05,6.903238296508789
2000-04-06,6.882193088531494
2000-04-07,6.903238296508789
2000-04-10,6.819055557250977
2000-04-11,6.71381950378418
2000-04-12,6.903238296508789
2000-04-13,6.9242844581604
2000-04-14,6.419167518615723
2000-04-17,6.271843433380127
2000-04-18,6.608585357666016
2000-04-19,6.545446395874023
2000-04-20,6.608585357666016
2000-04-24,6.398123264312744
2000-04-25,6.503355979919434
2000-04-26,6.334980487823486
2000-04-27,6.3770751953125
2000-04-28,6.271843433380127
2000-05-01,6.356029987335205
2000-05-02,6.166610240936279
2000-05-03,6.192051887512207
2000-05-04,6.23417854309082
2000-05-05,6.33948278427124
2000-05-08,6.065684795379639
2000-05-09,6.107809543609619
2000-05-10,5.8971943855285645
2000-05-11,6.23417854309082
2000-05-12,6.318421363830566
2000-05-15,6.381606101989746
2000-05-16,6.486914157867432
2000-05-17,6.4026665687561035
2000-05-18,6.276301383972168
2000-05-19,6.065684795379639
2000-05-22,6.065684795379639
2000-05-23,5.981437683105469
2000-05-24,6.29736328125
2000-05-25,6.276301383972168
2000-05-26,6.170990467071533
2000-05-30,6.4026665687561035
2000-05-31,6.3605427742004395
2000-06-01,6.065684795379639
2000-06-02,6.634344100952148
2000-06-05,6.5079731941223145
2000-06-06,6.571160793304443
2000-06-07,6.4026665687561035
2000-06-08,6.42372989654541
2000-06-09,6.571160793304443
2000-06-12,6.255239009857178
2000-06-13,6.571160793304443
2000-06-14,6.592216491699219
2000-06-15,6.634344100952148
2000-06-16,6.4026665687561035
2000-06-19,6.613285541534424
2000-06-20,6.318421363830566
2000-06-21,6.255239009857178
2000-06-22,6.21311616897583
2000-06-23,6.170990467071533
2000-06-26,6.21311616897583
2000-06-27,6.486914157867432
2000-06-28,6.42372989654541
2000-06-29,6.866014003753662
2000-06-30,6.829158782958984
2000-07-03,6.844961643218994
2000-07-05,7.30830717086792
2000-07-06,7.329368591308594
2000-07-07,7.539982318878174
2000-07-10,7.350431442260742
2000-07-11,7.392552375793457
2000-07-12,7.792719841003418
2000-07-13,7.708473205566406
2000-07-14,7.750598907470703
2000-07-17,7.771655559539795
2000-07-18,7.582107067108154
2000-07-19,7.582107067108154
2000-07-20,7.687413692474365
2000-07-21,7.919085502624512
2000-07-24,7.813777923583984
2000-07-25,7.940151214599609
2000-07-26,7.855901718139648
2000-07-27,7.96121072769165
2000-07-28,7.834844589233398
2000-07-31,8.08757495880127
2000-08-01,8.27713394165039
2000-08-02,8.066519737243652
2000-08-03,8.260563850402832
2000-08-04,8.555574417114258
2000-08-07,9.208831787109375
2000-08-08,9.461712837219238
2000-08-09,9.250985145568848
2000-08-10,9.208831787109375
2000-08-11,9.461712837219238
2000-08-14,9.693507194519043
2000-08-15,9.44063663482666
2000-08-16,9.061321258544922
2000-08-17,8.955955505371094
2000-08-18,8.892745971679688
2000-08-21,8.934886932373047
2000-08-22,8.766307830810547
2000-08-23,8.42913818359375
2000-08-24,8.682015419006348
2000-08-25,8.850592613220215
2000-08-28,8.724160194396973
2000-08-29,8.808451652526855
2000-08-30,9.22990894317627
2000-08-31,9.314202308654785
2000-09-01,9.377423286437988
2000-09-05,9.187762260437012
2000-09-06,9.166685104370117
2000-09-07,9.166685104370117
2000-09-08,9.103472709655762
2000-09-11,9.546001434326172
2000-09-12,9.187762260437012
2000-09-13,9.187762260437012
2000-09-14,9.44063663482666
2000-09-15,9.040257453918457
2000-09-18,8.724160194396973
2000-09-19,8.850592613220215
2000-09-20,9.177223205566406
2000-09-21,9.30366039276123
2000-09-22,9.398488998413086
2000-09-25,9.524925231933594
2000-09-26,9.398488998413086
2000-09-27,9.567076683044434
2000-09-28,9.81994915008545
2000-09-29,10.030681610107422
2000-10-02,10.178184509277344
2000-10-03,10.53642749786377
2000-10-04,10.578570365905762
2000-10-05,9.609216690063477
2000-10-06,9.79887580871582
2000-10-09,10.599647521972656
2000-10-10,10.409988403320312
2000-10-11,10.30462646484375
2000-10-12,10.030681610107422
2000-10-13,9.630292892456055
2000-10-16,9.88316822052002
2000-10-17,9.862095832824707
2000-10-18,9.735654830932617
2000-10-19,10.030681610107422
2000-10-20,9.946385383605957
2000-10-23,9.841017723083496
2000-10-24,10.072821617126465
2000-10-25,9.651360511779785
2000-10-26,9.96745777130127
2000-10-27,9.925315856933594
2000-10-30,10.599647521972656
2000-10-31,10.831443786621094
2000-11-01,10.789297103881836
2000-11-02,11.088822364807129
2000-11-03,11.236390113830566
2000-11-06,11.46828842163086
2000-11-07,11.531535148620605
2000-11-08,11.700185775756836
2000-11-09,11.573694229125977
2000-11-10,10.793682098388672
2000-11-13,11.173150062561035
2000-11-14,11.025581359863281
2000-11-15,11.046661376953125
2000-11-16,10.814764976501465
2000-11-17,10.983417510986328
2000-11-20,10.899090766906738
2000-11-21,11.236390113830566
2000-11-22,11.046661376953125
2000-11-24,11.109905242919922
2000-11-27,11.405046463012695
2000-11-28,11.51045036315918
2000-11-29,11.236390113830566
2000-11-30,10.688278198242188
2000-12-01,11.257476806640625
2000-12-04,11.067741394042969
2000-12-05,12.311542510986328
2000-12-06,11.76343059539795
2000-12-07,12.269377708435059
2000-12-08,12.796419143676758
2000-12-11,13.260212898254395
2000-12-12,12.227216720581055
2000-12-13,12.5012788772583
2000-12-14,12.290464401245117
2000-12-15,12.016406059265137
2000-12-18,11.995322227478027
2000-12-19,11.805591583251953
2000-12-20,10.920177459716797
2000-12-21,11.088822364807129
2000-12-22,11.405046463012695
2000-12-26,12.058568954467773
2000-12-27,11.97424602508545
2000-12-28,12.691008567810059
2000-12-29,12.227216720581055
2001-01-02,11.847752571105957
2001-01-03,12.922905921936035
2001-01-04,13.239124298095703
2001-01-05,12.838579177856445
2001-01-08,12.712091445922852
2001-01-09,13.049392700195312
2001-01-10,13.449939727783203
2001-01-11,13.323453903198242
2001-01-12,13.175885200500488
2001-01-16,13.070473670959473
2001-01-17,13.492103576660156
2001-01-18,13.68183422088623
2001-01-19,12.817496299743652
2001-01-22,11.78451156616211
2001-01-23,12.5012788772583
