Date,KHC
2015-07-06,45.20248794555664
2015-07-07,46.23713684082031
2015-07-08,46.71418380737305
2015-07-09,46.34246826171875
2015-07-10,47.89753341674805
2015-07-13,48.839263916015625
2015-07-14,48.32502365112305
2015-07-15,47.52580261230469
2015-07-16,48.78969192504883
2015-07-17,49.33489227294922
2015-07-20,49.63228225708008
2015-07-21,49.70044708251953
2015-07-22,48.72153091430664
2015-07-23,47.87925338745117
2015-07-24,47.67335891723633
2015-07-27,48.278564453125
2015-07-28,48.86503601074219
2015-07-29,48.60924530029297
2015-07-30,49.420310974121094
2015-07-31,49.58254623413086
2015-08-03,50.14406967163086
2015-08-04,49.79467010498047
2015-08-05,50.212703704833984
2015-08-06,49.76347351074219
2015-08-07,48.952388763427734
2015-08-10,49.170753479003906
2015-08-11,48.646663665771484
2015-08-12,47.84806442260742
2015-08-13,47.41131591796875
2015-08-14,47.67961120605469
2015-08-17,47.29277801513672
2015-08-18,46.912193298339844
2015-08-19,46.6563835144043
2015-08-20,46.32569885253906
2015-08-21,45.0903434753418
2015-08-24,44.21687698364258
2015-08-25,43.805091857910156
2015-08-26,46.11356735229492
2015-08-27,46.90594482421875
2015-08-28,46.60022735595703
2015-08-31,45.33369064331055
2015-09-01,43.748924255371094
2015-09-02,44.965572357177734
2015-09-03,45.021732330322266
2015-09-04,44.02969741821289
2015-09-08,46.21340560913086
2015-09-09,45.02794647216797
2015-09-10,45.021732330322266
2015-09-11,46.01999282836914
2015-09-14,46.512882232666016
2015-09-15,47.03697204589844
2015-09-16,47.64840316772461
2015-09-17,47.685848236083984
2015-09-18,47.06817626953125
2015-09-21,46.91842269897461
2015-09-22,46.36314010620117
2015-09-23,45.73922348022461
2015-09-24,45.49589157104492
2015-09-25,45.76417922973633
2015-09-28,43.66782760620117
2015-09-29,43.174930572509766
2015-09-30,44.03594970703125
2015-10-01,44.19191360473633
2015-10-02,44.55378723144531
2015-10-05,45.07162857055664
2015-10-06,45.21512222290039
2015-10-07,45.6393928527832
2015-10-08,46.43800735473633
2015-10-09,46.41305923461914
2015-10-12,45.99503707885742
2015-10-13,45.78289794921875
2015-10-14,46.02622985839844
2015-10-15,46.930904388427734
2015-10-16,48.2847900390625
2015-10-19,47.91668701171875
2015-10-20,47.960365295410156
2015-10-21,48.072662353515625
2015-10-22,49.87578201293945
2015-10-23,48.65291976928711
2015-10-26,47.922935485839844
2015-10-27,48.14753341674805
2015-10-28,49.40160369873047
2015-10-29,49.07094192504883
2015-10-30,48.646663665771484
2015-11-02,48.83383560180664
2015-11-03,47.685848236083984
2015-11-04,47.30525207519531
2015-11-05,47.05568313598633
2015-11-06,44.92814636230469
2015-11-09,44.447715759277344
2015-11-10,44.971805572509766
2015-11-11,44.990509033203125
2015-11-12,44.59114456176758
2015-11-13,44.50938415527344
2015-11-16,45.06598663330078
2015-11-17,44.937049865722656
2015-11-18,45.65088653564453
2015-11-19,46.1257438659668
2015-11-20,46.32071304321289
2015-11-23,46.584869384765625
2015-11-24,46.83643341064453
2015-11-25,46.9433479309082
2015-11-27,46.92448425292969
2015-11-30,46.34585952758789
2015-12-01,46.83643341064453
2015-12-02,45.93706130981445
2015-12-03,44.943355560302734
2015-12-04,45.42134475708008
2015-12-07,44.92448425292969
