Date,KLAC
2000-01-03,28.467187881469727
2000-01-04,27.253742218017578
2000-01-05,25.89268684387207
2000-01-06,26.08946990966797
2000-01-07,27.630889892578125
2000-01-10,30.582551956176758
2000-01-11,30.320180892944336
2000-01-12,31.271284103393555
2000-01-13,31.41886329650879
2000-01-14,36.207130432128906
2000-01-18,34.272132873535156
2000-01-19,33.747406005859375
2000-01-20,33.189857482910156
2000-01-21,33.71460723876953
2000-01-24,31.38606834411621
2000-01-25,32.50113296508789
2000-01-26,30.631755828857422
2000-01-27,29.877437591552734
2000-01-28,29.549470901489258
2000-01-31,30.76292610168457
2000-02-01,31.81241798400879
2000-02-02,33.87858581542969
2000-02-03,34.73129653930664
2000-02-04,34.600101470947266
2000-02-07,35.78076934814453
2000-02-08,36.60066223144531
2000-02-09,35.58401107788086
2000-02-10,36.96145248413086
2000-02-11,35.94474792480469
2000-02-14,35.48560333251953
2000-02-15,36.5678825378418
2000-02-16,37.65017318725586
2000-02-17,38.83083724975586
2000-02-18,35.68238830566406
2000-02-22,37.584571838378906
2000-02-23,37.94533157348633
2000-02-24,38.207698822021484
2000-02-25,36.010345458984375
2000-02-28,36.633480072021484
2000-02-29,40.89699935913086
2000-03-01,39.51954650878906
2000-03-02,37.8469352722168
2000-03-03,43.68467330932617
2000-03-06,44.04543685913086
2000-03-07,44.078224182128906
2000-03-08,41.45451736450195
2000-03-09,44.60297393798828
2000-03-10,47.81702423095703
2000-03-13,44.04543685913086
2000-03-14,40.07708740234375
2000-03-15,39.42115783691406
2000-03-16,39.42115783691406
2000-03-17,41.97927474975586
2000-03-20,40.437843322753906
2000-03-21,42.34002685546875
2000-03-22,43.84867858886719
2000-03-23,45.521263122558594
2000-03-24,46.865928649902344
2000-03-27,46.93150329589844
2000-03-28,44.60297393798828
2000-03-29,40.83141326904297
2000-03-30,41.585693359375
2000-03-31,44.20943069458008
2000-04-03,40.437843322753906
2000-04-04,41.78247833251953
2000-04-05,42.70079803466797
2000-04-06,46.76752471923828
2000-04-07,51.129459381103516
2000-04-10,43.979854583740234
2000-04-11,45.32449722290039
2000-04-12,40.929786682128906
2000-04-13,33.97697067260742
2000-04-14,30.23819351196289
2000-04-17,35.68238830566406
2000-04-18,37.78135299682617
2000-04-19,33.87858581542969
2000-04-20,34.17374801635742
2000-04-24,33.5178337097168
2000-04-25,34.69850540161133
2000-04-26,33.419429779052734
2000-04-27,37.223812103271484
2000-04-28,39.28997802734375
2000-05-01,37.5517692565918
2000-05-02,36.04314041137695
2000-05-03,32.76350784301758
2000-05-04,33.058692932128906
2000-05-05,33.38665771484375
2000-05-08,31.451644897460938
2000-05-09,28.860763549804688
2000-05-10,25.712303161621094
2000-05-11,26.26984214782715
2000-05-12,27.18815040588379
2000-05-15,28.860763549804688
2000-05-16,29.910234451293945
2000-05-17,30.23819351196289
2000-05-18,29.713459014892578
2000-05-19,27.483312606811523
2000-05-22,27.319326400756836
2000-05-23,24.400449752807617
2000-05-24,25.187562942504883
2000-05-25,23.154193878173828
2000-05-26,23.84290885925293
2000-05-30,27.680089950561523
2000-05-31,26.007465362548828
2000-06-01,28.795146942138672
2000-06-02,32.27157211303711
2000-06-05,30.79573631286621
2000-06-06,28.631179809570312
2000-06-07,30.107006072998047
2000-06-08,30.56617546081543
2000-06-09,30.40217399597168
2000-06-12,28.532787322998047
2000-06-13,29.254318237304688
2000-06-14,27.876855850219727
2000-06-15,28.336017608642578
2000-06-16,28.795146942138672
2000-06-19,32.27157211303711
2000-06-20,33.28825759887695
